Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,785145.0,-,PR,-,18.25,-67.15,0,9,-4,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,21,22,1012,96,2.5000001187436283
Typical,1,1,1,0,0,0,0,21,21,1012,100,2.400000113993883
Typical,1,1,2,0,0,0,0,21,21,1012,100,2.400000113993883
Typical,1,1,3,0,0,0,0,21,21,1012,100,2.300000109244138
Typical,1,1,4,0,0,0,0,21,25,1012,82,6.200000294484198
Typical,1,1,5,0,0,0,0,21,24,1012,82,6.100000289734453
Typical,1,1,6,0,0,0,0,21,24,1012,82,6.000000284984708
Typical,1,1,7,0,0,0,0,20,24,1012,81,6.000000284984708
Typical,1,1,8,0,0,0,0,20,23,1012,82,5.900000280234963
Typical,1,1,9,0,0,0,0,20,23,1012,82,5.800000275485218
Typical,1,1,10,0,0,0,0,20,23,1012,82,5.800000275485218
Typical,1,1,11,0,30,206,51,20,23,1012,82,5.700000270735472
Typical,1,1,12,0,67,587,248,21,25,1012,82,6.200000294484198
Typical,1,1,13,0,94,745,459,21,26,1012,71,5.700000270735472
Typical,1,1,14,0,221,589,592,22,27,1012,72,5.800000275485218
Typical,1,1,15,0,252,488,602,22,30,1012,65,5.800000275485218
Typical,1,1,16,0,332,166,457,19,28,1012,58,6.000000284984708
Typical,1,1,17,0,267,158,382,19,30,1012,53,6.000000284984708
Typical,1,1,18,0,334,86,389,19,30,1012,49,5.100000242237002
Typical,1,1,19,0,297,97,346,20,30,1012,55,4.10000019473955
Typical,1,1,20,0,63,40,76,20,29,1012,61,4.600000218488276
Typical,1,1,21,0,32,15,34,21,27,1012,68,4.000000189989805
Typical,1,1,22,0,0,0,0,20,26,1012,69,3.000000142492354
Typical,1,1,23,0,0,0,0,21,24,1012,85,2.400000113993883
Typical,1,2,0,0,0,0,0,19,23,1012,80,1.9000000902451575
Typical,1,2,1,0,0,0,0,20,23,1012,86,1.9000000902451575
Typical,1,2,2,0,0,0,0,20,22,1012,88,1.8000000854954123
Typical,1,2,3,0,0,0,0,20,22,1012,90,1.9000000902451575
Typical,1,2,4,0,0,0,0,20,21,1012,93,1.9000000902451575
Typical,1,2,5,0,0,0,0,19,20,1012,95,1.9000000902451575
Typical,1,2,6,0,0,0,0,19,20,1012,97,1.9000000902451575
Typical,1,2,7,0,0,0,0,19,19,1012,99,1.9000000902451575
Typical,1,2,8,0,0,0,0,18,18,1012,100,1.8000000854954123
Typical,1,2,9,0,0,0,0,18,18,1012,100,1.9000000902451575
Typical,1,2,10,0,0,0,0,12,18,1012,69,1.9000000902451575
Typical,1,2,11,0,25,321,58,19,19,1012,100,1.2000000569969416
Typical,1,2,12,0,51,683,260,20,22,1012,87,1.500000071246177
Typical,1,2,13,0,71,822,472,18,25,1012,67,3.6000001709908247
Typical,1,2,14,0,85,887,644,19,28,1012,59,5.100000242237002
Typical,1,2,15,0,107,824,699,20,30,1012,56,4.500000213738531
Typical,1,2,16,0,121,801,722,19,29,1012,56,5.0000002374872565
Typical,1,2,17,0,129,744,667,18,27,1012,57,4.900000232737511
Typical,1,2,18,0,161,660,583,18,26,1012,60,7.40000035148114
Typical,1,2,19,0,147,539,418,18,25,1012,64,3.3000001567415893
Typical,1,2,20,0,102,352,216,18,25,1012,65,2.7000001282431185
Typical,1,2,21,0,48,63,56,18,25,1012,65,3.100000147242099
Typical,1,2,22,0,0,4,0,18,24,1012,70,3.100000147242099
Typical,1,2,23,0,0,0,0,18,23,1012,74,2.900000137742609
Typical,1,3,0,0,0,0,0,18,22,1012,80,2.8000001329928637
Typical,1,3,1,0,0,0,0,19,22,1012,85,2.7000001282431185
Typical,1,3,2,0,0,0,0,19,22,1012,87,2.6000001234933734
Typical,1,3,3,0,0,0,0,19,21,1012,88,2.5000001187436283
Typical,1,3,4,0,0,0,0,19,20,1012,91,2.300000109244138
Typical,1,3,5,0,0,0,0,19,20,1012,92,2.300000109244138
Typical,1,3,6,0,0,0,0,18,19,1012,93,2.200000104494393
Typical,1,3,7,0,0,0,0,18,19,1012,95,2.0000000949949026
Typical,1,3,8,0,0,0,0,18,18,1012,96,2.0000000949949026
Typical,1,3,9,0,0,0,0,18,18,1012,98,1.8000000854954123
Typical,1,3,10,0,0,0,0,18,18,1012,98,1.7000000807456672
Typical,1,3,11,0,28,255,54,18,19,1012,94,3.200000151991844
Typical,1,3,12,0,60,632,253,18,22,1012,82,3.100000147242099
Typical,1,3,13,0,83,783,466,18,25,1012,67,5.100000242237002
Typical,1,3,14,0,116,771,601,18,28,1012,55,4.10000019473955
Typical,1,3,15,0,121,865,743,20,30,1012,55,2.1000000997446477
Typical,1,3,16,0,131,735,684,20,28,1012,59,5.700000270735472
Typical,1,3,17,0,302,530,687,19,29,1012,57,6.100000289734453
Typical,1,3,18,0,211,613,604,19,28,1012,58,4.900000232737511
Typical,1,3,19,0,209,215,317,19,28,1012,58,6.300000299233943
Typical,1,3,20,0,122,240,200,18,27,1012,60,3.6000001709908247
Typical,1,3,21,0,34,63,41,17,26,1012,60,4.000000189989805
Typical,1,3,22,0,0,0,0,16,25,1012,60,3.90000018524006
Typical,1,3,23,0,0,0,0,18,22,1012,81,3.70000017574057
Typical,1,4,0,0,0,0,0,18,20,1012,86,4.10000019473955
Typical,1,4,1,0,0,0,0,19,21,1012,91,4.000000189989805
Typical,1,4,2,0,0,0,0,19,20,1012,91,3.90000018524006
Typical,1,4,3,0,0,0,0,18,20,1012,91,3.70000017574057
Typical,1,4,4,0,0,0,0,18,19,1012,90,3.6000001709908247
Typical,1,4,5,0,0,0,0,17,19,1012,91,3.5000001662410796
Typical,1,4,6,0,0,0,0,17,18,1012,90,3.4000001614913344
Typical,1,4,7,0,0,0,0,16,18,1012,91,3.200000151991844
Typical,1,4,8,0,0,0,0,16,17,1012,90,3.100000147242099
Typical,1,4,9,0,0,0,0,15,17,1012,91,3.000000142492354
Typical,1,4,10,0,0,0,0,16,18,1012,90,2.400000113993883
Typical,1,4,11,0,27,278,55,17,19,1012,88,2.200000104494393
Typical,1,4,12,0,54,665,257,18,22,1012,79,2.1000000997446477
Typical,1,4,13,0,75,808,470,18,25,1012,67,3.6000001709908247
Typical,1,4,14,0,124,779,614,20,27,1012,65,4.600000218488276
Typical,1,4,15,0,133,785,698,18,28,1012,55,7.000000332482159
Typical,1,4,16,0,155,810,765,19,29,1012,53,8.00000037997961
Typical,1,4,17,0,131,784,701,19,29,1012,52,7.80000037048012
Typical,1,4,18,0,163,725,629,18,28,1012,55,7.700000365730375
Typical,1,4,19,0,118,670,458,18,27,1012,58,8.100000384729356
Typical,1,4,20,0,76,522,247,17,25,1012,61,6.400000303983688
Typical,1,4,21,0,44,182,66,16,23,1012,64,5.900000280234963
Typical,1,4,22,0,0,4,0,17,23,1012,69,5.500000261235982
Typical,1,4,23,0,0,0,0,17,22,1012,72,5.100000242237002
Typical,1,5,0,0,0,0,0,17,21,1012,78,4.700000223238021
Typical,1,5,1,0,0,0,0,18,21,1012,83,4.2000001994892955
Typical,1,5,2,0,0,0,0,18,21,1012,84,4.000000189989805
Typical,1,5,3,0,0,0,0,18,21,1012,86,3.90000018524006
Typical,1,5,4,0,0,0,0,18,21,1012,86,3.70000017574057
Typical,1,5,5,0,0,0,0,18,20,1012,88,3.5000001662410796
Typical,1,5,6,0,0,0,0,18,20,1012,89,3.3000001567415893
Typical,1,5,7,0,0,0,0,18,20,1012,89,3.200000151991844
Typical,1,5,8,0,0,0,0,18,19,1012,90,3.000000142492354
Typical,1,5,9,0,0,0,0,18,19,1012,92,2.8000001329928637
Typical,1,5,10,0,0,0,0,18,20,1012,92,2.6000001234933734
Typical,1,5,11,0,26,16,27,19,21,1012,88,2.5000001187436283
Typical,1,5,12,0,75,285,162,19,23,1012,78,5.500000261235982
Typical,1,5,13,0,103,679,435,19,26,1012,66,6.300000299233943
Typical,1,5,14,0,132,612,517,20,28,1012,63,7.700000365730375
Typical,1,5,15,0,212,701,717,20,28,1012,63,10.304000489413738
Typical,1,5,16,0,89,862,739,20,27,1012,65,7.700000365730375
Typical,1,5,17,0,133,656,611,20,28,1012,64,7.700000365730375
Typical,1,5,18,0,132,421,404,20,28,1012,65,7.700000365730375
Typical,1,5,19,0,89,363,275,20,27,1012,65,7.700000365730375
Typical,1,5,20,0,106,329,215,20,27,1012,66,7.700000365730375
Typical,1,5,21,0,28,16,30,20,26,1012,67,7.700000365730375
Typical,1,5,22,0,0,0,0,20,26,1012,69,5.100000242237002
Typical,1,5,23,0,0,0,0,20,25,1012,72,5.100000242237002
Typical,1,6,0,0,0,0,0,20,24,1012,77,5.100000242237002
Typical,1,6,1,0,0,0,0,21,24,1012,82,5.100000242237002
Typical,1,6,2,0,0,0,0,21,24,1012,83,5.100000242237002
Typical,1,6,3,0,0,0,0,20,23,1012,83,5.100000242237002
Typical,1,6,4,0,0,0,0,20,23,1012,84,5.100000242237002
Typical,1,6,5,0,0,0,0,20,23,1012,85,5.100000242237002
Typical,1,6,6,0,0,0,0,20,22,1012,86,5.100000242237002
Typical,1,6,7,0,0,0,0,20,22,1012,87,5.100000242237002
Typical,1,6,8,0,0,0,0,19,21,1012,88,5.100000242237002
Typical,1,6,9,0,0,0,0,19,21,1012,89,5.100000242237002
Typical,1,6,10,0,0,0,0,20,22,1012,87,5.100000242237002
Typical,1,6,11,0,39,94,48,20,22,1012,84,2.6000001234933734
Typical,1,6,12,0,75,421,203,20,23,1012,82,2.6000001234933734
Typical,1,6,13,0,104,681,436,19,26,1012,68,3.4000001614913344
Typical,1,6,14,0,117,782,610,19,28,1012,59,4.300000204239041
Typical,1,6,15,0,198,701,704,19,30,1012,53,5.100000242237002
Typical,1,6,16,0,122,870,779,20,30,1012,55,7.700000365730375
Typical,1,6,17,0,237,659,719,20,29,1012,57,6.700000318232924
Typical,1,6,18,0,98,778,601,20,29,1012,60,5.700000270735472
Typical,1,6,19,0,127,510,388,21,28,1012,64,4.600000218488276
Typical,1,6,20,0,85,403,219,21,27,1012,68,3.6000001709908247
Typical,1,6,21,0,34,237,63,21,26,1012,71,2.6000001234933734
Typical,1,6,22,0,0,9,0,21,26,1012,71,5.100000242237002
