Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,785430.0,-,VI,-,18.35,-64.967,0,6,-4,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,20,25,1017,77,4.600000218488276
Typical,1,1,1,0,0,0,0,21,25,1017,79,3.100000147242099
Typical,1,1,2,0,0,0,0,19,25,1017,71,3.6000001709908247
Typical,1,1,3,0,0,0,0,20,25,1017,77,3.6000001709908247
Typical,1,1,4,0,0,0,0,21,25,1019,79,4.600000218488276
Typical,1,1,5,0,0,0,0,21,25,1011,79,5.200000246986747
Typical,1,1,6,0,0,0,0,21,25,1018,82,4.600000218488276
Typical,1,1,7,0,0,0,0,21,25,1018,82,4.600000218488276
Typical,1,1,8,0,0,0,0,21,24,1018,82,3.100000147242099
Typical,1,1,9,0,0,0,0,21,24,1019,82,3.100000147242099
Typical,1,1,10,0,0,1,0,21,24,1019,82,3.100000147242099
Typical,1,1,11,0,34,82,44,21,25,1013,76,3.6000001709908247
Typical,1,1,12,0,74,405,210,21,27,1021,67,5.200000246986747
Typical,1,1,13,0,157,535,431,19,27,1021,60,5.700000270735472
Typical,1,1,14,0,211,276,390,20,28,1021,61,7.200000341981649
Typical,1,1,15,0,159,759,710,21,27,1021,69,6.700000318232924
Typical,1,1,16,0,231,631,704,21,28,1020,63,7.200000341981649
Typical,1,1,17,0,140,722,655,21,28,1012,63,5.700000270735472
Typical,1,1,18,0,105,843,629,20,28,1019,63,6.200000294484198
Typical,1,1,19,0,87,765,452,21,27,1019,67,5.700000270735472
Typical,1,1,20,0,61,601,237,21,27,1019,67,5.200000246986747
Typical,1,1,21,0,30,163,45,20,26,1019,72,4.600000218488276
Typical,1,1,22,0,0,0,0,20,25,1020,74,3.100000147242099
Typical,1,1,23,0,0,0,0,20,25,1013,77,3.100000147242099
Typical,1,2,0,0,0,0,0,21,25,1020,76,4.10000019473955
Typical,1,2,1,0,0,0,0,21,25,1020,76,5.200000246986747
Typical,1,2,2,0,0,0,0,21,25,1020,79,4.600000218488276
Typical,1,2,3,0,0,0,0,21,25,1019,79,5.700000270735472
Typical,1,2,4,0,0,0,0,20,24,1019,79,3.6000001709908247
Typical,1,2,5,0,0,0,0,20,24,1011,79,3.100000147242099
Typical,1,2,6,0,0,0,0,20,23,1018,79,2.6000001234933734
Typical,1,2,7,0,0,0,0,20,23,1018,85,2.6000001234933734
Typical,1,2,8,0,0,0,0,19,23,1018,76,0.0
Typical,1,2,9,0,0,0,0,20,23,1019,79,0.0
Typical,1,2,10,0,0,2,0,20,24,1019,76,3.6000001709908247
Typical,1,2,11,0,37,304,76,20,25,1012,71,3.6000001709908247
Typical,1,2,12,0,87,523,262,18,27,1020,61,6.700000318232924
Typical,1,2,13,0,107,571,399,18,27,1021,58,6.700000318232924
Typical,1,2,14,0,150,689,594,20,28,1021,59,4.10000019473955
Typical,1,2,15,0,198,328,437,18,29,1020,51,5.700000270735472
Typical,1,2,16,0,275,593,720,18,28,1019,55,4.600000218488276
Typical,1,2,17,0,191,249,369,20,28,1011,59,5.200000246986747
Typical,1,2,18,0,108,842,632,19,28,1018,57,6.700000318232924
Typical,1,2,19,0,89,763,455,19,28,1017,59,7.200000341981649
Typical,1,2,20,0,63,597,239,20,26,1017,67,6.200000294484198
Typical,1,2,21,0,27,201,46,20,26,1018,69,5.700000270735472
Typical,1,2,22,0,0,0,0,20,25,1018,71,5.200000246986747
Typical,1,2,23,0,0,0,0,20,25,1011,74,5.200000246986747
Typical,1,3,0,0,0,0,0,20,25,1018,74,5.200000246986747
Typical,1,3,1,0,0,0,0,20,26,1018,72,5.200000246986747
Typical,1,3,2,0,0,0,0,20,25,1018,74,3.100000147242099
Typical,1,3,3,0,0,0,0,20,25,1018,74,3.100000147242099
Typical,1,3,4,0,0,0,0,20,25,1018,74,3.6000001709908247
Typical,1,3,5,0,0,0,0,21,25,1010,76,4.10000019473955
Typical,1,3,6,0,0,0,0,20,25,1016,77,5.200000246986747
Typical,1,3,7,0,0,0,0,21,25,1016,79,4.10000019473955
Typical,1,3,8,0,0,0,0,20,24,1016,79,4.600000218488276
Typical,1,3,9,0,0,0,0,20,23,1016,82,2.6000001234933734
Typical,1,3,10,0,0,17,0,20,23,1016,85,2.6000001234933734
Typical,1,3,11,0,30,199,55,21,25,1010,76,3.6000001709908247
Typical,1,3,12,0,45,760,298,20,27,1018,67,4.600000218488276
Typical,1,3,13,0,61,873,506,20,28,1018,61,3.6000001709908247
Typical,1,3,14,0,114,505,440,20,27,1018,65,3.100000147242099
