Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,911900.0,-,HI,-,20.9,-156.433,0,16,-10,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,85,756,541,18,25,1014,69,12.400000588968396
Typical,1,1,1,0,43,819,424,18,25,1014,67,10.800000512972474
Typical,1,1,2,0,32,694,231,17,24,1015,64,11.29600053653121
Typical,1,1,3,0,20,355,61,16,23,1015,66,10.304000489413738
Typical,1,1,4,0,0,0,0,16,23,1017,66,10.800000512972474
Typical,1,1,5,0,0,0,0,18,22,1017,79,9.296000441536307
Typical,1,1,6,0,0,0,0,18,22,1017,80,9.104000432416797
Typical,1,1,7,0,0,0,0,18,22,1017,79,8.800000417977571
Typical,1,1,8,0,0,0,0,17,21,1016,78,8.600000408478081
Typical,1,1,9,0,0,0,0,17,21,1016,77,8.400000398978591
Typical,1,1,10,0,0,0,0,17,21,1016,77,8.100000384729356
Typical,1,1,11,0,0,0,0,17,21,1016,74,7.900000375229865
Typical,1,1,12,0,0,0,0,17,22,1016,74,7.700000365730375
Typical,1,1,13,0,0,0,0,17,22,1015,73,7.40000035148114
Typical,1,1,14,0,0,0,0,16,22,1015,71,7.200000341981649
Typical,1,1,15,0,0,0,0,16,21,1016,73,8.2000003894791
Typical,1,1,16,0,0,0,0,15,22,1017,64,9.296000441536307
Typical,1,1,17,0,25,316,61,15,22,1018,62,7.700000365730375
Typical,1,1,18,0,46,687,249,17,23,1017,66,9.296000441536307
Typical,1,1,19,0,64,830,456,17,25,1018,62,7.700000365730375
Typical,1,1,20,0,105,700,530,17,25,1018,62,9.800000465475023
Typical,1,1,21,0,73,868,673,16,27,1017,51,6.200000294484198
Typical,1,1,22,0,80,880,714,16,27,1016,53,9.296000441536307
Typical,1,1,23,0,95,797,644,17,26,1015,56,10.800000512972474
Typical,1,2,0,0,73,832,574,16,26,1014,56,8.2000003894791
Typical,1,2,1,0,60,771,419,16,25,1015,58,5.700000270735472
Typical,1,2,2,0,65,586,233,16,25,1015,58,6.700000318232924
Typical,1,2,3,0,24,276,56,16,23,1015,64,6.200000294484198
Typical,1,2,4,0,0,0,0,16,22,1016,71,4.10000019473955
Typical,1,2,5,0,0,0,0,17,20,1017,84,1.500000071246177
Typical,1,2,6,0,0,0,0,17,19,1017,88,1.3000000617466867
Typical,1,2,7,0,0,0,0,17,18,1016,89,1.2000000569969416
Typical,1,2,8,0,0,0,0,16,18,1016,90,1.0000000474974513
Typical,1,2,9,0,0,0,0,16,17,1016,92,0.800000037997961
Typical,1,2,10,0,0,0,0,16,17,1016,93,0.7000000332482159
Typical,1,2,11,0,0,0,0,15,17,1016,92,0.5000000237487257
Typical,1,2,12,0,0,0,0,15,16,1016,95,0.3000000142492354
Typical,1,2,13,0,0,0,0,15,16,1016,96,0.20000000949949026
Typical,1,2,14,0,0,0,0,15,16,1016,93,0.0
Typical,1,2,15,0,0,0,0,14,15,1016,93,3.100000147242099
Typical,1,2,16,0,0,0,0,15,16,1016,93,3.6000001709908247
Typical,1,2,17,0,21,383,64,15,16,1017,93,1.500000071246177
Typical,1,2,18,0,38,729,253,17,21,1017,79,2.6000001234933734
Typical,1,2,19,0,53,861,459,17,25,1017,60,0.0
Typical,1,2,20,0,64,914,619,18,26,1017,62,1.500000071246177
Typical,1,2,21,0,70,947,726,20,27,1016,65,5.700000270735472
Typical,1,2,22,0,52,951,737,20,27,1015,65,7.700000365730375
Typical,1,2,23,0,119,745,633,20,27,1014,65,5.700000270735472
Typical,1,3,0,0,50,908,599,19,27,1013,63,7.700000365730375
Typical,1,3,1,0,84,513,324,20,25,1014,72,6.200000294484198
Typical,1,3,2,0,101,94,128,19,24,1014,74,7.200000341981649
Typical,1,3,3,0,40,83,49,18,22,1015,79,6.200000294484198
Typical,1,3,4,0,0,0,0,18,22,1015,76,4.600000218488276
Typical,1,3,5,0,0,0,0,18,23,1016,76,4.10000019473955
Typical,1,3,6,0,0,0,0,19,22,1015,80,3.90000018524006
Typical,1,3,7,0,0,0,0,18,21,1015,83,3.70000017574057
Typical,1,3,8,0,0,0,0,18,21,1015,84,3.4000001614913344
Typical,1,3,9,0,0,0,0,18,20,1015,86,3.200000151991844
Typical,1,3,10,0,0,0,0,17,19,1015,87,3.000000142492354
Typical,1,3,11,0,0,0,0,17,19,1015,87,2.8000001329928637
Typical,1,3,12,0,0,0,0,17,18,1014,90,2.5000001187436283
Typical,1,3,13,0,0,0,0,17,18,1014,92,2.300000109244138
Typical,1,3,14,0,0,0,0,16,17,1014,90,2.1000000997446477
Typical,1,3,15,0,0,0,0,15,17,1014,87,2.6000001234933734
Typical,1,3,16,0,0,0,0,15,18,1014,81,1.500000071246177
Typical,1,3,17,0,26,323,62,15,20,1015,73,2.6000001234933734
Typical,1,3,18,0,72,577,241,17,23,1015,69,4.600000218488276
Typical,1,3,19,0,66,787,437,16,25,1016,58,0.0
Typical,1,3,20,0,93,806,582,17,26,1015,58,5.700000270735472
Typical,1,3,21,0,111,806,670,17,28,1014,51,4.10000019473955
Typical,1,3,22,0,87,876,719,16,28,1012,48,3.6000001709908247
Typical,1,3,23,0,94,862,691,17,27,1012,55,4.600000218488276
Typical,1,4,0,0,261,114,330,18,27,1012,58,6.200000294484198
