Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,722190.0,-,GA,-,33.633,-84.43299999999999,0,308,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,3,5,975,93,5.200000246986747
Typical,1,1,1,0,0,0,0,3,5,975,89,5.700000270735472
Typical,1,1,2,0,0,0,0,3,5,975,89,5.200000246986747
Typical,1,1,3,0,0,0,0,3,4,975,93,5.700000270735472
Typical,1,1,4,0,0,0,0,3,4,975,93,5.200000246986747
Typical,1,1,5,0,0,0,0,7,12,988,75,4.10000019473955
Typical,1,1,6,0,0,0,0,7,12,988,72,3.6000001709908247
Typical,1,1,7,0,0,0,0,8,12,988,77,3.6000001709908247
Typical,1,1,8,0,0,0,0,8,11,988,83,2.6000001234933734
Typical,1,1,9,0,0,0,0,8,11,987,83,3.100000147242099
Typical,1,1,10,0,0,0,0,9,11,987,90,2.6000001234933734
Typical,1,1,11,0,0,0,0,9,11,987,90,3.100000147242099
Typical,1,1,12,0,4,0,4,9,11,988,90,3.6000001709908247
Typical,1,1,13,0,38,2,39,10,11,988,90,3.6000001709908247
Typical,1,1,14,0,139,4,140,10,12,988,90,3.100000147242099
Typical,1,1,15,0,130,4,132,11,12,988,90,3.6000001709908247
Typical,1,1,16,0,259,3,260,12,13,988,90,4.10000019473955
Typical,1,1,17,0,170,1,171,12,13,987,93,3.100000147242099
Typical,1,1,18,0,156,0,157,12,12,987,97,3.6000001709908247
Typical,1,1,19,0,156,2,157,12,12,986,97,3.100000147242099
Typical,1,1,20,0,112,1,112,8,8,987,96,6.700000318232924
Typical,1,1,21,0,55,0,55,6,7,987,96,6.200000294484198
Typical,1,1,22,0,13,0,13,6,6,988,96,6.200000294484198
Typical,1,1,23,0,0,0,0,5,6,988,93,6.200000294484198
Typical,1,2,0,0,0,0,0,5,6,988,93,5.700000270735472
Typical,1,2,1,0,0,0,0,5,6,988,93,5.700000270735472
Typical,1,2,2,0,0,0,0,4,5,988,93,5.700000270735472
Typical,1,2,3,0,0,0,0,3,5,988,89,5.200000246986747
Typical,1,2,4,0,0,0,0,3,4,989,93,4.600000218488276
Typical,1,2,5,0,0,0,0,2,3,989,93,3.6000001709908247
Typical,1,2,6,0,0,0,0,2,3,989,93,5.200000246986747
Typical,1,2,7,0,0,0,0,2,3,990,89,4.600000218488276
Typical,1,2,8,0,0,0,0,1,3,989,89,3.100000147242099
Typical,1,2,9,0,0,0,0,1,3,989,89,4.10000019473955
Typical,1,2,10,0,0,0,0,1,3,989,89,3.100000147242099
Typical,1,2,11,0,0,0,0,1,3,990,86,3.6000001709908247
Typical,1,2,12,0,6,0,6,1,3,991,89,4.10000019473955
Typical,1,2,13,0,54,0,54,2,3,992,89,4.10000019473955
Typical,1,2,14,0,137,1,137,2,5,992,83,4.10000019473955
Typical,1,2,15,0,200,0,201,3,6,992,80,7.200000341981649
Typical,1,2,16,0,279,2,280,2,7,992,74,5.200000246986747
Typical,1,2,17,0,218,563,527,0,7,991,58,5.700000270735472
Typical,1,2,18,0,183,590,497,0,8,991,56,5.200000246986747
Typical,1,2,19,0,211,67,242,0,8,991,58,4.10000019473955
Typical,1,2,20,0,87,9,90,0,8,990,58,5.200000246986747
Typical,1,2,21,0,86,4,87,1,8,991,61,5.200000246986747
Typical,1,2,22,0,17,0,17,1,7,991,66,4.10000019473955
Typical,1,2,23,0,0,0,0,1,7,990,66,3.6000001709908247
Typical,1,3,0,0,0,0,0,1,6,991,68,5.200000246986747
Typical,1,3,1,0,0,0,0,0,6,991,68,6.700000318232924
Typical,1,3,2,0,0,0,0,0,6,991,65,5.700000270735472
Typical,1,3,3,0,0,0,0,0,5,990,68,6.700000318232924
Typical,1,3,4,0,0,0,0,0,5,990,70,6.700000318232924
Typical,1,3,5,0,0,0,0,0,5,990,70,6.200000294484198
Typical,1,3,6,0,0,0,0,0,5,989,73,5.700000270735472
Typical,1,3,7,0,0,0,0,1,4,989,82,5.200000246986747
Typical,1,3,8,0,0,0,0,1,3,989,89,5.700000270735472
Typical,1,3,9,0,0,0,0,1,3,989,89,4.600000218488276
Typical,1,3,10,0,0,0,0,1,2,988,93,4.600000218488276
Typical,1,3,11,0,0,0,0,1,2,989,93,5.700000270735472
Typical,1,3,12,0,2,0,2,1,2,988,93,5.700000270735472
Typical,1,3,13,0,25,2,25,0,1,988,92,6.700000318232924
Typical,1,3,14,0,75,7,77,0,1,988,92,9.300000441726297
Typical,1,3,15,0,104,4,106,1,1,988,96,6.700000318232924
Typical,1,3,16,0,141,2,142,1,2,987,93,5.200000246986747
Typical,1,3,17,0,159,1,159,1,2,986,96,7.200000341981649
Typical,1,3,18,0,159,1,159,1,2,984,93,5.700000270735472
Typical,1,3,19,0,148,2,149,2,2,984,96,5.700000270735472
Typical,1,3,20,0,179,0,179,2,2,984,96,4.10000019473955
Typical,1,3,21,0,56,1,56,2,2,984,96,3.100000147242099
Typical,1,3,22,0,13,0,13,2,2,983,96,5.700000270735472
Typical,1,3,23,0,0,0,0,2,2,983,96,4.10000019473955
Typical,1,4,0,0,0,0,0,2,2,985,96,4.600000218488276
Typical,1,4,1,0,0,0,0,2,3,984,96,4.600000218488276
Typical,1,4,2,0,0,0,0,2,3,984,93,4.600000218488276
Typical,1,4,3,0,0,0,0,3,3,983,96,4.10000019473955
Typical,1,4,4,0,0,0,0,3,3,983,96,0.0
Typical,1,4,5,0,0,0,0,3,3,983,96,2.6000001234933734
Typical,1,4,6,0,0,0,0,3,3,983,100,5.200000246986747
Typical,1,4,7,0,0,0,0,3,3,983,100,5.200000246986747
Typical,1,4,8,0,0,0,0,3,3,983,100,4.600000218488276
Typical,1,4,9,0,0,0,0,3,3,983,96,6.200000294484198
Typical,1,4,10,0,0,0,0,2,3,984,93,6.200000294484198
Typical,1,4,11,0,0,0,0,2,3,985,89,4.600000218488276
Typical,1,4,12,0,5,0,5,1,3,986,82,5.200000246986747
Typical,1,4,13,0,57,1,57,0,3,987,79,7.200000341981649
Typical,1,4,14,0,96,424,223,0,3,988,76,5.200000246986747
Typical,1,4,15,0,117,567,361,-1,4,988,68,6.700000318232924
Typical,1,4,16,0,132,727,507,-1,5,989,62,7.200000341981649
Typical,1,4,17,0,167,794,605,-1,5,988,63,8.2000003894791
Typical,1,4,18,0,178,518,456,-1,6,987,56,7.700000365730375
Typical,1,4,19,0,157,583,430,-2,6,987,54,7.200000341981649
Typical,1,4,20,0,129,290,232,-2,6,987,53,7.200000341981649
Typical,1,4,21,0,74,77,89,-3,5,988,53,6.200000294484198
Typical,1,4,22,0,25,10,26,-3,5,988,55,5.700000270735472
Typical,1,4,23,0,0,0,0,-2,4,989,60,5.700000270735472
Typical,1,5,0,0,0,0,0,-3,3,989,62,6.700000318232924
Typical,1,5,1,0,0,0,0,-5,2,989,57,6.200000294484198
Typical,1,5,2,0,0,0,0,-4,2,990,62,5.200000246986747
Typical,1,5,3,0,0,0,0,-4,1,990,64,4.600000218488276
Typical,1,5,4,0,0,0,0,-7,1,990,52,4.600000218488276
Typical,1,5,5,0,0,0,0,-6,0,991,59,7.200000341981649
Typical,1,5,6,0,0,0,0,-8,0,991,56,7.700000365730375
Typical,1,5,7,0,0,0,0,-9,-1,991,54,6.700000318232924
Typical,1,5,8,0,0,0,0,-10,-1,991,51,6.200000294484198
Typical,1,5,9,0,0,0,0,-12,-2,991,47,8.2000003894791
Typical,1,5,10,0,0,0,0,-12,-2,991,47,6.700000318232924
Typical,1,5,11,0,0,0,0,-12,-2,992,47,6.200000294484198
Typical,1,5,12,0,6,9,7,-15,-2,993,39,7.200000341981649
Typical,1,5,13,0,59,145,78,-14,-2,994,41,7.200000341981649
Typical,1,5,14,0,86,510,238,-16,-2,995,34,6.200000294484198
Typical,1,5,15,0,64,858,434,-17,-1,995,27,8.2000003894791
Typical,1,5,16,0,68,927,547,-17,0,995,24,6.200000294484198
Typical,1,5,17,0,71,934,588,-17,1,994,22,7.700000365730375
Typical,1,5,18,0,65,946,574,-18,2,993,20,5.200000246986747
Typical,1,5,19,0,59,906,486,-18,2,993,20,6.200000294484198
Typical,1,5,20,0,155,304,263,-18,2,993,20,6.200000294484198
Typical,1,5,21,0,78,240,128,-17,1,993,24,6.700000318232924
Typical,1,5,22,0,19,143,33,-18,0,993,24,4.10000019473955
Typical,1,5,23,0,0,0,0,-16,0,993,29,3.6000001709908247
Typical,1,6,0,0,0,0,0,-17,-1,993,29,4.600000218488276
Typical,1,6,1,0,0,0,0,-17,-1,993,30,5.700000270735472
Typical,1,6,2,0,0,0,0,-16,-2,993,34,6.200000294484198
Typical,1,6,3,0,0,0,0,-15,-2,993,37,5.700000270735472
Typical,1,6,4,0,0,0,0,-15,-3,993,39,4.600000218488276
Typical,1,6,5,0,0,0,0,-15,-2,992,37,5.200000246986747
Typical,1,6,6,0,0,0,0,-15,-3,992,39,5.200000246986747
Typical,1,6,7,0,0,0,0,-15,-3,992,39,5.700000270735472
Typical,1,6,8,0,0,0,0,-14,-3,993,42,6.200000294484198
Typical,1,6,9,0,0,0,0,-15,-3,992,42,4.10000019473955
Typical,1,6,10,0,0,0,0,-15,-4,993,44,6.200000294484198
Typical,1,6,11,0,0,0,0,-15,-4,993,42,4.600000218488276
Typical,1,6,12,0,1,4,2,-16,-4,993,38,4.10000019473955
Typical,1,6,13,0,46,53,53,-15,-4,993,42,3.6000001709908247
Typical,1,6,14,0,106,172,158,-16,-3,994,39,4.600000218488276
Typical,1,6,15,0,207,59,232,-16,-3,994,35,3.6000001709908247
Typical,1,6,16,0,268,20,278,-16,-2,994,34,4.10000019473955
Typical,1,6,17,0,176,10,182,-16,-1,993,33,3.100000147242099
Typical,1,6,18,0,186,13,193,-14,-1,992,36,3.100000147242099
Typical,1,6,19,0,217,208,315,-9,-1,991,54,3.100000147242099
Typical,1,6,20,0,112,12,117,-7,0,991,59,2.6000001234933734
Typical,1,6,21,0,81,0,81,-7,0,991,59,3.100000147242099
Typical,1,6,22,0,15,0,15,-8,0,991,56,2.6000001234933734
Typical,1,6,23,0,0,0,0,-9,-1,991,54,3.100000147242099
Typical,1,7,0,0,0,0,0,-9,-1,992,54,2.6000001234933734
Typical,1,7,1,0,0,0,0,-11,0,991,43,3.100000147242099
Typical,1,7,2,0,0,0,0,-12,0,991,41,3.100000147242099
Typical,1,7,3,0,0,0,0,-11,0,990,43,4.10000019473955
Typical,1,7,4,0,0,0,0,-11,0,990,42,6.200000294484198
Typical,1,7,5,0,0,0,0,-11,0,990,43,7.200000341981649
Typical,1,7,6,0,0,0,0,-12,0,990,38,6.200000294484198
Typical,1,7,7,0,0,0,0,-13,0,990,36,7.700000365730375
Typical,1,7,8,0,0,0,0,-12,0,990,40,6.200000294484198
Typical,1,7,9,0,0,0,0,-12,0,990,41,10.300000489223748
Typical,1,7,10,0,0,0,0,-12,-1,990,41,8.800000417977571
Typical,1,7,11,0,0,0,0,-10,-2,990,56,7.700000365730375
Typical,1,7,12,0,5,1,6,-7,-3,990,72,8.2000003894791
Typical,1,7,13,0,32,2,33,-6,-3,990,85,8.2000003894791
Typical,1,7,14,0,127,5,128,-5,-3,990,88,10.800000512972474
Typical,1,7,15,0,194,5,197,-5,-3,990,92,7.200000341981649
Typical,1,7,16,0,241,5,244,-4,-3,988,96,9.300000441726297
Typical,1,7,17,0,258,3,260,-4,-3,987,92,7.200000341981649
Typical,1,7,18,0,291,1,291,-5,-3,985,92,8.2000003894791
Typical,1,7,19,0,244,1,245,-5,-3,984,92,5.200000246986747
Typical,1,7,20,0,178,1,178,-5,-3,985,92,8.2000003894791
Typical,1,7,21,0,96,1,96,-6,-5,985,92,8.800000417977571
Typical,1,7,22,0,28,0,28,-6,-5,984,88,9.300000441726297
Typical,1,7,23,0,0,0,0,-7,-5,984,85,8.800000417977571
