Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,722230.0,-,AL,-,30.683000000000003,-88.25,0,66,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,16,19,1011,87,9.100000432226807
Typical,1,1,1,0,0,0,0,16,19,1011,87,9.500000451225787
Typical,1,1,2,0,0,0,0,17,19,1011,87,9.800000465475023
Typical,1,1,3,0,0,0,0,16,19,1011,88,8.300000394228846
Typical,1,1,4,0,0,0,0,17,19,1011,89,6.700000318232924
Typical,1,1,5,0,0,0,0,17,19,1011,90,5.200000246986747
Typical,1,1,6,0,0,0,0,-4,0,1020,69,1.500000071246177
Typical,1,1,7,0,0,0,0,-4,0,1021,69,1.500000071246177
Typical,1,1,8,0,0,0,0,-5,1,1021,58,3.6000001709908247
Typical,1,1,9,0,0,0,0,-5,1,1021,61,3.6000001709908247
Typical,1,1,10,0,0,0,0,-4,1,1021,64,2.6000001234933734
Typical,1,1,11,0,0,0,0,-2,0,1021,76,4.10000019473955
Typical,1,1,12,0,0,0,0,-2,0,1022,80,2.6000001234933734
Typical,1,1,13,0,57,0,57,-2,0,1022,80,3.6000001709908247
Typical,1,1,14,0,112,0,112,-1,1,1022,80,4.600000218488276
Typical,1,1,15,0,120,0,120,-1,2,1023,74,4.600000218488276
Typical,1,1,16,0,248,67,284,-1,3,1023,69,5.700000270735472
Typical,1,1,17,0,263,289,433,-1,4,1022,67,4.10000019473955
Typical,1,1,18,0,165,670,557,0,6,1021,62,3.6000001709908247
Typical,1,1,19,0,103,760,505,-1,6,1020,59,4.10000019473955
Typical,1,1,20,0,101,639,372,-1,5,1020,61,3.100000147242099
Typical,1,1,21,0,65,571,222,-2,5,1020,56,3.6000001709908247
Typical,1,1,22,0,19,354,53,-2,3,1021,63,2.6000001234933734
Typical,1,1,23,0,0,0,0,-1,0,1021,87,1.500000071246177
Typical,1,2,0,0,0,0,0,-2,0,1022,79,2.1000000997446477
Typical,1,2,1,0,0,0,0,-3,0,1022,72,3.100000147242099
Typical,1,2,2,0,0,0,0,-5,0,1023,62,5.200000246986747
Typical,1,2,3,0,0,0,0,-6,-1,1024,62,5.200000246986747
Typical,1,2,4,0,0,0,0,-7,-1,1024,59,5.700000270735472
Typical,1,2,5,0,0,0,0,-7,-2,1024,62,5.200000246986747
Typical,1,2,6,0,0,0,0,-9,-2,1024,57,6.700000318232924
Typical,1,2,7,0,0,0,0,-9,-3,1024,59,7.200000341981649
Typical,1,2,8,0,0,0,0,-10,-3,1024,59,5.700000270735472
Typical,1,2,9,0,0,0,0,-10,-4,1024,61,4.600000218488276
Typical,1,2,10,0,0,0,0,-8,-5,1025,71,4.10000019473955
Typical,1,2,11,0,0,0,0,-9,-5,1026,72,4.600000218488276
Typical,1,2,12,0,0,0,0,-9,-6,1027,75,6.200000294484198
Typical,1,2,13,0,57,0,57,-9,-5,1027,68,6.200000294484198
Typical,1,2,14,0,65,650,255,-8,-3,1028,65,4.600000218488276
Typical,1,2,15,0,99,702,406,-8,-1,1028,57,5.200000246986747
Typical,1,2,16,0,110,746,511,-8,0,1028,47,5.700000270735472
Typical,1,2,17,0,105,807,580,-8,2,1027,40,6.200000294484198
Typical,1,2,18,0,92,814,569,-8,3,1026,35,5.700000270735472
Typical,1,2,19,0,117,743,511,-8,4,1025,36,5.700000270735472
Typical,1,2,20,0,151,416,328,-8,4,1025,36,4.10000019473955
Typical,1,2,21,0,90,334,183,-8,3,1025,37,4.10000019473955
Typical,1,2,22,0,27,145,41,-7,2,1025,42,3.6000001709908247
Typical,1,2,23,0,0,0,0,-7,1,1026,50,3.6000001709908247
Typical,1,3,0,0,0,0,0,-7,0,1026,49,4.10000019473955
Typical,1,3,1,0,0,0,0,-7,0,1026,52,4.10000019473955
Typical,1,3,2,0,0,0,0,-7,0,1027,54,3.6000001709908247
Typical,1,3,3,0,0,0,0,-7,-1,1027,59,3.6000001709908247
Typical,1,3,4,0,0,0,0,-7,-2,1026,62,3.100000147242099
Typical,1,3,5,0,0,0,0,-7,-2,1026,65,3.6000001709908247
Typical,1,3,6,0,0,0,0,-7,-2,1025,65,3.6000001709908247
Typical,1,3,7,0,0,0,0,-7,-3,1025,68,3.100000147242099
Typical,1,3,8,0,0,0,0,-7,-3,1025,71,3.100000147242099
Typical,1,3,9,0,0,0,0,-7,-4,1025,75,2.1000000997446477
Typical,1,3,10,0,0,0,0,-8,-5,1025,75,3.100000147242099
Typical,1,3,11,0,0,0,0,-7,-5,1026,79,2.1000000997446477
Typical,1,3,12,0,0,0,0,-7,-5,1025,79,3.100000147242099
Typical,1,3,13,0,63,324,101,-7,-3,1025,75,4.10000019473955
Typical,1,3,14,0,142,129,180,-7,-2,1026,69,3.6000001709908247
Typical,1,3,15,0,229,160,299,-7,0,1025,57,2.6000001234933734
Typical,1,3,16,0,266,152,347,-7,1,1025,50,1.500000071246177
Typical,1,3,17,0,213,12,220,-7,2,1024,44,0.0
Typical,1,3,18,0,268,48,296,-8,3,1022,39,3.100000147242099
Typical,1,3,19,0,172,0,172,-7,3,1021,39,3.100000147242099
Typical,1,3,20,0,185,29,197,-8,3,1021,37,2.6000001234933734
Typical,1,3,21,0,112,96,139,-7,2,1020,42,1.500000071246177
Typical,1,3,22,0,36,222,58,-7,2,1020,42,0.0
Typical,1,3,23,0,0,0,0,-6,-1,1020,65,0.0
Typical,1,4,0,0,0,0,0,-6,-3,1020,75,1.500000071246177
Typical,1,4,1,0,0,0,0,-5,-3,1020,86,1.500000071246177
Typical,1,4,2,0,0,0,0,-7,-2,1020,69,0.0
Typical,1,4,3,0,0,0,0,-6,-5,1020,91,0.0
Typical,1,4,4,0,0,0,0,-7,-5,1019,83,1.500000071246177
Typical,1,4,5,0,0,0,0,-7,-4,1020,75,2.1000000997446477
Typical,1,4,6,0,0,0,0,-7,-5,1019,83,2.1000000997446477
Typical,1,4,7,0,0,0,0,-8,-3,1018,68,2.1000000997446477
Typical,1,4,8,0,0,0,0,-8,-4,1018,71,3.100000147242099
Typical,1,4,9,0,0,0,0,-8,-3,1018,68,2.6000001234933734
Typical,1,4,10,0,0,0,0,-8,-3,1018,68,2.1000000997446477
Typical,1,4,11,0,0,0,0,-8,-3,1019,68,1.500000071246177
Typical,1,4,12,0,0,0,0,-8,-5,1018,79,0.0
Typical,1,4,13,0,45,358,87,-6,-2,1019,72,1.500000071246177
Typical,1,4,14,0,67,644,255,-5,1,1019,58,2.6000001234933734
Typical,1,4,15,0,77,782,419,-7,5,1020,38,3.6000001709908247
Typical,1,4,16,0,104,825,549,-6,6,1019,37,2.1000000997446477
Typical,1,4,17,0,140,723,568,-4,8,1018,39,2.6000001234933734
Typical,1,4,18,0,90,832,581,-4,9,1016,36,2.1000000997446477
Typical,1,4,19,0,88,802,517,-3,10,1016,36,2.1000000997446477
