Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,722329.0,-,LA,-,29.717,-91.333,0,3,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,1,14,1013,41,4.10000019473955
Typical,1,1,1,0,0,0,0,0,13,1013,41,2.6000001234933734
Typical,1,1,2,0,0,0,0,-1,12,1013,40,3.6000001709908247
Typical,1,1,3,0,0,0,0,-1,12,1013,40,2.1000000997446477
Typical,1,1,4,0,0,0,0,-1,12,1013,40,2.6000001234933734
Typical,1,1,5,0,0,0,0,-2,12,1013,37,0.0
Typical,1,1,6,0,0,0,0,-2,11,1013,39,0.0
Typical,1,1,7,0,0,0,0,-2,11,1013,39,0.0
Typical,1,1,8,0,0,0,0,-2,9,1013,45,0.0
Typical,1,1,9,0,0,0,0,-3,9,1013,41,0.0
Typical,1,1,10,0,0,0,0,-4,8,1013,41,1.500000071246177
Typical,1,1,11,0,0,0,0,-4,7,1013,44,0.0
Typical,1,1,12,0,0,0,0,-5,7,1013,40,0.0
Typical,1,1,13,0,0,0,0,-5,7,1013,40,0.0
Typical,1,1,14,0,74,594,234,-2,10,1013,42,0.0
Typical,1,1,15,0,87,736,397,-1,13,1013,38,1.500000071246177
Typical,1,1,16,0,127,705,502,-1,17,1013,29,0.0
Typical,1,1,17,0,114,790,583,-1,20,1013,24,0.0
Typical,1,1,18,0,114,791,590,2,22,1013,27,3.100000147242099
Typical,1,1,19,0,115,738,526,2,23,1013,25,2.6000001234933734
Typical,1,1,20,0,81,753,427,3,23,1013,27,4.10000019473955
Typical,1,1,21,0,61,659,270,3,22,1013,29,3.6000001709908247
Typical,1,1,22,0,28,479,96,3,21,1013,30,4.10000019473955
Typical,1,1,23,0,0,0,0,3,19,1013,34,3.100000147242099
Typical,1,2,0,0,0,0,0,4,18,1013,39,2.6000001234933734
Typical,1,2,1,0,0,0,0,4,18,1013,39,2.6000001234933734
Typical,1,2,2,0,0,0,0,4,18,1013,39,2.1000000997446477
Typical,1,2,3,0,0,0,0,4,17,1013,42,3.100000147242099
Typical,1,2,4,0,0,0,0,4,17,1013,42,3.100000147242099
Typical,1,2,5,0,0,0,0,4,18,1013,39,3.100000147242099
Typical,1,2,6,0,0,0,0,3,17,1013,39,2.1000000997446477
Typical,1,2,7,0,0,0,0,3,16,1013,42,2.1000000997446477
Typical,1,2,8,0,0,0,0,3,17,1013,39,2.6000001234933734
Typical,1,2,9,0,0,0,0,3,17,1013,39,2.6000001234933734
Typical,1,2,10,0,0,0,0,3,17,1013,39,3.100000147242099
Typical,1,2,11,0,0,0,0,3,17,1013,39,3.100000147242099
Typical,1,2,12,0,0,0,0,3,17,1013,39,2.6000001234933734
Typical,1,2,13,0,0,0,0,4,18,1013,39,3.100000147242099
Typical,1,2,14,0,54,725,249,6,21,1013,38,3.6000001709908247
Typical,1,2,15,0,80,785,411,6,23,1013,33,5.700000270735472
Typical,1,2,16,0,204,523,483,7,25,1013,32,5.100000242237002
Typical,1,2,17,0,212,36,233,6,25,1013,30,7.700000365730375
Typical,1,2,18,0,268,288,441,6,26,1013,28,6.700000318232924
Typical,1,2,19,0,195,500,474,6,25,1013,30,6.200000294484198
Typical,1,2,20,0,160,518,399,8,24,1013,36,9.300000441726297
Typical,1,2,21,0,134,92,164,8,24,1013,36,5.700000270735472
Typical,1,2,22,0,55,261,93,8,23,1013,38,5.100000242237002
Typical,1,2,23,0,0,0,0,8,22,1013,41,4.600000218488276
Typical,1,3,0,0,0,0,0,7,21,1013,40,3.6000001709908247
Typical,1,3,1,0,0,0,0,8,21,1013,43,4.10000019473955
Typical,1,3,2,0,0,0,0,14,21,1013,64,4.10000019473955
Typical,1,3,3,0,0,0,0,7,21,1013,40,3.100000147242099
Typical,1,3,4,0,0,0,0,3,19,1013,34,3.100000147242099
Typical,1,3,5,0,0,0,0,3,19,1013,34,4.10000019473955
Typical,1,3,6,0,0,0,0,2,20,1013,30,3.100000147242099
Typical,1,3,7,0,0,0,0,17,21,1013,78,6.200000294484198
Typical,1,3,8,0,0,0,0,17,21,1013,78,5.100000242237002
Typical,1,3,9,0,0,0,0,17,21,1013,78,4.600000218488276
Typical,1,3,10,0,0,0,0,18,21,1013,83,4.600000218488276
Typical,1,3,11,0,0,0,0,18,21,1013,83,4.10000019473955
Typical,1,3,12,0,0,0,0,18,21,1013,83,3.100000147242099
Typical,1,3,13,0,0,0,0,18,22,1013,78,5.700000270735472
Typical,1,3,14,0,124,33,133,18,22,1013,78,5.100000242237002
Typical,1,3,15,0,199,87,236,19,22,1013,83,5.100000242237002
Typical,1,3,16,0,108,0,108,19,24,1013,74,8.2000003894791
