Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,722350.0,-,MS,-,32.317,-90.083,0,94,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,1,5,1006,76,3.100000147242099
Typical,1,1,1,0,0,0,0,1,5,1007,76,2.1000000997446477
Typical,1,1,2,0,0,0,0,1,5,1007,79,3.6000001709908247
Typical,1,1,3,0,0,0,0,1,5,1007,79,3.6000001709908247
Typical,1,1,4,0,0,0,0,1,5,1007,79,2.1000000997446477
Typical,1,1,5,0,0,0,0,1,5,1006,79,4.600000218488276
Typical,1,1,6,0,0,0,0,-2,-2,1005,96,0.0
Typical,1,1,7,0,0,0,0,-3,-2,1005,96,0.0
Typical,1,1,8,0,0,0,0,-3,-2,1005,96,0.0
Typical,1,1,9,0,0,0,0,-4,-3,1005,92,0.0
Typical,1,1,10,0,0,0,0,-4,-3,1006,96,1.500000071246177
Typical,1,1,11,0,0,0,0,-1,-1,1006,100,1.500000071246177
Typical,1,1,12,0,0,0,0,-1,-1,1007,100,1.500000071246177
Typical,1,1,13,0,35,108,46,-1,-1,1007,100,1.500000071246177
Typical,1,1,14,0,25,743,216,0,1,1008,96,2.1000000997446477
Typical,1,1,15,0,40,889,397,1,5,1008,76,2.6000001234933734
Typical,1,1,16,0,48,953,529,1,7,1008,68,3.6000001709908247
Typical,1,1,17,0,52,972,596,1,8,1007,61,4.10000019473955
Typical,1,1,18,0,52,986,608,1,9,1007,59,5.200000246986747
Typical,1,1,19,0,48,961,542,1,10,1006,55,4.600000218488276
Typical,1,1,20,0,39,880,404,2,10,1006,57,5.200000246986747
Typical,1,1,21,0,125,50,138,2,10,1006,59,5.700000270735472
Typical,1,1,22,0,33,11,34,2,8,1007,63,3.6000001709908247
Typical,1,1,23,0,1,0,1,2,8,1007,68,7.200000341981649
Typical,1,2,0,0,0,0,0,1,6,1009,68,4.10000019473955
Typical,1,2,1,0,0,0,0,0,5,1009,71,2.6000001234933734
Typical,1,2,2,0,0,0,0,0,2,1009,85,0.0
Typical,1,2,3,0,0,0,0,0,0,1009,96,1.500000071246177
Typical,1,2,4,0,0,0,0,-1,0,1009,96,0.0
Typical,1,2,5,0,0,0,0,-1,-1,1009,100,0.0
Typical,1,2,6,0,0,0,0,-2,-1,1009,96,0.0
Typical,1,2,7,0,0,0,0,-2,-2,1009,96,0.0
Typical,1,2,8,0,0,0,0,-2,-2,1010,96,2.1000000997446477
Typical,1,2,9,0,0,0,0,-1,-1,1010,96,1.500000071246177
Typical,1,2,10,0,0,0,0,-2,-2,1010,96,0.0
Typical,1,2,11,0,0,0,0,-3,-2,1011,92,0.0
Typical,1,2,12,0,0,0,0,-5,-4,1011,96,0.0
Typical,1,2,13,0,19,394,58,-2,-2,1011,96,0.0
Typical,1,2,14,0,34,748,225,0,1,1012,92,0.0
Typical,1,2,15,0,46,867,394,-1,4,1013,68,3.100000147242099
Typical,1,2,16,0,54,936,527,-2,7,1013,52,3.6000001709908247
Typical,1,2,17,0,59,960,598,-3,7,1012,46,3.6000001709908247
Typical,1,2,18,0,59,966,605,-3,8,1011,41,1.500000071246177
Typical,1,2,19,0,55,943,541,-3,10,1010,39,1.500000071246177
Typical,1,2,20,0,47,895,419,-3,10,1009,39,2.6000001234933734
Typical,1,2,21,0,35,783,251,-3,9,1010,39,0.0
Typical,1,2,22,0,20,488,71,-2,7,1009,49,2.1000000997446477
Typical,1,2,23,0,1,6,6,-2,3,1009,67,0.0
Typical,1,3,0,0,0,0,0,-2,1,1010,73,1.500000071246177
Typical,1,3,1,0,0,0,0,-2,0,1010,85,0.0
Typical,1,3,2,0,0,0,0,-2,0,1010,85,0.0
Typical,1,3,3,0,0,0,0,-3,-1,1010,82,2.1000000997446477
Typical,1,3,4,0,0,0,0,-3,-1,1010,85,3.100000147242099
Typical,1,3,5,0,0,0,0,-3,0,1010,82,2.6000001234933734
Typical,1,3,6,0,0,0,0,-1,0,1010,89,0.0
Typical,1,3,7,0,0,0,0,0,0,1010,92,1.500000071246177
Typical,1,3,8,0,0,0,0,-1,2,1010,79,4.10000019473955
Typical,1,3,9,0,0,0,0,-3,4,1010,55,4.600000218488276
Typical,1,3,10,0,0,0,0,-4,5,1009,51,4.10000019473955
Typical,1,3,11,0,0,0,0,-5,5,1009,49,5.200000246986747
Typical,1,3,12,0,0,0,0,-4,5,1009,51,6.700000318232924
Typical,1,3,13,0,20,4,20,-5,6,1009,45,6.700000318232924
Typical,1,3,14,0,78,8,80,-5,6,1009,45,7.700000365730375
Typical,1,3,15,0,142,9,146,-3,7,1008,44,6.700000318232924
Typical,1,3,16,0,227,9,232,-3,8,1007,42,6.700000318232924
Typical,1,3,17,0,282,10,287,-3,8,1006,42,5.700000270735472
Typical,1,3,18,0,226,9,231,-2,10,1004,41,5.200000246986747
Typical,1,3,19,0,139,6,142,-1,10,1004,46,4.10000019473955
Typical,1,3,20,0,111,0,111,0,8,1003,52,3.6000001709908247
Typical,1,3,21,0,72,2,73,5,5,1005,96,1.500000071246177
Typical,1,3,22,0,24,1,24,4,5,1004,93,5.700000270735472
Typical,1,3,23,0,1,0,1,4,5,1003,93,10.300000489223748
Typical,1,4,0,0,0,0,0,3,5,1001,93,11.3000005367212
Typical,1,4,1,0,0,0,0,3,5,1001,93,7.200000341981649
Typical,1,4,2,0,0,0,0,3,5,1001,89,5.700000270735472
Typical,1,4,3,0,0,0,0,4,5,1001,93,3.100000147242099
Typical,1,4,4,0,0,0,0,4,5,1001,93,2.1000000997446477
Typical,1,4,5,0,0,0,0,4,5,1002,93,3.6000001709908247
Typical,1,4,6,0,0,0,0,3,5,1002,89,4.10000019473955
Typical,1,4,7,0,0,0,0,3,5,1002,89,4.10000019473955
Typical,1,4,8,0,0,0,0,3,5,1003,93,4.10000019473955
Typical,1,4,9,0,0,0,0,3,5,1003,93,4.600000218488276
Typical,1,4,10,0,0,0,0,3,4,1004,96,6.200000294484198
Typical,1,4,11,0,0,0,0,3,4,1005,96,7.200000341981649
Typical,1,4,12,0,0,0,0,3,3,1006,96,5.200000246986747
Typical,1,4,13,0,43,0,43,3,3,1007,96,5.200000246986747
Typical,1,4,14,0,122,1,122,3,4,1007,93,5.200000246986747
Typical,1,4,15,0,204,1,204,3,5,1008,93,4.600000218488276
Typical,1,4,16,0,276,0,277,3,5,1009,89,5.700000270735472
Typical,1,4,17,0,297,1,297,3,6,1008,83,6.200000294484198
Typical,1,4,18,0,317,1,318,3,7,1007,80,6.200000294484198
Typical,1,4,19,0,201,321,368,3,8,1007,69,7.200000341981649
Typical,1,4,20,0,95,618,355,3,9,1007,69,8.2000003894791
Typical,1,4,21,0,41,714,241,3,9,1008,69,6.200000294484198
Typical,1,4,22,0,18,503,72,3,7,1009,77,5.200000246986747
Typical,1,4,23,0,1,21,7,3,6,1009,80,5.200000246986747
Typical,1,5,0,0,0,0,0,2,5,1010,83,4.600000218488276
Typical,1,5,1,0,0,0,0,2,4,1010,86,5.200000246986747
Typical,1,5,2,0,0,0,0,2,3,1011,93,5.200000246986747
Typical,1,5,3,0,0,0,0,2,3,1011,93,3.100000147242099
Typical,1,5,4,0,0,0,0,2,2,1011,96,4.10000019473955
Typical,1,5,5,0,0,0,0,1,2,1011,96,4.10000019473955
Typical,1,5,6,0,0,0,0,1,1,1011,96,3.100000147242099
Typical,1,5,7,0,0,0,0,0,1,1011,96,3.100000147242099
Typical,1,5,8,0,0,0,0,0,1,1011,96,2.1000000997446477
Typical,1,5,9,0,0,0,0,0,0,1011,96,2.6000001234933734
Typical,1,5,10,0,0,0,0,0,0,1012,100,2.1000000997446477
