Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,722636.0,-,TX,-,36.016999999999996,-102.55,0,1216,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-2,0,882,85,7.700000365730375
Typical,1,1,1,0,0,0,0,-2,0,882,85,7.700000365730375
Typical,1,1,2,0,0,0,0,-3,-1,881,85,7.700000365730375
Typical,1,1,3,0,0,0,0,-3,-1,881,85,6.700000318232924
Typical,1,1,4,0,0,0,0,-4,-2,880,85,5.700000270735472
Typical,1,1,5,0,0,0,0,-4,-2,879,85,7.200000341981649
Typical,1,1,6,0,0,0,0,-6,-3,878,77,5.100000242237002
Typical,1,1,7,0,0,0,0,-5,-3,877,84,4.600000218488276
Typical,1,1,8,0,0,0,0,-3,-2,877,92,5.100000242237002
Typical,1,1,9,0,0,0,0,-4,-3,876,92,5.100000242237002
Typical,1,1,10,0,0,0,0,-5,-3,875,84,6.200000294484198
Typical,1,1,11,0,0,0,0,-6,-5,875,92,3.6000001709908247
Typical,1,1,12,0,0,0,0,-6,-5,875,92,4.600000218488276
Typical,1,1,13,0,0,0,0,-6,-5,875,89,4.600000218488276
Typical,1,1,14,0,0,0,0,-6,-4,874,84,4.600000218488276
Typical,1,1,15,0,42,800,234,-4,-2,876,85,3.6000001709908247
Typical,1,1,16,0,52,904,390,-4,3,878,58,4.10000019473955
Typical,1,1,17,0,58,949,501,-1,6,879,60,3.6000001709908247
Typical,1,1,18,0,133,813,549,1,7,878,66,3.100000147242099
Typical,1,1,19,0,180,520,443,3,9,878,66,3.6000001709908247
Typical,1,1,20,0,90,758,433,4,9,878,71,2.6000001234933734
Typical,1,1,21,0,76,658,306,3,9,878,66,3.6000001709908247
Typical,1,1,22,0,52,441,145,3,7,878,76,4.10000019473955
Typical,1,1,23,0,12,147,19,0,4,877,75,4.10000019473955
Typical,1,2,0,0,0,0,0,0,2,876,87,3.100000147242099
Typical,1,2,1,0,0,0,0,-1,1,875,86,3.6000001709908247
Typical,1,2,2,0,0,0,0,-2,1,875,79,2.6000001234933734
Typical,1,2,3,0,0,0,0,-3,1,875,72,3.6000001709908247
Typical,1,2,4,0,0,0,0,-3,1,874,72,4.10000019473955
Typical,1,2,5,0,0,0,0,-2,2,873,73,3.6000001709908247
Typical,1,2,6,0,0,0,0,-5,1,872,61,3.6000001709908247
Typical,1,2,7,0,0,0,0,-5,-2,871,78,3.100000147242099
Typical,1,2,8,0,0,0,0,-6,-2,871,71,4.10000019473955
Typical,1,2,9,0,0,0,0,-6,-3,870,77,4.10000019473955
Typical,1,2,10,0,0,0,0,-5,-3,870,84,2.6000001234933734
Typical,1,2,11,0,0,0,0,-5,-2,870,78,4.10000019473955
Typical,1,2,12,0,0,0,0,-7,-4,870,77,3.100000147242099
Typical,1,2,13,0,0,0,0,-6,-4,870,84,4.10000019473955
Typical,1,2,14,0,0,0,0,-5,-2,871,78,4.10000019473955
Typical,1,2,15,0,47,814,242,-4,2,872,62,4.600000218488276
Typical,1,2,16,0,52,904,390,1,7,874,66,2.6000001234933734
Typical,1,2,17,0,58,949,501,2,8,874,66,2.6000001234933734
Typical,1,2,18,0,52,970,549,1,10,874,54,4.600000218488276
Typical,1,2,19,0,52,969,544,2,11,874,54,7.200000341981649
Typical,1,2,20,0,48,936,473,3,13,875,51,4.10000019473955
Typical,1,2,21,0,45,879,355,3,14,875,47,3.6000001709908247
Typical,1,2,22,0,28,751,187,3,11,874,58,5.100000242237002
Typical,1,2,23,0,8,295,21,3,8,873,71,6.200000294484198
Typical,1,3,0,0,0,0,0,2,7,874,70,7.200000341981649
Typical,1,3,1,0,0,0,0,2,7,874,70,7.700000365730375
Typical,1,3,2,0,0,0,0,2,8,874,66,8.2000003894791
Typical,1,3,3,0,0,0,0,2,7,873,70,8.2000003894791
Typical,1,3,4,0,0,0,0,2,6,873,75,7.200000341981649
Typical,1,3,5,0,0,0,0,1,6,873,70,7.200000341981649
Typical,1,3,6,0,0,0,0,1,7,872,66,7.700000365730375
Typical,1,3,7,0,0,0,0,1,6,872,70,9.300000441726297
Typical,1,3,8,0,0,0,0,1,4,871,81,4.600000218488276
Typical,1,3,9,0,0,0,0,0,4,871,75,4.10000019473955
Typical,1,3,10,0,0,0,0,0,3,871,81,5.100000242237002
Typical,1,3,11,0,0,0,0,0,3,872,81,4.10000019473955
Typical,1,3,12,0,0,0,0,0,3,872,81,5.100000242237002
Typical,1,3,13,0,0,0,0,1,5,873,75,5.700000270735472
Typical,1,3,14,0,0,0,0,1,5,873,75,4.600000218488276
Typical,1,3,15,0,44,827,243,1,6,874,70,4.10000019473955
Typical,1,3,16,0,110,768,397,2,6,875,75,4.600000218488276
Typical,1,3,17,0,187,414,380,3,9,875,64,4.900000232737511
Typical,1,3,18,0,267,181,360,5,13,875,58,5.100000242237002
Typical,1,3,19,0,229,305,384,3,14,875,47,4.600000218488276
Typical,1,3,20,0,187,53,211,6,14,875,59,4.600000218488276
Typical,1,3,21,0,91,0,91,3,6,874,81,8.700000413227826
Typical,1,3,22,0,33,0,33,1,2,873,93,9.300000441726297
Typical,1,3,23,0,14,128,20,0,1,874,93,8.700000413227826
Typical,1,4,0,0,0,0,0,-1,-1,876,100,5.100000242237002
Typical,1,4,1,0,0,0,0,-1,-1,875,99,5.500000261235982
Typical,1,4,2,0,0,0,0,-2,-1,875,95,5.800000275485218
Typical,1,4,3,0,0,0,0,-3,-2,874,92,6.200000294484198
Typical,1,4,4,0,0,0,0,-4,-2,874,85,5.700000270735472
Typical,1,4,5,0,0,0,0,-4,-2,873,88,5.400000256486237
Typical,1,4,6,0,0,0,0,-4,-3,872,92,5.100000242237002
Typical,1,4,7,0,0,0,0,-4,-3,872,88,5.100000242237002
Typical,1,4,8,0,0,0,0,-5,-3,872,84,5.100000242237002
Typical,1,4,9,0,0,0,0,-5,-3,873,84,4.600000218488276
Typical,1,4,10,0,0,0,0,-5,-4,873,92,4.10000019473955
Typical,1,4,11,0,0,0,0,-5,-3,873,84,3.6000001709908247
Typical,1,4,12,0,0,0,0,-4,-3,874,92,2.1000000997446477
Typical,1,4,13,0,0,0,0,-4,-3,874,97,2.6000001234933734
Typical,1,4,14,0,0,0,0,-3,-3,874,100,2.6000001234933734
Typical,1,4,15,0,86,0,86,-2,-2,874,100,4.10000019473955
Typical,1,4,16,0,128,0,128,-1,-1,875,100,5.100000242237002
Typical,1,4,17,0,165,0,165,0,0,874,93,5.100000242237002
Typical,1,4,18,0,211,18,220,0,1,874,93,5.100000242237002
Typical,1,4,19,0,207,24,219,1,2,873,93,6.700000318232924
Typical,1,4,20,0,210,190,296,1,3,873,89,7.200000341981649
Typical,1,4,21,0,124,664,361,2,4,873,87,7.700000365730375
Typical,1,4,22,0,29,759,193,2,4,873,87,6.700000318232924
Typical,1,4,23,0,10,268,23,1,3,872,87,6.200000294484198
Typical,1,5,0,0,0,0,0,0,1,872,94,5.500000261235982
Typical,1,5,1,0,0,0,0,0,0,871,94,4.800000227987766
Typical,1,5,2,0,0,0,0,-1,0,871,92,4.10000019473955
Typical,1,5,3,0,0,0,0,-1,0,871,92,5.100000242237002
Typical,1,5,4,0,0,0,0,0,1,871,93,5.100000242237002
Typical,1,5,5,0,0,0,0,-1,0,871,92,5.100000242237002
Typical,1,5,6,0,0,0,0,-1,1,870,86,5.100000242237002
Typical,1,5,7,0,0,0,0,-2,1,870,79,3.100000147242099
Typical,1,5,8,0,0,0,0,-3,-1,870,85,4.10000019473955
Typical,1,5,9,0,0,0,0,-3,-1,869,85,6.200000294484198
Typical,1,5,10,0,0,0,0,-4,-1,869,78,3.100000147242099
Typical,1,5,11,0,0,0,0,-3,-1,869,85,3.100000147242099
Typical,1,5,12,0,0,0,0,-5,-2,869,78,2.6000001234933734
Typical,1,5,13,0,0,0,0,-2,-1,870,92,3.6000001709908247
Typical,1,5,14,0,0,0,0,-2,0,870,85,4.10000019473955
Typical,1,5,15,0,43,827,243,-3,2,871,67,5.100000242237002
Typical,1,5,16,0,53,917,397,1,7,873,66,7.200000341981649
Typical,1,5,17,0,59,955,507,2,9,873,60,8.300000394228846
Typical,1,5,18,0,54,970,556,3,11,873,58,9.300000441726297
Typical,1,5,19,0,53,969,550,0,12,873,44,10.300000489223748
Typical,1,5,20,0,49,937,479,1,13,873,44,10.300000489223748
Typical,1,5,21,0,45,880,361,1,13,872,44,9.800000465475023
Typical,1,5,22,0,28,754,194,1,11,872,50,7.700000365730375
Typical,1,5,23,0,10,311,26,1,8,872,61,5.100000242237002
Typical,1,6,0,0,0,0,0,0,5,872,70,5.100000242237002
Typical,1,6,1,0,0,0,0,-1,4,872,69,5.100000242237002
Typical,1,6,2,0,0,0,0,-1,2,871,74,5.600000265985727
Typical,1,6,3,0,0,0,0,-2,1,870,79,6.200000294484198
Typical,1,6,4,0,0,0,0,-3,2,870,67,5.100000242237002
Typical,1,6,5,0,0,0,0,-3,1,870,72,5.700000270735472
Typical,1,6,6,0,0,0,0,-3,0,869,78,5.100000242237002
Typical,1,6,7,0,0,0,0,-4,1,870,67,5.700000270735472
Typical,1,6,8,0,0,0,0,-4,-1,870,78,4.600000218488276
Typical,1,6,9,0,0,0,0,-6,-1,870,66,5.700000270735472
Typical,1,6,10,0,0,0,0,-6,-2,869,71,4.600000218488276
Typical,1,6,11,0,0,0,0,-6,-4,871,84,6.200000294484198
Typical,1,6,12,0,0,0,0,-3,-2,873,92,10.300000489223748
Typical,1,6,13,0,0,0,0,-3,-2,874,92,8.700000413227826
Typical,1,6,14,0,0,0,0,-3,-2,876,93,8.2000003894791
Typical,1,6,15,0,70,0,70,-3,-1,877,85,7.700000365730375
Typical,1,6,16,0,67,0,67,-4,-1,877,78,9.300000441726297
Typical,1,6,17,0,140,0,140,-4,0,878,72,9.800000465475023
Typical,1,6,18,0,116,0,116,-4,0,877,72,8.700000413227826
Typical,1,6,19,0,118,0,118,-3,0,877,78,8.700000413227826
Typical,1,6,20,0,103,0,103,-2,0,877,85,9.300000441726297
Typical,1,6,21,0,124,0,124,-3,0,877,78,8.700000413227826
Typical,1,6,22,0,75,6,76,-3,1,877,72,7.700000365730375
Typical,1,6,23,0,16,73,20,-3,1,878,72,7.700000365730375
Typical,1,7,0,0,0,0,0,-3,1,878,72,10.300000489223748
Typical,1,7,1,0,0,0,0,-3,0,879,78,7.200000341981649
Typical,1,7,2,0,0,0,0,-3,-1,878,85,7.700000365730375
Typical,1,7,3,0,0,0,0,-3,-1,878,85,7.700000365730375
Typical,1,7,4,0,0,0,0,-4,0,879,72,7.700000365730375
Typical,1,7,5,0,0,0,0,-4,-1,878,78,7.700000365730375
Typical,1,7,6,0,0,0,0,-5,-1,878,71,7.700000365730375
Typical,1,7,7,0,0,0,0,-5,-2,878,78,7.200000341981649
Typical,1,7,8,0,0,0,0,-5,-2,877,78,7.700000365730375
Typical,1,7,9,0,0,0,0,-5,-2,877,78,7.700000365730375
Typical,1,7,10,0,0,0,0,-5,-2,876,78,10.300000489223748
Typical,1,7,11,0,0,0,0,-6,-1,876,66,7.700000365730375
Typical,1,7,12,0,0,0,0,-6,-2,876,71,8.2000003894791
Typical,1,7,13,0,0,0,0,-7,-2,876,65,7.200000341981649
Typical,1,7,14,0,0,0,0,-7,-2,876,65,7.700000365730375
Typical,1,7,15,0,62,748,243,-7,-1,876,60,8.2000003894791
Typical,1,7,16,0,54,873,384,-8,4,878,38,8.700000413227826
Typical,1,7,17,0,76,912,507,-9,5,878,33,9.300000441726297
Typical,1,7,18,0,54,976,562,-8,5,877,36,7.700000365730375
Typical,1,7,19,0,52,975,556,-8,7,877,31,7.700000365730375
Typical,1,7,20,0,48,943,485,-8,7,876,31,7.700000365730375
Typical,1,7,21,0,46,898,373,-10,7,876,26,7.700000365730375
Typical,1,7,22,0,28,762,200,-8,5,875,32,5.900000280234963
Typical,1,7,23,0,11,336,30,-7,3,875,45,4.10000019473955
Typical,1,8,0,0,0,0,0,-8,-1,873,55,4.600000218488276
Typical,1,8,1,0,0,0,0,-9,-2,873,55,4.600000218488276
Typical,1,8,2,0,0,0,0,-9,-4,872,65,3.100000147242099
Typical,1,8,3,0,0,0,0,-10,-6,871,70,3.100000147242099
Typical,1,8,4,0,0,0,0,-10,-6,871,70,4.10000019473955
Typical,1,8,5,0,0,0,0,-10,-6,870,70,4.600000218488276
Typical,1,8,6,0,0,0,0,-11,-7,869,70,5.700000270735472
Typical,1,8,7,0,0,0,0,-12,-8,868,70,2.6000001234933734
Typical,1,8,8,0,0,0,0,-13,-8,867,64,4.600000218488276
Typical,1,8,9,0,0,0,0,-13,-8,867,64,3.100000147242099
Typical,1,8,10,0,0,0,0,-12,-9,866,77,2.6000001234933734
Typical,1,8,11,0,0,0,0,-12,-9,867,76,2.6000001234933734
Typical,1,8,12,0,0,0,0,-13,-10,867,76,2.6000001234933734
Typical,1,8,13,0,0,0,0,-14,-10,867,70,4.10000019473955
Typical,1,8,14,0,0,0,0,-13,-8,869,64,3.6000001709908247
Typical,1,8,15,0,44,820,243,-5,-2,872,78,4.10000019473955
Typical,1,8,16,0,53,911,398,-9,5,874,33,4.10000019473955
Typical,1,8,17,0,58,961,514,-11,7,874,24,5.100000242237002
Typical,1,8,18,0,53,976,562,-13,9,874,17,4.10000019473955
Typical,1,8,19,0,53,969,557,-12,10,873,18,2.6000001234933734
Typical,1,8,20,0,48,949,491,-13,12,874,14,0.0
Typical,1,8,21,0,45,893,373,-11,12,874,17,2.6000001234933734
Typical,1,8,22,0,30,769,205,-10,8,873,23,3.6000001709908247
Typical,1,8,23,0,12,324,31,-9,4,872,35,4.600000218488276
Typical,1,9,0,0,0,0,0,-8,0,870,51,3.6000001709908247
Typical,1,9,1,0,0,0,0,-7,-2,869,65,4.600000218488276
Typical,1,9,2,0,0,0,0,-11,-2,869,46,4.600000218488276
Typical,1,9,3,0,0,0,0,-11,-2,867,46,4.10000019473955
Typical,1,9,4,0,0,0,0,-10,-3,866,55,3.100000147242099
Typical,1,9,5,0,0,0,0,-10,-3,866,55,2.6000001234933734
Typical,1,9,6,0,0,0,0,-10,-2,865,50,3.100000147242099
Typical,1,9,7,0,0,0,0,-9,-3,865,60,3.100000147242099
Typical,1,9,8,0,0,0,0,-8,-1,865,55,4.10000019473955
