Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,722899.0,-,CA,-,33.967,-117.633,0,198,-8,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,11,220,24,9,11,991,87,2.6000001234933734
Typical,1,1,1,0,0,0,0,8,9,992,93,3.100000147242099
Typical,1,1,2,0,0,0,0,8,10,992,87,3.100000147242099
Typical,1,1,3,0,0,0,0,7,8,992,93,3.6000001709908247
Typical,1,1,4,0,0,0,0,7,8,993,98,3.000000142492354
Typical,1,1,5,0,0,0,0,6,9,993,84,3.000000142492354
Typical,1,1,6,0,0,0,0,5,5,993,100,3.000000142492354
Typical,1,1,7,0,0,0,0,5,5,993,100,3.100000147242099
Typical,1,1,8,0,0,0,0,7,7,992,100,0.0
Typical,1,1,9,0,0,0,0,4,4,992,100,0.0
Typical,1,1,10,0,0,0,0,4,4,992,100,0.0
Typical,1,1,11,0,0,0,0,0,3,992,81,0.0
Typical,1,1,12,0,0,0,0,0,3,993,81,0.0
Typical,1,1,13,0,0,0,0,2,2,993,100,0.0
Typical,1,1,14,0,0,0,0,3,3,994,100,1.500000071246177
Typical,1,1,15,0,23,236,46,0,3,994,81,0.0
Typical,1,1,16,0,72,529,211,0,6,994,65,1.500000071246177
Typical,1,1,17,0,99,667,365,-1,13,995,38,2.1000000997446477
Typical,1,1,18,0,132,655,456,7,18,995,49,5.100000242237002
Typical,1,1,19,0,131,724,523,4,21,995,33,4.600000218488276
Typical,1,1,20,0,128,741,526,1,22,994,25,4.10000019473955
Typical,1,1,21,0,108,775,480,0,22,994,23,4.600000218488276
Typical,1,1,22,0,112,668,364,4,22,994,31,4.600000218488276
Typical,1,1,23,0,100,499,216,7,20,994,43,2.6000001234933734
Typical,1,2,0,0,11,215,24,4,18,994,39,1.3000000617466867
Typical,1,2,1,0,0,0,0,1,17,995,34,0.0
Typical,1,2,2,0,0,0,0,3,12,995,54,2.1000000997446477
Typical,1,2,3,0,0,0,0,4,8,995,76,3.100000147242099
Typical,1,2,4,0,0,0,0,4,9,995,71,2.6000001234933734
Typical,1,2,5,0,0,0,0,4,7,995,81,0.0
Typical,1,2,6,0,0,0,0,1,5,995,75,1.500000071246177
Typical,1,2,7,0,0,0,0,1,3,995,87,2.1000000997446477
Typical,1,2,8,0,0,0,0,1,4,994,81,2.1000000997446477
Typical,1,2,9,0,0,0,0,0,4,994,75,1.500000071246177
Typical,1,2,10,0,0,0,0,-1,3,994,74,0.0
Typical,1,2,11,0,0,0,0,-3,4,994,59,2.1000000997446477
Typical,1,2,12,0,0,0,0,-6,7,994,37,0.0
Typical,1,2,13,0,0,0,0,-2,2,994,73,1.500000071246177
Typical,1,2,14,0,0,0,0,-3,3,994,63,0.0
Typical,1,2,15,0,21,303,50,-1,4,995,69,0.0
Typical,1,2,16,0,68,561,215,0,10,995,50,0.0
Typical,1,2,17,0,90,713,375,1,17,995,34,0.0
Typical,1,2,18,0,103,790,495,-1,20,994,24,2.6000001234933734
Typical,1,2,19,0,108,808,547,-2,23,993,18,2.6000001234933734
Typical,1,2,20,0,110,820,551,-8,26,993,9,3.100000147242099
Typical,1,2,21,0,121,731,473,-8,26,992,9,3.100000147242099
Typical,1,2,22,0,118,648,363,-4,26,992,13,2.1000000997446477
Typical,1,2,23,0,103,474,214,-2,24,992,17,2.6000001234933734
Typical,1,3,0,0,12,208,25,3,18,992,37,1.500000071246177
Typical,1,3,1,0,0,0,0,4,16,992,45,0.0
Typical,1,3,2,0,0,0,0,5,14,993,55,2.1000000997446477
Typical,1,3,3,0,0,0,0,5,11,993,66,2.1000000997446477
Typical,1,3,4,0,0,0,0,4,8,993,76,1.500000071246177
Typical,1,3,5,0,0,0,0,3,7,993,76,0.0
Typical,1,3,6,0,0,0,0,2,9,993,61,1.500000071246177
Typical,1,3,7,0,0,0,0,1,6,993,70,1.500000071246177
Typical,1,3,8,0,0,0,0,0,7,993,57,2.300000109244138
Typical,1,3,9,0,0,0,0,-2,9,993,45,3.100000147242099
Typical,1,3,10,0,0,0,0,-11,19,994,11,9.300000441726297
Typical,1,3,11,0,0,0,0,-11,20,993,10,7.700000365730375
Typical,1,3,12,0,0,0,0,-8,19,994,14,6.700000318232924
Typical,1,3,13,0,0,0,0,-8,19,995,14,7.700000365730375
Typical,1,3,14,0,0,0,0,-8,19,996,14,8.700000413227826
Typical,1,3,15,0,22,267,47,-8,19,997,14,15.40000073146075
Typical,1,3,16,0,72,529,211,-8,20,998,13,15.40000073146075
Typical,1,3,17,0,96,684,370,-8,21,997,12,7.200000341981649
Typical,1,3,18,0,118,713,473,-8,22,998,12,9.300000441726297
Typical,1,3,19,0,121,760,534,-7,23,997,12,6.200000294484198
Typical,1,3,20,0,118,777,538,-5,23,997,14,5.700000270735472
Typical,1,3,21,0,114,756,479,-4,24,997,15,4.600000218488276
Typical,1,3,22,0,118,641,362,-4,24,997,15,6.200000294484198
Typical,1,3,23,0,106,495,223,-5,23,997,14,7.200000341981649
