Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,723080.0,-,VA,-,36.9,-76.2,0,7,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-1,2,1026,79,2.6000001234933734
Typical,1,1,1,0,0,0,0,-1,2,1026,79,2.1000000997446477
Typical,1,1,2,0,0,0,0,0,1,1026,85,3.6000001709908247
Typical,1,1,3,0,0,0,0,0,3,1025,79,4.10000019473955
Typical,1,1,4,0,0,0,0,0,3,1025,76,3.100000147242099
Typical,1,1,5,0,0,0,0,6,10,1026,77,7.200000341981649
Typical,1,1,6,0,0,0,0,6,10,1026,80,6.200000294484198
Typical,1,1,7,0,0,0,0,7,11,1025,77,9.300000441726297
Typical,1,1,8,0,0,0,0,8,12,1025,77,7.700000365730375
Typical,1,1,9,0,0,0,0,8,12,1024,77,7.700000365730375
Typical,1,1,10,0,0,0,0,8,12,1025,80,6.200000294484198
Typical,1,1,11,0,0,0,0,8,12,1025,77,7.200000341981649
Typical,1,1,12,0,23,13,24,8,13,1025,75,5.200000246986747
Typical,1,1,13,0,67,157,98,8,13,1025,75,5.200000246986747
Typical,1,1,14,0,104,313,209,9,15,1026,67,6.700000318232924
Typical,1,1,15,0,132,114,182,9,17,1025,61,7.700000365730375
Typical,1,1,16,0,179,177,267,9,17,1024,58,7.700000365730375
Typical,1,1,17,0,191,99,241,9,18,1023,56,5.700000270735472
Typical,1,1,18,0,165,6,167,9,17,1023,58,7.700000365730375
Typical,1,1,19,0,80,41,95,11,15,1024,75,10.300000489223748
Typical,1,1,20,0,55,8,57,11,15,1024,81,6.200000294484198
Typical,1,1,21,0,15,3,16,11,14,1024,81,4.10000019473955
Typical,1,1,22,0,0,0,0,11,12,1025,90,4.10000019473955
Typical,1,1,23,0,0,0,0,11,11,1025,96,3.100000147242099
Typical,1,2,0,0,0,0,0,10,11,1026,93,6.200000294484198
Typical,1,2,1,0,0,0,0,7,10,1026,86,4.10000019473955
Typical,1,2,2,0,0,0,0,3,7,1027,77,6.700000318232924
Typical,1,2,3,0,0,0,0,2,6,1027,77,3.6000001709908247
Typical,1,2,4,0,0,0,0,3,6,1028,86,6.200000294484198
Typical,1,2,5,0,0,0,0,3,5,1028,86,6.200000294484198
Typical,1,2,6,0,0,0,0,1,5,1029,76,4.600000218488276
Typical,1,2,7,0,0,0,0,0,4,1029,73,5.200000246986747
Typical,1,2,8,0,0,0,0,0,3,1030,79,7.200000341981649
Typical,1,2,9,0,0,0,0,-2,2,1031,73,7.700000365730375
Typical,1,2,10,0,0,0,0,0,2,1032,82,5.200000246986747
Typical,1,2,11,0,0,0,0,-2,3,1033,65,7.200000341981649
Typical,1,2,12,0,15,2,15,-4,2,1033,62,8.2000003894791
Typical,1,2,13,0,73,2,73,-5,2,1034,55,8.2000003894791
Typical,1,2,14,0,146,1,147,-7,2,1034,48,6.700000318232924
Typical,1,2,15,0,204,3,205,-6,3,1035,50,8.2000003894791
Typical,1,2,16,0,224,1,224,-6,2,1034,50,6.700000318232924
Typical,1,2,17,0,252,0,252,-6,2,1033,50,6.200000294484198
Typical,1,2,18,0,184,177,265,-6,2,1033,52,5.700000270735472
Typical,1,2,19,0,127,356,257,-6,2,1033,52,5.700000270735472
Typical,1,2,20,0,97,124,126,-7,2,1034,48,6.200000294484198
Typical,1,2,21,0,20,2,20,-7,1,1034,52,4.600000218488276
Typical,1,2,22,0,0,0,0,-7,1,1035,50,3.100000147242099
Typical,1,2,23,0,0,0,0,-7,1,1035,50,4.600000218488276
Typical,1,3,0,0,0,0,0,-8,1,1035,46,4.10000019473955
Typical,1,3,1,0,0,0,0,-8,1,1035,50,5.200000246986747
Typical,1,3,2,0,0,0,0,-7,1,1035,52,5.200000246986747
Typical,1,3,3,0,0,0,0,-8,1,1035,50,5.700000270735472
Typical,1,3,4,0,0,0,0,-7,0,1034,54,5.200000246986747
Typical,1,3,5,0,0,0,0,-6,0,1034,59,7.200000341981649
Typical,1,3,6,0,0,0,0,-7,0,1034,54,7.200000341981649
Typical,1,3,7,0,0,0,0,-8,0,1033,52,6.200000294484198
Typical,1,3,8,0,0,0,0,-10,0,1034,46,6.200000294484198
Typical,1,3,9,0,0,0,0,-7,0,1033,54,7.700000365730375
Typical,1,3,10,0,0,0,0,-5,1,1033,62,7.200000341981649
Typical,1,3,11,0,0,0,0,-5,1,1033,62,7.200000341981649
Typical,1,3,12,0,10,1,10,-3,2,1033,62,8.2000003894791
Typical,1,3,13,0,32,7,33,-3,3,1033,62,7.200000341981649
Typical,1,3,14,0,61,9,64,-2,3,1033,67,8.2000003894791
Typical,1,3,15,0,105,9,109,0,2,1032,79,5.700000270735472
Typical,1,3,16,0,136,8,140,-1,3,1031,70,5.200000246986747
Typical,1,3,17,0,115,1,116,0,3,1029,76,5.200000246986747
Typical,1,3,18,0,110,3,111,-3,3,1028,62,5.200000246986747
Typical,1,3,19,0,88,1,88,0,3,1027,79,8.2000003894791
Typical,1,3,20,0,60,1,60,0,2,1026,79,7.700000365730375
Typical,1,3,21,0,16,0,16,0,2,1026,79,8.800000417977571
Typical,1,3,22,0,0,0,0,0,2,1025,82,7.700000365730375
Typical,1,3,23,0,0,0,0,0,3,1024,79,8.2000003894791
Typical,1,4,0,0,0,0,0,2,3,1022,96,6.200000294484198
Typical,1,4,1,0,0,0,0,1,3,1021,89,6.200000294484198
