Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,723346.0,-,TN,-,35.6,-88.917,0,132,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-4,-2,1016,85,2.1000000997446477
Typical,1,1,1,0,0,0,0,-4,-2,1016,85,1.500000071246177
Typical,1,1,2,0,0,0,0,-4,-2,1016,82,1.9000000902451575
Typical,1,1,3,0,0,0,0,-4,-2,1016,80,2.200000104494393
Typical,1,1,4,0,0,0,0,-5,-2,1016,78,2.6000001234933734
Typical,1,1,5,0,0,0,0,-6,-1,1017,66,2.6000001234933734
Typical,1,1,6,0,0,0,0,9,11,1006,87,2.6000001234933734
Typical,1,1,7,0,0,0,0,9,11,1006,87,2.1000000997446477
Typical,1,1,8,0,0,0,0,9,11,1006,87,0.0
Typical,1,1,9,0,0,0,0,10,11,1005,94,0.0
Typical,1,1,10,0,0,0,0,10,11,1005,94,0.0
Typical,1,1,11,0,0,0,0,9,11,1005,87,2.6000001234933734
Typical,1,1,12,0,0,0,0,9,11,1005,87,2.1000000997446477
Typical,1,1,13,0,9,0,9,9,11,1005,89,2.400000113993883
Typical,1,1,14,0,46,0,46,10,12,1004,88,2.6000001234933734
Typical,1,1,15,0,84,0,84,10,13,1005,82,2.6000001234933734
Typical,1,1,16,0,112,0,112,11,13,1002,88,3.100000147242099
Typical,1,1,17,0,106,0,106,12,13,998,94,3.6000001709908247
Typical,1,1,18,0,106,0,106,11,14,1002,82,4.10000019473955
Typical,1,1,19,0,112,0,112,10,14,1002,77,5.100000242237002
Typical,1,1,20,0,83,0,83,10,14,1002,77,3.100000147242099
Typical,1,1,21,0,45,0,45,10,14,1001,77,3.100000147242099
Typical,1,1,22,0,11,0,11,10,14,1002,77,2.1000000997446477
Typical,1,1,23,0,0,0,0,10,14,1002,77,0.0
Typical,1,2,0,0,0,0,0,10,13,1002,82,0.0
Typical,1,2,1,0,0,0,0,10,12,1002,85,1.3000000617466867
Typical,1,2,2,0,0,0,0,11,13,1001,88,2.6000001234933734
Typical,1,2,3,0,0,0,0,10,13,1002,82,2.6000001234933734
Typical,1,2,4,0,0,0,0,11,13,1002,88,0.0
Typical,1,2,5,0,0,0,0,11,13,1002,88,2.6000001234933734
Typical,1,2,6,0,0,0,0,11,13,1001,88,4.10000019473955
Typical,1,2,7,0,0,0,0,11,13,1001,88,5.100000242237002
Typical,1,2,8,0,0,0,0,11,13,1001,88,3.6000001709908247
Typical,1,2,9,0,0,0,0,11,13,1001,88,5.100000242237002
Typical,1,2,10,0,0,0,0,11,13,1001,88,4.10000019473955
Typical,1,2,11,0,0,0,0,12,14,1001,88,4.10000019473955
Typical,1,2,12,0,0,0,0,12,14,1001,88,2.6000001234933734
Typical,1,2,13,0,11,0,11,12,14,1001,88,4.10000019473955
Typical,1,2,14,0,44,0,44,12,15,1001,82,5.100000242237002
Typical,1,2,15,0,110,0,110,13,16,1001,82,6.700000318232924
Typical,1,2,16,0,120,0,120,14,17,1001,82,6.200000294484198
Typical,1,2,17,0,161,0,161,13,18,1000,76,6.700000318232924
Typical,1,2,18,0,161,0,161,14,19,998,73,7.200000341981649
Typical,1,2,19,0,143,0,143,14,19,998,73,6.700000318232924
Typical,1,2,20,0,109,0,109,14,18,998,77,6.200000294484198
Typical,1,2,21,0,53,0,53,15,18,999,83,4.600000218488276
Typical,1,2,22,0,14,0,14,15,18,998,83,4.10000019473955
Typical,1,2,23,0,0,0,0,15,18,998,83,4.600000218488276
Typical,1,3,0,0,0,0,0,15,18,998,83,5.100000242237002
Typical,1,3,1,0,0,0,0,15,17,997,88,5.700000270735472
Typical,1,3,2,0,0,0,0,14,17,997,86,5.400000256486237
Typical,1,3,3,0,0,0,0,14,17,997,82,5.100000242237002
Typical,1,3,4,0,0,0,0,14,17,997,82,5.700000270735472
Typical,1,3,5,0,0,0,0,14,17,996,82,5.100000242237002
Typical,1,3,6,0,0,0,0,15,17,996,88,5.100000242237002
Typical,1,3,7,0,0,0,0,15,17,996,88,4.10000019473955
Typical,1,3,8,0,0,0,0,14,16,996,88,4.10000019473955
Typical,1,3,9,0,0,0,0,14,16,996,88,5.100000242237002
Typical,1,3,10,0,0,0,0,14,16,996,88,5.100000242237002
Typical,1,3,11,0,0,0,0,14,16,996,88,5.100000242237002
Typical,1,3,12,0,0,0,0,14,17,997,82,6.200000294484198
Typical,1,3,13,0,10,0,10,15,17,997,88,4.600000218488276
Typical,1,3,14,0,59,0,59,16,17,998,94,4.600000218488276
Typical,1,3,15,0,105,0,105,16,18,997,88,5.700000270735472
Typical,1,3,16,0,139,0,139,14,18,997,77,7.700000365730375
Typical,1,3,17,0,156,0,156,14,19,997,73,5.100000242237002
Typical,1,3,18,0,157,0,157,15,20,996,73,7.700000365730375
Typical,1,3,19,0,139,0,139,15,21,995,69,7.700000365730375
Typical,1,3,20,0,105,0,105,15,21,995,69,7.200000341981649
Typical,1,3,21,0,59,0,59,15,21,994,69,4.600000218488276
Typical,1,3,22,0,27,109,36,15,20,994,73,3.6000001709908247
Typical,1,3,23,0,0,0,0,14,19,994,73,5.100000242237002
Typical,1,4,0,0,0,0,0,14,19,993,73,5.100000242237002
Typical,1,4,1,0,0,0,0,14,19,993,73,5.100000242237002
Typical,1,4,2,0,0,0,0,15,19,993,78,5.700000270735472
Typical,1,4,3,0,0,0,0,15,19,992,78,5.100000242237002
Typical,1,4,4,0,0,0,0,15,19,993,78,6.200000294484198
Typical,1,4,5,0,0,0,0,15,19,992,78,6.700000318232924
Typical,1,4,6,0,0,0,0,16,19,992,83,8.2000003894791
Typical,1,4,7,0,0,0,0,16,19,992,83,8.700000413227826
Typical,1,4,8,0,0,0,0,17,20,992,83,9.300000441726297
Typical,1,4,9,0,0,0,0,15,19,992,77,8.300000394228846
Typical,1,4,10,0,0,0,0,15,20,991,73,7.200000341981649
Typical,1,4,11,0,0,0,0,15,20,991,73,6.200000294484198
Typical,1,4,12,0,0,0,0,15,19,991,78,8.2000003894791
Typical,1,4,13,0,12,0,12,14,19,991,73,8.700000413227826
Typical,1,4,14,0,60,0,60,14,20,991,68,9.300000441726297
Typical,1,4,15,0,106,0,106,15,21,990,69,8.2000003894791
Typical,1,4,16,0,140,0,140,17,18,991,94,9.300000441726297
Typical,1,4,17,0,158,0,158,16,20,990,78,7.700000365730375
Typical,1,4,18,0,158,0,158,16,21,989,73,7.700000365730375
Typical,1,4,19,0,141,0,141,16,21,988,73,6.200000294484198
Typical,1,4,20,0,107,0,107,16,21,987,73,8.2000003894791
Typical,1,4,21,0,108,41,118,16,22,988,69,7.700000365730375
Typical,1,4,22,0,13,0,13,16,22,988,69,6.200000294484198
Typical,1,4,23,0,0,0,0,15,21,986,69,5.700000270735472
Typical,1,5,0,0,0,0,0,16,21,986,73,5.100000242237002
Typical,1,5,1,0,0,0,0,13,14,988,94,7.200000341981649
Typical,1,5,2,0,0,0,0,13,14,988,94,6.200000294484198
Typical,1,5,3,0,0,0,0,13,15,987,88,6.200000294484198
Typical,1,5,4,0,0,0,0,13,15,988,88,5.100000242237002
Typical,1,5,5,0,0,0,0,13,15,989,88,7.200000341981649
Typical,1,5,6,0,0,0,0,11,13,990,85,6.200000294484198
Typical,1,5,7,0,0,0,0,9,12,991,82,5.100000242237002
Typical,1,5,8,0,0,0,0,7,10,992,79,4.10000019473955
Typical,1,5,9,0,0,0,0,5,9,992,76,3.100000147242099
Typical,1,5,10,0,0,0,0,5,9,993,76,5.100000242237002
Typical,1,5,11,0,0,0,0,5,9,993,76,3.6000001709908247
Typical,1,5,12,0,0,0,0,5,8,994,81,2.6000001234933734
Typical,1,5,13,0,14,357,40,5,8,995,81,3.100000147242099
Typical,1,5,14,0,31,717,196,3,10,996,62,5.100000242237002
Typical,1,5,15,0,85,703,345,2,10,997,57,7.700000365730375
Typical,1,5,16,0,116,762,473,3,11,998,58,7.700000365730375
Typical,1,5,17,0,158,455,394,0,12,997,44,5.700000270735472
Typical,1,5,18,0,96,667,443,1,12,997,47,7.200000341981649
Typical,1,5,19,0,84,781,452,0,11,997,47,7.700000365730375
Typical,1,5,20,0,160,257,256,1,12,997,47,5.700000270735472
Typical,1,5,21,0,85,156,122,0,11,998,47,6.200000294484198
Typical,1,5,22,0,22,65,27,1,10,998,54,4.10000019473955
Typical,1,5,23,0,0,0,0,1,10,999,54,4.10000019473955
Typical,1,6,0,0,0,0,0,0,9,999,53,4.10000019473955
Typical,1,6,1,0,0,0,0,0,8,1000,57,3.6000001709908247
Typical,1,6,2,0,0,0,0,0,7,1000,61,4.10000019473955
Typical,1,6,3,0,0,0,0,-1,7,1001,56,5.100000242237002
Typical,1,6,4,0,0,0,0,-1,6,1001,60,4.10000019473955
Typical,1,6,5,0,0,0,0,-1,6,1001,60,3.6000001709908247
Typical,1,6,6,0,0,0,0,-1,6,1002,60,5.100000242237002
Typical,1,6,7,0,0,0,0,-2,6,1002,55,4.10000019473955
Typical,1,6,8,0,0,0,0,-1,6,1003,60,2.6000001234933734
Typical,1,6,9,0,0,0,0,-2,5,1003,59,3.100000147242099
Typical,1,6,10,0,0,0,0,-3,5,1003,55,3.6000001709908247
Typical,1,6,11,0,0,0,0,-3,5,1004,55,3.100000147242099
Typical,1,6,12,0,0,0,0,-2,4,1005,64,2.6000001234933734
Typical,1,6,13,0,13,0,13,-2,4,1005,64,5.700000270735472
Typical,1,6,14,0,63,0,63,-4,4,1006,54,4.600000218488276
Typical,1,6,15,0,116,269,215,-2,4,1006,64,5.100000242237002
Typical,1,6,16,0,144,0,144,-1,4,1006,69,4.10000019473955
Typical,1,6,17,0,182,225,300,-3,4,1006,59,3.6000001709908247
Typical,1,6,18,0,352,24,365,-2,5,1005,59,5.100000242237002
Typical,1,6,19,0,255,40,274,-3,5,1005,55,5.100000242237002
Typical,1,6,20,0,195,41,211,-3,5,1006,54,4.400000208988786
Typical,1,6,21,0,66,0,66,-3,5,1007,55,3.6000001709908247
Typical,1,6,22,0,16,0,16,-3,3,1006,63,6.700000318232924
Typical,1,6,23,0,0,0,0,-5,1,1007,61,6.200000294484198
Typical,1,7,0,0,0,0,0,-5,1,1008,61,5.100000242237002
Typical,1,7,1,0,0,0,0,-8,0,1008,51,5.100000242237002
Typical,1,7,2,0,0,0,0,-7,0,1009,56,5.100000242237002
Typical,1,7,3,0,0,0,0,-7,-1,1010,60,5.100000242237002
Typical,1,7,4,0,0,0,0,-8,-2,1010,60,5.100000242237002
Typical,1,7,5,0,0,0,0,-8,-2,1010,60,5.100000242237002
Typical,1,7,6,0,0,0,0,-8,-2,1010,60,5.100000242237002
Typical,1,7,7,0,0,0,0,-9,-2,1011,55,5.100000242237002
Typical,1,7,8,0,0,0,0,-9,-2,1011,55,6.700000318232924
Typical,1,7,9,0,0,0,0,-12,-2,1011,42,5.100000242237002
Typical,1,7,10,0,0,0,0,-12,-3,1011,46,5.100000242237002
Typical,1,7,11,0,0,0,0,-11,-3,1011,50,4.600000218488276
Typical,1,7,12,0,0,0,0,-10,-3,1011,55,5.100000242237002
Typical,1,7,13,0,14,272,34,-11,-3,1012,50,4.10000019473955
Typical,1,7,14,0,66,366,151,-8,-2,1012,60,6.700000318232924
Typical,1,7,15,0,76,704,337,-6,0,1012,60,6.200000294484198
Typical,1,7,16,0,157,632,454,-6,1,1012,56,5.100000242237002
Typical,1,7,17,0,151,605,468,-6,2,1011,49,5.600000265985727
Typical,1,7,18,0,142,640,478,-7,3,1010,45,6.200000294484198
Typical,1,7,19,0,111,708,448,-5,3,1009,53,5.100000242237002
Typical,1,7,20,0,87,450,258,-6,4,1010,45,4.10000019473955
Typical,1,7,21,0,81,277,148,-7,4,1010,42,5.700000270735472
Typical,1,7,22,0,27,90,34,0,0,1010,100,3.6000001709908247
Typical,1,7,23,0,0,0,0,-1,2,1010,80,3.6000001709908247
Typical,1,8,0,0,0,0,0,-6,2,1010,52,3.6000001709908247
Typical,1,8,1,0,0,0,0,-4,1,1010,67,5.700000270735472
Typical,1,8,2,0,0,0,0,-3,1,1010,72,4.10000019473955
Typical,1,8,3,0,0,0,0,-2,1,1009,79,5.100000242237002
