Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,723417.0,-,AR,-,34.167,-91.93299999999999,0,63,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-6,-4,1022,84,0.0
Typical,1,1,1,0,0,0,0,-6,-4,1022,85,0.800000037997961
Typical,1,1,2,0,0,0,0,-6,-4,1023,84,1.500000071246177
Typical,1,1,3,0,0,0,0,-6,-4,1023,85,2.1000000997446477
Typical,1,1,4,0,0,0,0,-7,-5,1024,84,2.6000001234933734
Typical,1,1,5,0,0,0,0,-7,-5,1024,84,1.500000071246177
Typical,1,1,6,0,0,0,0,0,7,1005,58,2.5000001187436283
Typical,1,1,7,0,0,0,0,1,7,1005,68,2.0000000949949026
Typical,1,1,8,0,0,0,0,2,7,1005,73,2.5000001187436283
Typical,1,1,9,0,0,0,0,4,8,1005,76,1.500000071246177
Typical,1,1,10,0,0,0,0,5,7,1005,86,1.500000071246177
Typical,1,1,11,0,0,0,0,6,7,1005,90,1.500000071246177
Typical,1,1,12,0,0,0,0,5,6,1005,93,1.500000071246177
Typical,1,1,13,0,8,0,8,5,6,1005,90,1.500000071246177
Typical,1,1,14,0,53,0,53,3,5,1005,92,2.0000000949949026
Typical,1,1,15,0,101,0,101,5,6,1005,90,4.10000019473955
Typical,1,1,16,0,133,127,193,6,8,1005,83,5.100000242237002
Typical,1,1,17,0,160,0,160,6,8,1005,86,4.10000019473955
Typical,1,1,18,0,187,94,237,6,10,1005,77,3.000000142492354
Typical,1,1,19,0,129,649,452,7,12,1005,69,4.10000019473955
Typical,1,1,20,0,133,432,309,7,12,1005,69,3.000000142492354
Typical,1,1,21,0,70,279,146,7,12,1005,70,2.8000001329928637
Typical,1,1,22,0,31,261,60,7,11,1005,74,2.5000001187436283
Typical,1,1,23,0,0,16,0,3,5,1005,89,3.000000142492354
Typical,1,2,0,0,0,0,0,6,8,1005,86,2.0000000949949026
Typical,1,2,1,0,0,0,0,4,7,1005,82,0.0
Typical,1,2,2,0,0,0,0,5,6,1005,90,0.0
Typical,1,2,3,0,0,0,0,3,4,1005,93,0.0
Typical,1,2,4,0,0,0,0,2,3,1005,93,0.0
Typical,1,2,5,0,0,0,0,3,5,1005,89,3.000000142492354
Typical,1,2,6,0,0,0,0,2,5,1005,85,2.5000001187436283
Typical,1,2,7,0,0,0,0,2,4,1005,86,2.5000001187436283
Typical,1,2,8,0,0,0,0,1,3,1005,83,2.5000001187436283
Typical,1,2,9,0,0,0,0,0,2,1005,82,2.5000001187436283
Typical,1,2,10,0,0,0,0,0,2,1005,81,2.5000001187436283
Typical,1,2,11,0,0,0,0,0,1,1005,85,2.0000000949949026
Typical,1,2,12,0,0,0,0,-1,0,1005,87,1.500000071246177
Typical,1,2,13,0,17,15,18,-1,2,1005,74,2.0000000949949026
Typical,1,2,14,0,108,140,138,0,4,1005,76,4.10000019473955
Typical,1,2,15,0,84,0,84,1,4,1005,82,2.5000001187436283
Typical,1,2,16,0,115,0,115,2,6,1005,79,0.0
Typical,1,2,17,0,133,0,133,2,6,1005,73,1.500000071246177
Typical,1,2,18,0,137,0,137,4,7,1005,80,0.0
Typical,1,2,19,0,124,0,124,3,7,1005,79,0.0
Typical,1,2,20,0,98,0,98,3,7,1005,79,2.0000000949949026
Typical,1,2,21,0,60,0,60,3,6,1005,82,2.5000001187436283
Typical,1,2,22,0,19,0,19,3,7,1005,79,3.000000142492354
Typical,1,2,23,0,0,0,0,4,7,1005,82,2.5000001187436283
Typical,1,3,0,0,0,0,0,4,6,1005,86,2.5000001187436283
Typical,1,3,1,0,0,0,0,3,6,1005,82,2.0000000949949026
Typical,1,3,2,0,0,0,0,5,6,1005,90,2.5000001187436283
Typical,1,3,3,0,0,0,0,4,6,1005,89,3.6000001709908247
Typical,1,3,4,0,0,0,0,4,6,1005,89,2.5000001187436283
Typical,1,3,5,0,0,0,0,3,5,1005,89,5.100000242237002
Typical,1,3,6,0,0,0,0,3,5,1005,89,4.600000218488276
Typical,1,3,7,0,0,0,0,3,4,1005,93,4.10000019473955
Typical,1,3,8,0,0,0,0,2,4,1005,89,4.10000019473955
Typical,1,3,9,0,0,0,0,2,4,1005,86,3.6000001709908247
Typical,1,3,10,0,0,0,0,2,3,1005,93,5.100000242237002
Typical,1,3,11,0,0,0,0,2,3,1005,93,5.100000242237002
Typical,1,3,12,0,0,0,0,1,3,1005,86,6.600000313483179
Typical,1,3,13,0,8,0,8,2,3,1005,93,6.100000289734453
Typical,1,3,14,0,48,0,48,1,4,1005,79,7.200000341981649
Typical,1,3,15,0,90,0,90,1,4,1005,82,7.700000365730375
Typical,1,3,16,0,121,0,121,1,4,1005,82,5.100000242237002
Typical,1,3,17,0,139,0,139,1,5,1005,76,5.900000280234963
Typical,1,3,18,0,142,0,142,1,5,1005,73,6.600000313483179
Typical,1,3,19,0,130,0,130,1,5,1005,76,6.100000289734453
Typical,1,3,20,0,104,0,104,1,3,1005,83,6.100000289734453
Typical,1,3,21,0,66,0,66,0,4,1005,70,7.700000365730375
Typical,1,3,22,0,22,0,22,0,3,1005,73,6.100000289734453
Typical,1,3,23,0,0,1,0,-1,3,1005,73,5.400000256486237
Typical,1,4,0,0,0,0,0,-1,3,1005,69,4.600000218488276
Typical,1,4,1,0,0,0,0,-1,3,1005,71,3.000000142492354
Typical,1,4,2,0,0,0,0,-1,2,1005,72,2.5000001187436283
Typical,1,4,3,0,0,0,0,-2,2,1005,68,2.5000001187436283
Typical,1,4,4,0,0,0,0,-1,2,1005,74,2.0000000949949026
Typical,1,4,5,0,0,0,0,-2,2,1005,71,2.5000001187436283
Typical,1,4,6,0,0,0,0,-1,1,1005,77,3.000000142492354
Typical,1,4,7,0,0,0,0,-1,1,1005,77,2.5000001187436283
Typical,1,4,8,0,0,0,0,-1,1,1005,81,2.0000000949949026
Typical,1,4,9,0,0,0,0,-2,1,1005,74,3.6000001709908247
Typical,1,4,10,0,0,0,0,-1,1,1005,81,2.0000000949949026
Typical,1,4,11,0,0,0,0,-1,1,1005,77,2.5000001187436283
Typical,1,4,12,0,0,0,0,-2,1,1005,74,2.0000000949949026
Typical,1,4,13,0,8,0,8,-2,1,1005,74,4.10000019473955
Typical,1,4,14,0,80,36,88,-1,1,1005,81,3.6000001709908247
