Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,723526.0,-,OK,-,35.333,-99.2,0,586,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-7,-4,957,77,0.0
Typical,1,1,1,0,0,0,0,-8,-4,957,71,0.0
Typical,1,1,2,0,0,0,0,-8,-4,957,71,0.0
Typical,1,1,3,0,0,0,0,-7,-4,957,77,1.500000071246177
Typical,1,1,4,0,0,0,0,-7,-4,958,77,3.6000001709908247
Typical,1,1,5,0,0,0,0,-9,-6,957,77,3.4000001614913344
Typical,1,1,6,0,0,0,0,9,11,948,87,5.700000270735472
Typical,1,1,7,0,0,0,0,9,11,948,87,5.100000242237002
Typical,1,1,8,0,0,0,0,9,11,948,87,5.700000270735472
Typical,1,1,9,0,0,0,0,9,11,947,87,5.700000270735472
Typical,1,1,10,0,0,0,0,9,11,947,87,6.200000294484198
Typical,1,1,11,0,0,0,0,11,12,948,94,7.700000365730375
Typical,1,1,12,0,0,0,0,12,13,948,94,9.300000441726297
Typical,1,1,13,0,0,0,0,12,13,949,94,9.300000441726297
Typical,1,1,14,0,25,0,25,12,13,949,94,9.300000441726297
Typical,1,1,15,0,89,0,89,13,14,950,94,9.300000441726297
Typical,1,1,16,0,99,0,99,13,15,950,88,9.300000441726297
Typical,1,1,17,0,107,0,107,14,16,950,88,10.300000489223748
Typical,1,1,18,0,97,0,97,14,16,949,88,10.800000512972474
Typical,1,1,19,0,94,0,94,14,17,948,82,8.700000413227826
Typical,1,1,20,0,141,0,141,14,17,948,82,8.700000413227826
Typical,1,1,21,0,100,0,100,13,17,948,77,8.2000003894791
Typical,1,1,22,0,53,0,53,13,17,948,77,6.700000318232924
Typical,1,1,23,0,2,69,3,13,17,948,77,7.200000341981649
Typical,1,2,0,0,0,0,0,13,16,948,82,7.700000365730375
Typical,1,2,1,0,0,0,0,12,15,949,82,6.200000294484198
Typical,1,2,2,0,0,0,0,12,15,949,82,6.200000294484198
Typical,1,2,3,0,0,0,0,12,14,949,88,7.200000341981649
Typical,1,2,4,0,0,0,0,12,14,949,88,7.700000365730375
Typical,1,2,5,0,0,0,0,12,14,950,88,8.2000003894791
Typical,1,2,6,0,0,0,0,12,13,950,94,7.200000341981649
Typical,1,2,7,0,0,0,0,12,13,949,94,5.700000270735472
Typical,1,2,8,0,0,0,0,12,13,950,94,6.700000318232924
Typical,1,2,9,0,0,0,0,11,12,950,94,4.10000019473955
Typical,1,2,10,0,0,0,0,11,11,950,100,4.600000218488276
Typical,1,2,11,0,0,0,0,11,12,951,94,5.100000242237002
Typical,1,2,12,0,0,0,0,11,12,951,94,6.200000294484198
Typical,1,2,13,0,0,0,0,11,12,952,94,4.600000218488276
Typical,1,2,14,0,50,0,50,12,12,953,100,4.10000019473955
Typical,1,2,15,0,66,0,66,12,13,954,94,2.1000000997446477
Typical,1,2,16,0,106,0,106,12,13,954,94,2.1000000997446477
Typical,1,2,17,0,82,0,82,11,11,953,100,4.10000019473955
Typical,1,2,18,0,115,0,115,9,10,952,93,4.10000019473955
Typical,1,2,19,0,153,0,153,7,8,950,93,6.200000294484198
Typical,1,2,20,0,73,0,73,6,7,951,93,6.700000318232924
Typical,1,2,21,0,53,0,53,5,6,951,93,6.200000294484198
Typical,1,2,22,0,27,0,27,4,4,951,100,7.200000341981649
Typical,1,2,23,0,1,0,1,3,4,952,93,7.700000365730375
Typical,1,3,0,0,0,0,0,3,4,951,93,6.700000318232924
Typical,1,3,1,0,0,0,0,2,3,951,93,8.700000413227826
Typical,1,3,2,0,0,0,0,2,3,952,93,6.200000294484198
Typical,1,3,3,0,0,0,0,2,3,952,93,6.700000318232924
Typical,1,3,4,0,0,0,0,2,3,951,93,6.700000318232924
Typical,1,3,5,0,0,0,0,2,3,950,93,5.700000270735472
Typical,1,3,6,0,0,0,0,2,3,950,93,5.700000270735472
Typical,1,3,7,0,0,0,0,2,3,950,93,5.700000270735472
Typical,1,3,8,0,0,0,0,2,2,950,100,6.200000294484198
Typical,1,3,9,0,0,0,0,2,2,951,100,5.100000242237002
Typical,1,3,10,0,0,0,0,2,2,951,100,4.600000218488276
Typical,1,3,11,0,0,0,0,2,3,951,93,4.10000019473955
Typical,1,3,12,0,0,0,0,2,3,951,93,4.10000019473955
Typical,1,3,13,0,0,0,0,2,3,952,93,4.10000019473955
Typical,1,3,14,0,25,0,25,2,3,952,93,4.10000019473955
Typical,1,3,15,0,52,0,52,3,3,954,100,3.100000147242099
