Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,723755.0,-,AZ,-,35.133,-111.667,0,2132,-7,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,15,34,19,-4,-2,791,89,2.6000001234933734
Typical,1,1,1,0,0,0,0,-4,-3,791,92,2.0000000949949026
Typical,1,1,2,0,0,0,0,-5,-4,791,96,1.500000071246177
Typical,1,1,3,0,0,0,0,-6,-5,791,97,1.0000000474974513
Typical,1,1,4,0,0,0,0,-7,-6,791,98,1.0000000474974513
Typical,1,1,5,0,0,0,0,-8,-7,791,99,1.500000071246177
Typical,1,1,6,0,0,0,0,-9,-8,791,99,1.0000000474974513
Typical,1,1,7,0,0,0,0,-20,-15,793,62,1.0000000474974513
Typical,1,1,8,0,0,0,0,-21,-16,793,62,1.0000000474974513
Typical,1,1,9,0,0,0,0,-21,-16,793,62,1.0000000474974513
Typical,1,1,10,0,0,0,0,-22,-17,793,62,1.500000071246177
Typical,1,1,11,0,0,0,0,-21,-16,793,62,1.500000071246177
Typical,1,1,12,0,0,0,0,-22,-16,793,59,1.0000000474974513
Typical,1,1,13,0,0,0,0,-22,-17,793,62,2.1000000997446477
Typical,1,1,14,0,3,90,6,-21,-16,793,62,2.1000000997446477
Typical,1,1,15,0,31,481,104,-16,-11,793,60,1.500000071246177
Typical,1,1,16,0,63,695,276,-12,-6,793,58,1.500000071246177
Typical,1,1,17,0,184,516,404,-10,-2,793,54,1.500000071246177
Typical,1,1,18,0,132,695,480,-7,1,793,48,1.0000000474974513
Typical,1,1,19,0,298,299,455,-8,3,792,37,1.500000071246177
Typical,1,1,20,0,172,125,235,-8,4,791,36,2.6000001234933734
Typical,1,1,21,0,147,398,317,-7,2,791,44,2.6000001234933734
Typical,1,1,22,0,99,364,211,-8,2,791,42,2.6000001234933734
Typical,1,1,23,0,64,273,106,-8,0,791,45,2.1000000997446477
Typical,1,2,0,0,4,87,7,-11,-3,791,51,1.500000071246177
Typical,1,2,1,0,0,0,0,-11,-4,791,56,1.0000000474974513
Typical,1,2,2,0,0,0,0,-11,-6,792,61,0.5000000237487257
Typical,1,2,3,0,0,0,0,-13,-7,792,61,1.500000071246177
Typical,1,2,4,0,0,0,0,-13,-8,792,64,1.0000000474974513
Typical,1,2,5,0,0,0,0,-15,-11,792,66,1.0000000474974513
Typical,1,2,6,0,0,0,0,-16,-11,792,63,0.0
Typical,1,2,7,0,0,0,0,-17,-12,792,67,1.0000000474974513
Typical,1,2,8,0,0,0,0,-17,-12,792,63,0.5000000237487257
Typical,1,2,9,0,0,0,0,-18,-13,791,59,1.500000071246177
Typical,1,2,10,0,0,0,0,-19,-14,791,63,1.500000071246177
Typical,1,2,11,0,0,0,0,-20,-15,791,59,1.0000000474974513
Typical,1,2,12,0,0,0,0,-21,-15,791,59,1.500000071246177
Typical,1,2,13,0,0,0,0,-22,-17,791,62,1.0000000474974513
Typical,1,2,14,0,2,31,3,-22,-17,792,58,1.500000071246177
Typical,1,2,15,0,47,446,115,-16,-10,792,61,1.500000071246177
Typical,1,2,16,0,93,427,224,-12,-6,793,55,2.1000000997446477
Typical,1,2,17,0,108,681,398,-11,-2,793,44,2.6000001234933734
Typical,1,2,18,0,144,677,484,-10,1,792,36,2.1000000997446477
Typical,1,2,19,0,189,537,473,-10,2,792,35,1.500000071246177
Typical,1,2,20,0,125,605,429,-8,5,791,31,1.500000071246177
Typical,1,2,21,0,187,336,331,-8,3,791,37,2.1000000997446477
Typical,1,2,22,0,120,490,272,-8,2,791,40,2.1000000997446477
Typical,1,2,23,0,45,97,60,-8,0,791,49,1.500000071246177
Typical,1,3,0,0,3,10,4,-10,-3,791,59,2.1000000997446477
Typical,1,3,1,0,0,0,0,-10,-5,791,61,1.500000071246177
Typical,1,3,2,0,0,0,0,-10,-5,791,65,1.0000000474974513
Typical,1,3,3,0,0,0,0,-11,-6,792,64,1.500000071246177
Typical,1,3,4,0,0,0,0,-11,-6,792,64,1.0000000474974513
Typical,1,3,5,0,0,0,0,-11,-6,791,64,1.0000000474974513
Typical,1,3,6,0,0,0,0,-10,-5,791,61,1.500000071246177
Typical,1,3,7,0,0,0,0,-10,-5,791,61,0.0
Typical,1,3,8,0,0,0,0,-10,-5,791,61,1.0000000474974513
Typical,1,3,9,0,0,0,0,-11,-5,790,62,2.1000000997446477
Typical,1,3,10,0,0,0,0,-10,-5,790,61,1.500000071246177
Typical,1,3,11,0,0,0,0,-10,-4,790,61,1.500000071246177
Typical,1,3,12,0,0,0,0,-9,-3,790,59,0.5000000237487257
Typical,1,3,13,0,0,0,0,-8,-2,790,59,1.0000000474974513
Typical,1,3,14,0,3,0,3,-9,-3,789,59,1.0000000474974513
Typical,1,3,15,0,50,0,50,-8,-2,790,59,1.500000071246177
Typical,1,3,16,0,104,0,104,-7,0,790,54,0.0
Typical,1,3,17,0,147,0,147,-6,3,790,47,0.0
Typical,1,3,18,0,174,0,174,-3,5,789,53,1.500000071246177
Typical,1,3,19,0,183,0,183,-2,5,788,56,1.500000071246177
Typical,1,3,20,0,174,0,174,-1,5,788,64,1.0000000474974513
Typical,1,3,21,0,148,0,148,0,3,787,72,1.500000071246177
Typical,1,3,22,0,106,0,106,0,3,787,76,2.1000000997446477
Typical,1,3,23,0,37,0,37,0,3,787,75,2.6000001234933734
Typical,1,4,0,0,2,0,2,-2,0,787,76,1.500000071246177
Typical,1,4,1,0,0,0,0,-3,0,786,72,0.5000000237487257
Typical,1,4,2,0,0,0,0,-2,1,787,73,0.0
Typical,1,4,3,0,0,0,0,-2,1,786,73,0.5000000237487257
Typical,1,4,4,0,0,0,0,-2,1,786,77,0.5000000237487257
Typical,1,4,5,0,0,0,0,-1,2,785,74,0.5000000237487257
Typical,1,4,6,0,0,0,0,-1,2,785,74,1.500000071246177
Typical,1,4,7,0,0,0,0,-1,2,784,71,1.0000000474974513
Typical,1,4,8,0,0,0,0,-1,2,783,75,1.500000071246177
Typical,1,4,9,0,0,0,0,-1,2,783,74,1.500000071246177
Typical,1,4,10,0,0,0,0,-1,2,782,74,2.6000001234933734
Typical,1,4,11,0,0,0,0,-1,2,782,71,2.6000001234933734
Typical,1,4,12,0,0,0,0,-1,1,782,77,5.200000246986747
Typical,1,4,13,0,0,0,0,-2,1,782,77,2.6000001234933734
Typical,1,4,14,0,1,0,1,-2,1,782,77,2.6000001234933734
Typical,1,4,15,0,31,0,31,-2,1,782,74,2.1000000997446477
Typical,1,4,16,0,69,0,69,-2,1,782,74,2.6000001234933734
Typical,1,4,17,0,99,0,99,-1,2,782,74,3.6000001709908247
Typical,1,4,18,0,118,0,118,-1,2,783,75,4.10000019473955
Typical,1,4,19,0,125,0,125,-1,2,782,74,3.100000147242099
Typical,1,4,20,0,119,0,119,-2,2,782,71,3.100000147242099
Typical,1,4,21,0,120,0,120,-2,1,782,74,3.6000001709908247
Typical,1,4,22,0,71,0,71,-2,1,783,74,2.6000001234933734
Typical,1,4,23,0,33,0,33,-2,1,783,73,2.6000001234933734
Typical,1,5,0,0,2,0,2,-2,1,783,73,2.1000000997446477
Typical,1,5,1,0,0,0,0,-2,1,784,77,3.100000147242099
Typical,1,5,2,0,0,0,0,-2,1,784,77,3.100000147242099
Typical,1,5,3,0,0,0,0,-2,1,785,77,2.6000001234933734
Typical,1,5,4,0,0,0,0,-2,1,785,77,1.0000000474974513
Typical,1,5,5,0,0,0,0,-2,1,785,77,0.5000000237487257
Typical,1,5,6,0,0,0,0,-2,1,785,77,0.0
Typical,1,5,7,0,0,0,0,-2,1,784,77,1.0000000474974513
Typical,1,5,8,0,0,0,0,-2,1,784,74,1.0000000474974513
Typical,1,5,9,0,0,0,0,-2,1,784,77,1.500000071246177
Typical,1,5,10,0,0,0,0,-1,1,784,80,0.0
Typical,1,5,11,0,0,0,0,-2,1,784,77,0.5000000237487257
Typical,1,5,12,0,0,0,0,-2,1,785,77,0.0
Typical,1,5,13,0,0,0,0,-2,1,785,77,0.0
Typical,1,5,14,0,1,0,1,-2,1,785,73,0.0
Typical,1,5,15,0,31,0,31,-2,1,786,74,0.5000000237487257
Typical,1,5,16,0,69,0,69,-1,2,786,78,1.500000071246177
Typical,1,5,17,0,119,0,119,0,2,787,78,1.0000000474974513
Typical,1,5,18,0,174,593,474,0,3,787,76,1.500000071246177
Typical,1,5,19,0,270,179,365,-1,3,786,69,1.0000000474974513
Typical,1,5,20,0,143,0,143,0,3,785,75,0.0
Typical,1,5,21,0,144,0,144,-1,3,785,69,1.0000000474974513
Typical,1,5,22,0,102,0,102,-1,3,785,72,0.5000000237487257
Typical,1,5,23,0,49,0,49,-1,3,786,72,0.0
Typical,1,6,0,0,3,0,3,-2,2,786,71,0.5000000237487257
Typical,1,6,1,0,0,0,0,-1,2,787,74,1.500000071246177
Typical,1,6,2,0,0,0,0,-2,1,787,74,1.500000071246177
Typical,1,6,3,0,0,0,0,-2,1,787,70,1.500000071246177
Typical,1,6,4,0,0,0,0,-2,1,787,73,1.0000000474974513
Typical,1,6,5,0,0,0,0,-2,1,788,73,1.500000071246177
Typical,1,6,6,0,0,0,0,-2,1,788,73,1.0000000474974513
Typical,1,6,7,0,0,0,0,-2,1,788,73,1.0000000474974513
Typical,1,6,8,0,0,0,0,-2,1,788,73,1.0000000474974513
Typical,1,6,9,0,0,0,0,-2,1,788,73,1.0000000474974513
Typical,1,6,10,0,0,0,0,-2,1,788,73,0.5000000237487257
Typical,1,6,11,0,0,0,0,-2,0,788,76,0.5000000237487257
Typical,1,6,12,0,0,0,0,-2,0,789,76,0.5000000237487257
Typical,1,6,13,0,0,0,0,-3,0,789,73,1.500000071246177
Typical,1,6,14,0,1,0,1,-3,0,790,72,1.0000000474974513
Typical,1,6,15,0,31,0,31,-3,0,790,72,1.500000071246177
Typical,1,6,16,0,69,0,69,-3,0,791,73,0.0
Typical,1,6,17,0,119,0,119,-2,1,791,73,1.0000000474974513
Typical,1,6,18,0,143,0,143,-2,1,791,70,1.500000071246177
Typical,1,6,19,0,126,0,126,-2,1,791,70,1.500000071246177
Typical,1,6,20,0,120,0,120,-2,2,790,68,1.0000000474974513
Typical,1,6,21,0,146,0,146,-2,2,790,65,1.0000000474974513
Typical,1,6,22,0,103,0,103,-2,2,790,65,1.0000000474974513
