Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724089.0,-,DE,-,39.667,-75.6,0,23,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-11,-3,1014,53,2.1000000997446477
Typical,1,1,1,0,0,0,0,-12,-2,1014,47,2.1000000997446477
Typical,1,1,2,0,0,0,0,-13,-2,1014,43,2.6000001234933734
Typical,1,1,3,0,0,0,0,-12,-2,1014,49,2.1000000997446477
Typical,1,1,4,0,0,0,0,-12,-2,1014,49,2.1000000997446477
Typical,1,1,5,0,0,0,0,6,6,1022,96,3.100000147242099
Typical,1,1,6,0,0,0,0,6,6,1021,96,2.6000001234933734
Typical,1,1,7,0,0,0,0,6,6,1021,96,2.6000001234933734
Typical,1,1,8,0,0,0,0,6,6,1021,96,2.6000001234933734
Typical,1,1,9,0,0,0,0,6,6,1019,100,3.6000001709908247
Typical,1,1,10,0,0,0,0,6,6,1019,100,2.6000001234933734
Typical,1,1,11,0,0,0,0,6,7,1019,96,3.100000147242099
Typical,1,1,12,0,10,0,10,7,7,1019,96,4.600000218488276
Typical,1,1,13,0,40,1,40,7,7,1019,100,5.200000246986747
Typical,1,1,14,0,86,1,86,7,7,1019,100,4.600000218488276
Typical,1,1,15,0,117,2,118,7,7,1018,100,4.600000218488276
Typical,1,1,16,0,132,1,132,8,8,1017,100,5.700000270735472
Typical,1,1,17,0,132,0,132,8,8,1015,100,4.600000218488276
Typical,1,1,18,0,114,1,115,9,9,1015,100,5.200000246986747
Typical,1,1,19,0,83,1,83,10,11,1015,96,3.100000147242099
Typical,1,1,20,0,76,1,76,13,14,1014,97,7.200000341981649
Typical,1,1,21,0,20,0,20,14,15,1014,97,7.700000365730375
Typical,1,1,22,0,0,0,0,13,14,1014,93,6.200000294484198
Typical,1,1,23,0,0,0,0,12,13,1014,97,2.1000000997446477
Typical,1,2,0,0,0,0,0,10,10,1014,100,3.100000147242099
Typical,1,2,1,0,0,0,0,10,10,1014,96,0.0
Typical,1,2,2,0,0,0,0,9,10,1015,96,0.0
Typical,1,2,3,0,0,0,0,8,9,1015,96,2.6000001234933734
Typical,1,2,4,0,0,0,0,10,10,1015,100,1.500000071246177
Typical,1,2,5,0,0,0,0,11,11,1015,100,0.0
Typical,1,2,6,0,0,0,0,10,10,1015,96,0.0
Typical,1,2,7,0,0,0,0,11,11,1016,96,2.6000001234933734
Typical,1,2,8,0,0,0,0,11,12,1016,96,2.1000000997446477
Typical,1,2,9,0,0,0,0,12,13,1016,97,3.100000147242099
Typical,1,2,10,0,0,0,0,11,12,1016,96,2.1000000997446477
Typical,1,2,11,0,0,0,0,11,12,1017,90,3.6000001709908247
Typical,1,2,12,0,13,0,13,8,11,1018,83,5.200000246986747
Typical,1,2,13,0,42,1,42,8,10,1018,86,4.10000019473955
Typical,1,2,14,0,75,1,75,8,9,1020,93,5.200000246986747
Typical,1,2,15,0,109,1,110,7,8,1019,93,5.200000246986747
Typical,1,2,16,0,132,1,132,7,8,1020,93,4.600000218488276
Typical,1,2,17,0,124,0,124,6,8,1019,89,5.200000246986747
Typical,1,2,18,0,179,1,179,6,7,1020,89,5.200000246986747
Typical,1,2,19,0,85,0,85,5,7,1020,89,5.200000246986747
Typical,1,2,20,0,75,1,75,5,7,1021,86,5.200000246986747
Typical,1,2,21,0,21,0,21,4,7,1022,83,4.10000019473955
Typical,1,2,22,0,0,0,0,3,6,1022,83,4.600000218488276
Typical,1,2,23,0,0,0,0,2,6,1023,80,4.10000019473955
Typical,1,3,0,0,0,0,0,1,5,1024,76,6.200000294484198
Typical,1,3,1,0,0,0,0,0,5,1024,73,6.700000318232924
Typical,1,3,2,0,0,0,0,0,4,1025,73,6.200000294484198
Typical,1,3,3,0,0,0,0,0,3,1025,73,5.700000270735472
Typical,1,3,4,0,0,0,0,-1,3,1026,70,5.200000246986747
Typical,1,3,5,0,0,0,0,-2,2,1026,70,4.600000218488276
Typical,1,3,6,0,0,0,0,-2,2,1026,73,3.6000001709908247
Typical,1,3,7,0,0,0,0,-3,1,1026,67,8.2000003894791
Typical,1,3,8,0,0,0,0,-5,1,1026,64,5.700000270735472
Typical,1,3,9,0,0,0,0,-5,1,1026,62,5.200000246986747
Typical,1,3,10,0,0,0,0,-5,0,1027,64,4.10000019473955
Typical,1,3,11,0,0,0,0,-5,0,1027,64,4.10000019473955
Typical,1,3,12,0,13,0,13,-5,1,1028,64,5.200000246986747
Typical,1,3,13,0,59,0,59,-5,1,1028,64,5.700000270735472
Typical,1,3,14,0,126,1,127,-5,1,1028,64,5.700000270735472
Typical,1,3,15,0,173,0,173,-4,1,1027,64,5.700000270735472
Typical,1,3,16,0,118,1,119,-2,0,1026,82,4.600000218488276
Typical,1,3,17,0,126,1,127,-2,0,1026,85,4.600000218488276
Typical,1,3,18,0,109,1,109,-1,0,1025,85,3.100000147242099
Typical,1,3,19,0,83,1,83,-1,0,1024,85,3.100000147242099
Typical,1,3,20,0,43,1,43,-1,0,1024,89,2.6000001234933734
Typical,1,3,21,0,14,0,14,-1,0,1024,89,2.1000000997446477
Typical,1,3,22,0,0,0,0,-1,0,1023,89,2.6000001234933734
Typical,1,3,23,0,0,0,0,-2,0,1023,79,3.100000147242099
Typical,1,4,0,0,0,0,0,-3,0,1022,75,3.100000147242099
Typical,1,4,1,0,0,0,0,-3,0,1021,75,3.6000001709908247
Typical,1,4,2,0,0,0,0,-3,0,1021,79,4.600000218488276
Typical,1,4,3,0,0,0,0,-4,0,1019,75,5.700000270735472
Typical,1,4,4,0,0,0,0,-5,0,1018,72,4.10000019473955
Typical,1,4,5,0,0,0,0,-4,0,1018,75,3.100000147242099
Typical,1,4,6,0,0,0,0,-3,0,1017,75,2.1000000997446477
Typical,1,4,7,0,0,0,0,-3,0,1016,75,2.6000001234933734
Typical,1,4,8,0,0,0,0,-3,0,1015,79,2.6000001234933734
Typical,1,4,9,0,0,0,0,-4,0,1014,75,2.1000000997446477
Typical,1,4,10,0,0,0,0,-5,0,1014,72,2.6000001234933734
Typical,1,4,11,0,0,0,0,-4,0,1013,75,4.10000019473955
Typical,1,4,12,0,17,0,17,-5,0,1013,69,2.6000001234933734
Typical,1,4,13,0,83,0,83,-5,0,1012,67,3.100000147242099
Typical,1,4,14,0,142,0,143,-5,0,1010,67,3.100000147242099
Typical,1,4,15,0,191,1,191,-4,0,1010,70,2.1000000997446477
Typical,1,4,16,0,221,2,222,-3,0,1008,73,2.6000001234933734
Typical,1,4,17,0,235,1,235,-3,1,1007,73,2.1000000997446477
Typical,1,4,18,0,225,1,225,-3,1,1007,73,3.6000001709908247
Typical,1,4,19,0,98,0,98,-2,0,1005,79,2.6000001234933734
Typical,1,4,20,0,55,0,55,-1,0,1003,89,3.6000001709908247
Typical,1,4,21,0,29,1,29,-1,0,1002,89,2.6000001234933734
Typical,1,4,22,0,0,0,0,-1,0,1001,89,3.100000147242099
Typical,1,4,23,0,0,0,0,0,0,1000,92,3.100000147242099
Typical,1,5,0,0,0,0,0,0,0,999,92,4.10000019473955
Typical,1,5,1,0,0,0,0,0,0,998,96,4.10000019473955
Typical,1,5,2,0,0,0,0,-1,0,996,96,5.200000246986747
Typical,1,5,3,0,0,0,0,-1,0,995,96,4.10000019473955
Typical,1,5,4,0,0,0,0,0,0,996,96,2.1000000997446477
Typical,1,5,5,0,0,0,0,0,0,995,96,3.6000001709908247
Typical,1,5,6,0,0,0,0,0,0,995,96,3.6000001709908247
Typical,1,5,7,0,0,0,0,0,0,995,92,3.6000001709908247
