Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724095.0,-,NJ,-,40.283,-74.817,0,65,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,3,10,1016,64,3.90000018524006
Typical,1,1,1,0,0,0,0,3,9,1016,66,3.6000001709908247
Typical,1,1,2,0,0,0,0,3,9,1015,68,3.4000001614913344
Typical,1,1,3,0,0,0,0,3,8,1015,71,3.100000147242099
Typical,1,1,4,0,0,0,0,3,8,1015,72,2.900000137742609
Typical,1,1,5,0,0,0,0,-9,-6,1008,79,2.6000001234933734
Typical,1,1,6,0,0,0,0,-10,-7,1009,79,2.6000001234933734
Typical,1,1,7,0,0,0,0,-11,-8,1009,78,2.6000001234933734
Typical,1,1,8,0,0,0,0,-12,-9,1009,76,2.6000001234933734
Typical,1,1,9,0,0,0,0,-13,-10,1010,75,2.6000001234933734
Typical,1,1,10,0,0,0,0,-15,-11,1010,70,2.6000001234933734
Typical,1,1,11,0,0,0,0,-15,-11,1011,66,2.6000001234933734
Typical,1,1,12,0,8,111,13,-16,-11,1013,63,2.6000001234933734
Typical,1,1,13,0,73,118,93,-17,-10,1012,53,2.6000001234933734
Typical,1,1,14,0,180,200,240,-19,-9,1012,40,4.10000019473955
Typical,1,1,15,0,132,420,297,-17,-7,1012,40,3.4000001614913344
Typical,1,1,16,0,114,589,374,-17,-7,1011,41,2.6000001234933734
Typical,1,1,17,0,145,526,379,-16,-6,1010,41,2.1000000997446477
Typical,1,1,18,0,122,487,317,-14,-5,1009,45,2.1000000997446477
Typical,1,1,19,0,178,163,228,-13,-5,1010,49,3.100000147242099
Typical,1,1,20,0,71,36,78,-13,-5,1010,49,4.10000019473955
Typical,1,1,21,0,11,6,11,-11,-4,1009,54,2.1000000997446477
Typical,1,1,22,0,0,0,0,-10,-4,1010,58,2.400000113993883
Typical,1,1,23,0,0,0,0,-10,-4,1010,59,2.6000001234933734
Typical,1,2,0,0,0,0,0,-9,-3,1010,60,1.3000000617466867
Typical,1,2,1,0,0,0,0,-9,-3,1010,60,0.0
Typical,1,2,2,0,0,0,0,-8,-3,1012,65,0.0
Typical,1,2,3,0,0,0,0,-7,-2,1013,68,0.0
Typical,1,2,4,0,0,0,0,-7,-3,1015,71,0.0
Typical,1,2,5,0,0,0,0,-6,-3,1016,79,0.0
Typical,1,2,6,0,0,0,0,-5,-3,1018,85,0.0
Typical,1,2,7,0,0,0,0,-5,-3,1019,90,0.0
Typical,1,2,8,0,0,0,0,-4,-4,1021,97,0.0
Typical,1,2,9,0,0,0,0,-4,-4,1023,100,0.0
Typical,1,2,10,0,0,0,0,-4,-4,1024,100,0.0
Typical,1,2,11,0,0,0,0,-4,-1,1026,78,0.0
Typical,1,2,12,0,5,0,5,-4,-1,1028,78,0.0
Typical,1,2,13,0,41,0,41,-3,0,1029,78,2.6000001234933734
Typical,1,2,14,0,70,0,70,-1,2,1029,80,5.100000242237002
Typical,1,2,15,0,97,0,97,-1,2,1029,80,4.600000218488276
Typical,1,2,16,0,111,0,111,0,4,1028,75,4.600000218488276
Typical,1,2,17,0,134,0,134,0,4,1027,75,5.100000242237002
Typical,1,2,18,0,118,0,118,2,5,1026,81,4.10000019473955
Typical,1,2,19,0,88,0,88,2,6,1026,75,4.10000019473955
Typical,1,2,20,0,47,0,47,2,6,1025,75,3.100000147242099
Typical,1,2,21,0,7,0,7,2,6,1025,75,2.6000001234933734
Typical,1,2,22,0,0,0,0,2,5,1024,81,0.0
Typical,1,2,23,0,0,0,0,2,5,1024,81,2.6000001234933734
Typical,1,3,0,0,0,0,0,3,5,1023,87,2.1000000997446477
Typical,1,3,1,0,0,0,0,3,5,1023,87,2.1000000997446477
Typical,1,3,2,0,0,0,0,4,6,1022,87,0.0
