Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724125.0,-,WV,-,37.27,-81.24,0,803,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-12,-7,914,64,2.1000000997446477
Typical,1,1,1,0,0,0,0,-12,-8,914,67,3.100000147242099
Typical,1,1,2,0,0,0,0,-12,-9,914,74,3.100000147242099
Typical,1,1,3,0,0,0,0,-13,-10,913,74,2.6000001234933734
Typical,1,1,4,0,0,0,0,-13,-10,913,78,2.1000000997446477
Typical,1,1,5,0,0,0,0,-4,4,920,50,0.0
Typical,1,1,6,0,0,0,0,-4,3,920,51,0.0
Typical,1,1,7,0,0,0,0,-4,3,920,54,0.0
Typical,1,1,8,0,0,0,0,-4,3,920,56,0.0
Typical,1,1,9,0,0,0,0,-3,3,920,59,0.0
Typical,1,1,10,0,0,0,0,-3,3,920,63,0.0
Typical,1,1,11,0,0,0,0,-3,3,920,63,0.0
Typical,1,1,12,0,0,0,0,-3,4,921,59,0.0
Typical,1,1,13,0,22,0,22,-2,5,921,59,0.0
Typical,1,1,14,0,65,0,65,-1,6,921,60,0.0
Typical,1,1,15,0,98,0,98,0,10,922,50,0.0
Typical,1,1,16,0,125,0,125,0,12,922,44,0.0
Typical,1,1,17,0,181,12,187,0,13,922,41,0.800000037997961
Typical,1,1,18,0,111,0,111,0,13,922,41,1.500000071246177
Typical,1,1,19,0,162,265,267,0,15,922,36,1.8000000854954123
Typical,1,1,20,0,95,337,189,0,14,922,38,2.1000000997446477
Typical,1,1,21,0,42,61,50,0,14,923,38,2.6000001234933734
Typical,1,1,22,0,0,0,0,0,13,923,41,2.6000001234933734
Typical,1,1,23,0,0,0,0,0,12,923,44,3.100000147242099
Typical,1,2,0,0,0,0,0,5,12,923,62,3.100000147242099
Typical,1,2,1,0,0,0,0,6,11,922,71,4.10000019473955
Typical,1,2,2,0,0,0,0,6,11,922,72,4.000000189989805
Typical,1,2,3,0,0,0,0,6,10,922,73,4.000000189989805
Typical,1,2,4,0,0,0,0,5,10,922,74,3.90000018524006
Typical,1,2,5,0,0,0,0,6,10,921,75,3.90000018524006
Typical,1,2,6,0,0,0,0,5,9,921,76,3.800000180490315
Typical,1,2,7,0,0,0,0,5,9,921,77,3.800000180490315
Typical,1,2,8,0,0,0,0,5,9,921,78,3.70000017574057
Typical,1,2,9,0,0,0,0,6,9,920,79,3.70000017574057
Typical,1,2,10,0,0,0,0,6,9,920,81,3.6000001709908247
Typical,1,2,11,0,0,0,0,6,9,920,81,1.8000000854954123
Typical,1,2,12,0,0,0,0,6,9,921,81,0.0
Typical,1,2,13,0,49,524,120,6,11,921,71,0.0
Typical,1,2,14,0,62,745,275,6,13,921,62,3.6000001709908247
Typical,1,2,15,0,75,743,373,6,16,921,51,3.90000018524006
Typical,1,2,16,0,100,830,493,6,17,921,48,4.300000204239041
Typical,1,2,17,0,105,757,482,4,18,921,39,4.600000218488276
Typical,1,2,18,0,67,846,466,4,19,921,37,4.900000232737511
Typical,1,2,19,0,56,783,367,4,19,921,37,5.100000242237002
Typical,1,2,20,0,42,726,246,3,18,921,37,7.700000365730375
Typical,1,2,21,0,23,484,85,3,17,920,39,5.100000242237002
Typical,1,2,22,0,0,0,0,4,16,920,45,3.90000018524006
Typical,1,2,23,0,0,0,0,5,15,921,51,2.6000001234933734
Typical,1,3,0,0,0,0,0,6,13,921,61,4.10000019473955
Typical,1,3,1,0,0,0,0,8,13,921,72,4.600000218488276
Typical,1,3,2,0,0,0,0,8,13,921,72,4.700000223238021
Typical,1,3,3,0,0,0,0,8,13,921,71,4.700000223238021
Typical,1,3,4,0,0,0,0,7,13,920,71,4.800000227987766
Typical,1,3,5,0,0,0,0,8,13,920,71,4.800000227987766
Typical,1,3,6,0,0,0,0,7,13,920,71,4.900000232737511
Typical,1,3,7,0,0,0,0,7,13,919,71,4.900000232737511
Typical,1,3,8,0,0,0,0,7,13,919,71,5.0000002374872565
Typical,1,3,9,0,0,0,0,8,13,919,71,5.0000002374872565
Typical,1,3,10,0,0,0,0,8,13,919,72,5.100000242237002
Typical,1,3,11,0,0,0,0,8,13,919,72,5.700000270735472
Typical,1,3,12,0,0,0,0,8,14,920,67,4.10000019473955
Typical,1,3,13,0,59,213,88,8,15,920,63,4.10000019473955
Typical,1,3,14,0,72,535,225,8,16,920,59,4.10000019473955
Typical,1,3,15,0,116,559,341,8,18,919,52,4.10000019473955
Typical,1,3,16,0,125,630,424,8,18,919,52,7.700000365730375
Typical,1,3,17,0,170,480,410,8,19,919,49,6.200000294484198
Typical,1,3,18,0,161,471,384,8,20,919,46,4.10000019473955
Typical,1,3,19,0,179,194,256,8,20,918,46,5.100000242237002
Typical,1,3,20,0,112,74,133,10,17,918,63,5.100000242237002
Typical,1,3,21,0,27,0,27,9,16,918,65,5.100000242237002
Typical,1,3,22,0,0,0,0,10,16,918,68,5.100000242237002
Typical,1,3,23,0,0,0,0,10,16,917,68,4.10000019473955
Typical,1,4,0,0,0,0,0,9,15,917,67,5.100000242237002
Typical,1,4,1,0,0,0,0,9,15,916,67,5.100000242237002
Typical,1,4,2,0,0,0,0,9,15,916,67,5.0000002374872565
Typical,1,4,3,0,0,0,0,9,15,915,67,4.900000232737511
Typical,1,4,4,0,0,0,0,8,15,915,67,4.800000227987766
Typical,1,4,5,0,0,0,0,9,15,914,67,4.700000223238021
Typical,1,4,6,0,0,0,0,8,15,913,66,4.500000213738531
Typical,1,4,7,0,0,0,0,8,15,913,66,4.400000208988786
Typical,1,4,8,0,0,0,0,8,15,912,66,4.300000204239041
Typical,1,4,9,0,0,0,0,9,15,912,67,4.2000001994892955
Typical,1,4,10,0,0,0,0,9,15,911,67,4.10000019473955
Typical,1,4,11,0,0,0,0,9,15,910,67,5.100000242237002
Typical,1,4,12,0,0,0,0,9,15,909,67,5.100000242237002
Typical,1,4,13,0,55,0,55,9,16,910,63,6.200000294484198
