Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724240.0,-,KY,-,37.9,-85.96700000000001,0,239,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,12,13,997,94,2.1000000997446477
Typical,1,1,1,0,0,0,0,13,13,997,100,3.100000147242099
Typical,1,1,2,0,0,0,0,13,13,997,100,1.500000071246177
Typical,1,1,3,0,0,0,0,13,13,997,100,2.1000000997446477
Typical,1,1,4,0,0,0,0,13,13,998,100,1.500000071246177
Typical,1,1,5,0,0,0,0,-12,-10,996,84,1.0000000474974513
Typical,1,1,6,0,0,0,0,-13,-12,996,91,1.500000071246177
Typical,1,1,7,0,0,0,0,-13,-12,996,91,1.500000071246177
Typical,1,1,8,0,0,0,0,-14,-13,996,91,0.5000000237487257
Typical,1,1,9,0,0,0,0,-14,-13,997,91,1.500000071246177
Typical,1,1,10,0,0,0,0,-13,-12,998,91,1.500000071246177
Typical,1,1,11,0,0,0,0,-14,-13,999,91,1.500000071246177
Typical,1,1,12,0,0,0,0,-14,-13,999,91,2.6000001234933734
Typical,1,1,13,0,0,0,0,-13,-11,1000,84,3.6000001709908247
Typical,1,1,14,0,69,603,210,-11,-8,1000,77,3.6000001709908247
Typical,1,1,15,0,77,737,342,-11,-6,1000,64,5.100000242237002
Typical,1,1,16,0,136,687,443,-12,-5,1000,54,4.10000019473955
Typical,1,1,17,0,226,211,329,-11,-5,999,59,4.600000218488276
Typical,1,1,18,0,210,364,382,-11,-4,999,54,3.6000001709908247
Typical,1,1,19,0,156,18,164,-11,-4,997,54,5.100000242237002
Typical,1,1,20,0,90,0,90,-10,-4,998,59,4.10000019473955
Typical,1,1,21,0,71,199,106,-10,-4,998,59,4.10000019473955
Typical,1,1,22,0,0,0,0,-11,-4,996,54,6.200000294484198
Typical,1,1,23,0,0,0,0,-10,-5,995,65,5.700000270735472
Typical,1,2,0,0,0,0,0,-10,-5,995,65,6.200000294484198
Typical,1,2,1,0,0,0,0,-8,-4,994,71,5.700000270735472
Typical,1,2,2,0,0,0,0,-8,-4,994,71,6.700000318232924
Typical,1,2,3,0,0,0,0,-7,-4,993,77,6.200000294484198
Typical,1,2,4,0,0,0,0,-7,-3,992,71,6.200000294484198
Typical,1,2,5,0,0,0,0,-6,-4,990,84,6.200000294484198
Typical,1,2,6,0,0,0,0,-5,-3,989,84,6.700000318232924
Typical,1,2,7,0,0,0,0,-4,-2,989,85,6.200000294484198
Typical,1,2,8,0,0,0,0,-4,-2,986,85,7.700000365730375
Typical,1,2,9,0,0,0,0,-4,-2,985,85,6.200000294484198
Typical,1,2,10,0,0,0,0,-3,-2,985,92,6.200000294484198
Typical,1,2,11,0,0,0,0,-3,-2,983,92,6.700000318232924
Typical,1,2,12,0,0,0,0,-3,-1,982,85,6.700000318232924
Typical,1,2,13,0,0,0,0,-3,-1,981,85,6.200000294484198
Typical,1,2,14,0,126,361,210,-3,-1,980,85,5.700000270735472
Typical,1,2,15,0,159,155,215,-2,0,978,85,5.700000270735472
Typical,1,2,16,0,175,18,183,-2,0,977,85,1.0000000474974513
Typical,1,2,17,0,79,0,79,-1,0,976,92,2.6000001234933734
Typical,1,2,18,0,216,90,259,-1,1,974,86,3.100000147242099
Typical,1,2,19,0,68,0,68,2,3,972,93,6.200000294484198
Typical,1,2,20,0,58,0,58,5,6,972,93,6.700000318232924
Typical,1,2,21,0,63,70,75,6,8,972,87,7.200000341981649
Typical,1,2,22,0,2,60,3,6,8,973,87,5.700000270735472
Typical,1,2,23,0,0,0,0,-1,1,974,86,5.700000270735472
Typical,1,3,0,0,0,0,0,-2,-1,975,92,5.100000242237002
Typical,1,3,1,0,0,0,0,-5,-3,976,84,7.200000341981649
Typical,1,3,2,0,0,0,0,-6,-5,978,92,7.200000341981649
Typical,1,3,3,0,0,0,0,-7,-5,979,84,6.700000318232924
Typical,1,3,4,0,0,0,0,-8,-6,979,84,7.200000341981649
Typical,1,3,5,0,0,0,0,-9,-6,980,77,7.700000365730375
Typical,1,3,6,0,0,0,0,-9,-6,980,77,6.200000294484198
Typical,1,3,7,0,0,0,0,-10,-7,981,77,7.200000341981649
Typical,1,3,8,0,0,0,0,-10,-7,982,77,7.000000332482159
Typical,1,3,9,0,0,0,0,-10,-7,983,77,6.700000318232924
Typical,1,3,10,0,0,0,0,-11,-7,983,70,6.200000294484198
Typical,1,3,11,0,0,0,0,-11,-7,984,70,7.700000365730375
Typical,1,3,12,0,0,0,0,-11,-8,985,77,6.700000318232924
Typical,1,3,13,0,0,0,0,-11,-8,986,77,6.700000318232924
Typical,1,3,14,0,69,603,210,-10,-7,987,77,5.700000270735472
Typical,1,3,15,0,76,737,343,-10,-6,988,70,5.700000270735472
Typical,1,3,16,0,81,809,443,-11,-7,988,70,7.700000365730375
Typical,1,3,17,0,85,825,487,-11,-6,988,64,6.200000294484198
Typical,1,3,18,0,140,705,477,-11,-6,988,64,7.700000365730375
Typical,1,3,19,0,189,278,305,-11,-7,988,70,8.2000003894791
Typical,1,3,20,0,97,596,286,-12,-7,989,64,6.200000294484198
Typical,1,3,21,0,40,529,133,-12,-8,990,70,5.700000270735472
Typical,1,3,22,0,2,94,4,-12,-9,990,77,4.600000218488276
Typical,1,3,23,0,0,0,0,-12,-9,991,77,4.10000019473955
Typical,1,4,0,0,0,0,0,-12,-9,991,77,4.10000019473955
Typical,1,4,1,0,0,0,0,-11,-8,992,77,4.600000218488276
Typical,1,4,2,0,0,0,0,-11,-8,993,77,4.600000218488276
Typical,1,4,3,0,0,0,0,-12,-10,993,84,6.200000294484198
Typical,1,4,4,0,0,0,0,-13,-10,993,76,5.700000270735472
Typical,1,4,5,0,0,0,0,-13,-10,994,76,4.10000019473955
Typical,1,4,6,0,0,0,0,-14,-10,994,70,3.6000001709908247
Typical,1,4,7,0,0,0,0,-14,-10,994,70,4.10000019473955
Typical,1,4,8,0,0,0,0,-14,-10,995,70,5.700000270735472
Typical,1,4,9,0,0,0,0,-15,-12,995,76,4.600000218488276
Typical,1,4,10,0,0,0,0,-14,-12,996,83,3.6000001709908247
Typical,1,4,11,0,0,0,0,-16,-13,996,76,4.10000019473955
Typical,1,4,12,0,0,0,0,-16,-13,997,76,3.100000147242099
Typical,1,4,13,0,0,0,0,-15,-12,997,76,4.10000019473955
Typical,1,4,14,0,73,551,202,-14,-11,998,76,4.10000019473955
Typical,1,4,15,0,78,731,343,-15,-11,999,70,6.700000318232924
Typical,1,4,16,0,83,803,443,-13,-9,999,67,6.700000318232924
