Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724459.0,-,MO,-,38.1,-92.55,0,265,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-2,7,982,52,2.1000000997446477
Typical,1,1,1,0,0,0,0,-2,6,982,55,2.6000001234933734
Typical,1,1,2,0,0,0,0,-3,6,982,51,1.500000071246177
Typical,1,1,3,0,0,0,0,-3,8,982,44,3.6000001709908247
Typical,1,1,4,0,0,0,0,-3,8,982,44,3.100000147242099
Typical,1,1,5,0,0,0,0,-3,8,982,44,2.6000001234933734
Typical,1,1,6,0,0,0,0,-2,-1,982,96,0.0
Typical,1,1,7,0,0,0,0,0,0,982,95,0.5000000237487257
Typical,1,1,8,0,0,0,0,0,0,982,100,1.0000000474974513
Typical,1,1,9,0,0,0,0,1,2,982,94,0.5000000237487257
Typical,1,1,10,0,0,0,0,3,3,982,100,1.1000000522471964
Typical,1,1,11,0,0,0,0,5,5,982,99,1.600000075995922
Typical,1,1,12,0,0,0,0,6,7,982,92,1.2000000569969416
Typical,1,1,13,0,5,109,10,7,9,982,91,0.10000000474974513
Typical,1,1,14,0,40,428,111,10,10,982,97,0.0
Typical,1,1,15,0,45,753,275,11,12,982,89,0.0
Typical,1,1,16,0,56,839,399,12,15,982,84,0.7000000332482159
Typical,1,1,17,0,61,832,451,13,18,982,73,1.8000000854954123
Typical,1,1,18,0,74,805,461,15,19,982,78,1.7000000807456672
Typical,1,1,19,0,76,808,433,14,19,982,73,1.2000000569969416
Typical,1,1,20,0,70,640,300,13,21,982,60,1.7000000807456672
Typical,1,1,21,0,49,390,140,13,19,982,68,0.7000000332482159
Typical,1,1,22,0,29,205,45,13,18,982,73,0.6000000284984708
Typical,1,1,23,0,0,0,0,13,18,982,73,0.6000000284984708
Typical,1,2,0,0,0,0,0,13,18,982,73,0.10000000474974513
Typical,1,2,1,0,0,0,0,14,18,982,77,0.0
Typical,1,2,2,0,0,0,0,14,17,982,82,0.0
Typical,1,2,3,0,0,0,0,14,17,982,82,0.0
Typical,1,2,4,0,0,0,0,14,16,982,88,0.0
Typical,1,2,5,0,0,0,0,14,16,982,88,0.0
Typical,1,2,6,0,0,0,0,13,15,982,88,0.10000000474974513
Typical,1,2,7,0,0,0,0,13,16,982,82,0.10000000474974513
Typical,1,2,8,0,0,0,0,13,16,982,82,0.20000000949949026
Typical,1,2,9,0,0,0,0,13,16,982,82,0.3000000142492354
Typical,1,2,10,0,0,0,0,13,16,982,82,0.4000000189989805
Typical,1,2,11,0,0,0,0,13,16,982,82,0.4000000189989805
Typical,1,2,12,0,0,0,0,13,16,982,82,0.5000000237487257
Typical,1,2,13,0,4,1,4,13,16,982,82,0.0
Typical,1,2,14,0,23,24,27,13,16,982,82,0.0
Typical,1,2,15,0,153,72,175,14,16,982,88,0.0
Typical,1,2,16,0,145,61,171,16,17,982,94,0.0
Typical,1,2,17,0,217,145,285,16,18,982,88,0.0
Typical,1,2,18,0,321,98,368,15,17,982,88,0.0
Typical,1,2,19,0,188,22,198,16,18,982,88,0.0
Typical,1,2,20,0,144,138,194,15,17,982,88,0.6000000284984708
Typical,1,2,21,0,93,145,128,14,16,982,88,0.0
Typical,1,2,22,0,52,34,54,12,13,982,94,0.0
Typical,1,2,23,0,0,0,0,12,12,982,100,0.0
Typical,1,3,0,0,0,0,0,11,12,982,94,0.0
Typical,1,3,1,0,0,0,0,11,12,982,94,0.0
Typical,1,3,2,0,0,0,0,11,11,982,100,0.0
Typical,1,3,3,0,0,0,0,9,10,982,93,0.0
Typical,1,3,4,0,0,0,0,10,10,982,100,0.0
Typical,1,3,5,0,0,0,0,9,10,982,93,0.0
Typical,1,3,6,0,0,0,0,8,9,982,93,0.0
Typical,1,3,7,0,0,0,0,8,8,982,100,0.0
Typical,1,3,8,0,0,0,0,7,8,982,93,0.5000000237487257
Typical,1,3,9,0,0,0,0,8,9,982,93,0.0
Typical,1,3,10,0,0,0,0,7,8,982,93,0.0
Typical,1,3,11,0,0,0,0,7,8,982,93,0.0
Typical,1,3,12,0,0,0,0,6,6,982,100,0.0
Typical,1,3,13,0,7,41,9,5,6,982,93,0.0
Typical,1,3,14,0,87,45,94,6,6,982,100,0.0
Typical,1,3,15,0,113,34,124,6,6,982,100,0.0
Typical,1,3,16,0,129,0,129,6,6,982,100,1.1000000522471964
Typical,1,3,17,0,150,0,150,4,5,982,93,0.0
Typical,1,3,18,0,154,0,154,4,4,982,100,0.0
Typical,1,3,19,0,141,0,141,4,5,982,93,1.500000071246177
Typical,1,3,20,0,112,0,112,4,5,982,93,1.1000000522471964
