Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724516.0,-,KS,-,37.033,-100.96700000000001,0,901,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-1,9,910,49,4.10000019473955
Typical,1,1,1,0,0,0,0,-1,8,910,52,4.10000019473955
Typical,1,1,2,0,0,0,0,-1,6,910,60,3.6000001709908247
Typical,1,1,3,0,0,0,0,-2,4,910,64,4.600000218488276
Typical,1,1,4,0,0,0,0,-1,4,910,69,3.6000001709908247
Typical,1,1,5,0,0,0,0,-2,3,910,68,4.10000019473955
Typical,1,1,6,0,0,0,0,0,4,910,78,0.0
Typical,1,1,7,0,0,0,0,0,6,910,66,2.0000000949949026
Typical,1,1,8,0,0,0,0,0,5,910,68,3.000000142492354
Typical,1,1,9,0,0,0,0,0,7,910,58,3.000000142492354
Typical,1,1,10,0,0,0,0,-1,8,910,52,3.000000142492354
Typical,1,1,11,0,0,0,0,-1,6,910,57,4.10000019473955
Typical,1,1,12,0,0,0,0,-2,8,910,48,4.600000218488276
Typical,1,1,13,0,0,0,0,-2,7,910,48,5.600000265985727
Typical,1,1,14,0,0,0,0,-1,8,910,49,4.600000218488276
Typical,1,1,15,0,125,463,239,0,9,910,55,6.600000313483179
Typical,1,1,16,0,107,0,107,1,11,910,53,6.100000289734453
Typical,1,1,17,0,152,0,152,2,12,910,51,5.600000265985727
Typical,1,1,18,0,103,0,103,1,16,910,38,5.600000265985727
Typical,1,1,19,0,100,0,100,2,19,910,33,7.200000341981649
Typical,1,1,20,0,141,0,141,2,19,910,33,7.200000341981649
Typical,1,1,21,0,58,0,58,1,19,910,31,6.600000313483179
Typical,1,1,22,0,22,0,22,2,18,910,35,6.600000313483179
Typical,1,1,23,0,3,27,4,1,13,910,46,6.100000289734453
Typical,1,2,0,0,0,0,0,1,11,910,50,6.600000313483179
Typical,1,2,1,0,0,0,0,0,11,910,49,7.200000341981649
Typical,1,2,2,0,0,0,0,0,9,910,56,6.100000289734453
Typical,1,2,3,0,0,0,0,0,8,910,60,5.100000242237002
Typical,1,2,4,0,0,0,0,0,7,910,60,7.200000341981649
Typical,1,2,5,0,0,0,0,-1,6,910,60,7.700000365730375
Typical,1,2,6,0,0,0,0,-2,3,910,68,7.200000341981649
Typical,1,2,7,0,0,0,0,-2,0,910,83,6.600000313483179
Typical,1,2,8,0,0,0,0,-3,0,910,74,8.2000003894791
Typical,1,2,9,0,0,0,0,-3,0,910,81,6.600000313483179
Typical,1,2,10,0,0,0,0,-1,0,910,88,7.700000365730375
Typical,1,2,11,0,0,0,0,0,0,910,96,7.200000341981649
Typical,1,2,12,0,0,0,0,-1,0,910,84,7.700000365730375
Typical,1,2,13,0,0,0,0,-2,1,910,74,8.700000413227826
Typical,1,2,14,0,0,0,0,-2,0,910,80,7.700000365730375
Typical,1,2,15,0,51,770,239,-1,2,910,77,8.800000417977571
Typical,1,2,16,0,59,885,388,0,2,910,87,9.800000465475023
Typical,1,2,17,0,65,918,486,1,3,910,85,8.800000417977571
Typical,1,2,18,0,66,939,535,3,4,910,98,6.700000318232924
Typical,1,2,19,0,59,926,512,4,5,910,89,7.80000037048012
Typical,1,2,20,0,57,905,447,5,6,910,95,7.3000003467313945
Typical,1,2,21,0,42,829,313,6,8,910,87,5.700000270735472
Typical,1,2,22,0,30,662,153,6,6,910,96,5.500000261235982
