Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724625.0,-,CO,-,37.15,-107.75,0,2038,-7,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-14,-1,796,32,1.500000071246177
Typical,1,1,1,0,0,0,0,-13,-2,796,38,2.6000001234933734
Typical,1,1,2,0,0,0,0,-12,-1,796,39,1.500000071246177
Typical,1,1,3,0,0,0,0,-12,-1,794,39,0.0
Typical,1,1,4,0,0,0,0,-12,1,794,33,1.500000071246177
Typical,1,1,5,0,0,0,0,-10,1,793,40,3.100000147242099
Typical,1,1,6,0,0,0,0,-7,2,793,48,2.1000000997446477
Typical,1,1,7,0,0,0,0,-3,5,801,55,1.500000071246177
Typical,1,1,8,0,0,0,0,-4,-1,796,78,0.0
Typical,1,1,9,0,0,0,0,-4,-1,798,78,1.500000071246177
Typical,1,1,10,0,0,0,0,-4,-3,797,92,2.1000000997446477
Typical,1,1,11,0,0,0,0,-5,0,799,66,1.500000071246177
Typical,1,1,12,0,0,0,0,-5,-1,797,71,0.0
Typical,1,1,13,0,0,0,0,-7,-3,797,71,0.0
Typical,1,1,14,0,4,270,16,-5,-3,797,84,0.0
Typical,1,1,15,0,18,767,152,-2,6,803,55,0.0
Typical,1,1,16,0,28,914,317,-1,8,804,52,0.0
Typical,1,1,17,0,35,975,446,-1,11,806,43,0.0
Typical,1,1,18,0,39,1001,523,0,15,805,36,2.6000001234933734
Typical,1,1,19,0,40,1005,538,0,20,807,26,2.6000001234933734
Typical,1,1,20,0,38,990,491,1,17,807,34,1.500000071246177
Typical,1,1,21,0,32,949,386,1,13,804,44,0.0
Typical,1,1,22,0,23,855,235,2,13,805,47,0.0
Typical,1,1,23,0,12,605,68,1,8,802,61,1.500000071246177
Typical,1,2,0,0,0,27,0,0,5,801,70,0.0
Typical,1,2,1,0,0,0,0,-1,8,803,52,3.100000147242099
