Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724755.0,-,UT,-,37.7,-113.1,0,1703,-7,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-14,3,825,22,5.200000246986747
Typical,1,1,1,0,0,0,0,-10,1,825,38,3.6000001709908247
Typical,1,1,2,0,0,0,0,-8,1,825,43,3.100000147242099
Typical,1,1,3,0,0,0,0,-13,2,825,26,6.700000318232924
Typical,1,1,4,0,0,0,0,-11,2,825,31,4.600000218488276
Typical,1,1,5,0,0,0,0,-11,1,825,32,4.10000019473955
Typical,1,1,6,0,0,0,0,-13,1,824,28,4.600000218488276
Typical,1,1,7,0,0,0,0,-8,-2,832,63,2.1000000997446477
Typical,1,1,8,0,0,0,0,-10,-3,831,63,5.200000246986747
Typical,1,1,9,0,0,0,0,-9,-2,831,58,4.600000218488276
Typical,1,1,10,0,0,0,0,-9,-4,831,69,5.200000246986747
Typical,1,1,11,0,0,0,0,-9,-3,830,63,3.6000001709908247
Typical,1,1,12,0,0,0,0,-8,0,830,52,4.600000218488276
Typical,1,1,13,0,0,0,0,-8,0,829,50,5.700000270735472
Typical,1,1,14,0,4,30,8,-8,1,829,50,5.700000270735472
Typical,1,1,15,0,20,478,74,-8,2,829,44,4.10000019473955
Typical,1,1,16,0,55,459,176,-7,5,828,40,6.200000294484198
Typical,1,1,17,0,84,644,331,-7,6,828,37,12.900000612717122
Typical,1,1,18,0,138,584,407,-8,8,826,30,11.800000560469925
Typical,1,1,19,0,177,349,348,-9,8,825,28,11.3000005367212
Typical,1,1,20,0,152,10,157,-8,8,824,28,9.300000441726297
Typical,1,1,21,0,171,4,173,-8,8,823,29,12.900000612717122
Typical,1,1,22,0,103,9,105,-9,7,823,29,12.900000612717122
Typical,1,1,23,0,50,2,50,-9,7,822,29,13.900000660214573
Typical,1,2,0,0,11,6,11,-9,7,821,29,16.500000783707947
Typical,1,2,1,0,0,0,0,-8,6,821,32,15.900000755209476
Typical,1,2,2,0,0,0,0,-8,6,821,32,13.400000636465847
Typical,1,2,3,0,0,0,0,-7,5,821,38,11.3000005367212
Typical,1,2,4,0,0,0,0,-7,5,821,38,12.400000588968396
Typical,1,2,5,0,0,0,0,-7,5,820,38,12.900000612717122
Typical,1,2,6,0,0,0,0,-8,5,820,36,13.900000660214573
Typical,1,2,7,0,0,0,0,-8,5,819,38,10.300000489223748
