Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,724885.0,-,NV,-,39.417,-118.71700000000001,0,1199,-8,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,3,193,7,-6,-1,887,69,7.60000036098063
Typical,1,1,1,0,0,0,0,-6,-1,887,66,6.800000322982669
Typical,1,1,2,0,0,0,0,-6,-1,887,66,6.200000294484198
Typical,1,1,3,0,0,0,0,-6,-1,886,69,5.400000256486237
Typical,1,1,4,0,0,0,0,-5,-1,887,72,6.300000299233943
Typical,1,1,5,0,0,0,0,-6,-1,886,69,4.2000001994892955
Typical,1,1,6,0,0,0,0,-5,-1,886,72,4.400000208988786
Typical,1,1,7,0,0,0,0,-7,-2,884,65,2.8000001329928637
Typical,1,1,8,0,0,0,0,-8,-3,883,65,2.0000000949949026
Typical,1,1,9,0,0,0,0,-7,-3,883,68,1.4000000664964318
Typical,1,1,10,0,0,0,0,-7,-3,883,71,0.6000000284984708
Typical,1,1,11,0,0,0,0,-6,-3,882,75,0.0
Typical,1,1,12,0,0,0,0,-7,-3,882,71,0.0
Typical,1,1,13,0,0,0,0,-7,-3,882,71,0.0
Typical,1,1,14,0,0,0,0,-7,-4,883,75,0.0
Typical,1,1,15,0,5,0,5,-7,-4,883,75,0.0
Typical,1,1,16,0,49,0,49,-5,-2,885,83,1.500000071246177
Typical,1,1,17,0,98,0,98,-6,-2,887,68,0.0
Typical,1,1,18,0,104,0,104,-4,0,888,73,0.0
Typical,1,1,19,0,77,0,77,-6,0,888,63,0.0
Typical,1,1,20,0,76,0,76,-5,0,887,62,2.6000001234933734
Typical,1,1,21,0,69,0,69,-7,0,888,54,1.500000071246177
Typical,1,1,22,0,82,0,82,-5,1,889,58,0.0
Typical,1,1,23,0,108,117,129,-8,0,889,49,0.0
Typical,1,2,0,0,5,35,6,-8,-1,890,57,0.0
Typical,1,2,1,0,0,0,0,-6,-1,889,65,0.0
Typical,1,2,2,0,0,0,0,-6,-1,889,69,0.0
Typical,1,2,3,0,0,0,0,-6,-1,889,69,1.0000000474974513
Typical,1,2,4,0,0,0,0,-4,-1,888,73,0.0
Typical,1,2,5,0,0,0,0,-4,0,887,73,0.0
Typical,1,2,6,0,0,0,0,-4,-1,886,78,1.500000071246177
Typical,1,2,7,0,0,0,0,-4,-1,884,77,1.0000000474974513
Typical,1,2,8,0,0,0,0,-2,0,883,82,0.0
Typical,1,2,9,0,0,0,0,-2,0,883,78,0.0
Typical,1,2,10,0,0,0,0,-2,0,882,80,0.0
Typical,1,2,11,0,0,0,0,-1,0,881,83,0.0
Typical,1,2,12,0,0,0,0,0,1,881,85,0.0
Typical,1,2,13,0,0,0,0,0,2,880,85,0.0
Typical,1,2,14,0,0,0,0,0,2,881,78,2.6000001234933734
Typical,1,2,15,0,2,0,2,0,2,882,82,3.100000147242099
Typical,1,2,16,0,41,0,41,-1,3,882,72,0.0
Typical,1,2,17,0,59,0,59,0,5,882,67,3.100000147242099
Typical,1,2,18,0,172,47,191,-1,6,882,59,0.0
Typical,1,2,19,0,77,0,77,0,8,882,53,2.6000001234933734
Typical,1,2,20,0,242,219,342,0,8,881,53,0.0
Typical,1,2,21,0,177,25,187,-1,7,880,53,2.1000000997446477
Typical,1,2,22,0,137,33,147,-1,7,880,55,2.6000001234933734
Typical,1,2,23,0,93,108,113,-1,6,880,57,2.1000000997446477
