Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725067.0,-,MA,-,41.667,-70.283,0,17,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,2,4,1015,87,6.700000318232924
Typical,1,1,1,0,0,0,0,2,4,1014,87,7.700000365730375
Typical,1,1,2,0,0,0,0,3,6,1013,81,8.700000413227826
Typical,1,1,3,0,0,0,0,1,6,1013,70,8.2000003894791
Typical,1,1,4,0,0,0,0,1,6,1012,70,9.300000441726297
Typical,1,1,5,0,0,0,0,-12,-4,1013,50,3.100000147242099
Typical,1,1,6,0,0,0,0,-12,-4,1013,50,3.6000001709908247
Typical,1,1,7,0,0,0,0,-12,-4,1013,50,3.100000147242099
Typical,1,1,8,0,0,0,0,-12,-5,1013,54,3.100000147242099
Typical,1,1,9,0,0,0,0,-12,-6,1013,59,2.1000000997446477
Typical,1,1,10,0,0,0,0,-12,-7,1013,64,1.500000071246177
Typical,1,1,11,0,0,0,0,-11,-5,1014,62,2.1000000997446477
Typical,1,1,12,0,0,0,0,-10,-4,1014,59,2.6000001234933734
Typical,1,1,13,0,76,442,162,-11,-2,1014,46,2.6000001234933734
Typical,1,1,14,0,97,536,265,-12,-1,1014,39,4.600000218488276
Typical,1,1,15,0,111,639,362,-12,1,1012,33,5.100000242237002
Typical,1,1,16,0,124,650,401,-11,2,1012,34,6.200000294484198
Typical,1,1,17,0,154,489,357,-10,2,1011,37,6.200000294484198
Typical,1,1,18,0,105,583,313,-11,2,1011,34,5.100000242237002
Typical,1,1,19,0,78,458,196,-11,2,1011,34,5.700000270735472
Typical,1,1,20,0,37,308,76,-12,1,1012,33,6.200000294484198
Typical,1,1,21,0,0,0,0,-13,-1,1013,35,5.100000242237002
Typical,1,1,22,0,0,0,0,-13,-1,1013,35,4.10000019473955
Typical,1,1,23,0,0,0,0,-13,-2,1014,38,5.700000270735472
Typical,1,2,0,0,0,0,0,-13,-2,1015,38,5.100000242237002
Typical,1,2,1,0,0,0,0,-13,-3,1015,42,3.100000147242099
Typical,1,2,2,0,0,0,0,-16,-3,1015,32,6.200000294484198
Typical,1,2,3,0,0,0,0,-16,-4,1015,34,3.6000001709908247
Typical,1,2,4,0,0,0,0,-15,-4,1016,38,3.6000001709908247
Typical,1,2,5,0,0,0,0,-14,-5,1016,45,4.600000218488276
Typical,1,2,6,0,0,0,0,-14,-5,1017,45,5.100000242237002
Typical,1,2,7,0,0,0,0,-14,-6,1016,49,4.10000019473955
Typical,1,2,8,0,0,0,0,-13,-6,1016,54,4.600000218488276
Typical,1,2,9,0,0,0,0,-13,-6,1017,54,3.6000001709908247
Typical,1,2,10,0,0,0,0,-13,-6,1017,54,2.6000001234933734
Typical,1,2,11,0,0,0,0,-12,-6,1017,59,2.1000000997446477
Typical,1,2,12,0,0,0,0,-12,-4,1018,50,3.6000001709908247
Typical,1,2,13,0,95,388,171,-11,-2,1018,46,3.100000147242099
Typical,1,2,14,0,114,480,265,-11,0,1018,39,5.700000270735472
Typical,1,2,15,0,116,640,368,-11,1,1018,36,4.10000019473955
Typical,1,2,16,0,90,783,426,-9,2,1017,40,6.200000294484198
Typical,1,2,17,0,87,775,410,-9,3,1016,37,6.200000294484198
Typical,1,2,18,0,73,730,336,-9,3,1016,37,6.700000318232924
Typical,1,2,19,0,62,613,222,-9,3,1016,37,6.700000318232924
Typical,1,2,20,0,35,391,84,-9,2,1016,40,6.200000294484198
Typical,1,2,21,0,0,0,0,-9,1,1016,43,2.1000000997446477
Typical,1,2,22,0,0,0,0,-8,0,1017,51,4.600000218488276
Typical,1,2,23,0,0,0,0,-9,-1,1017,50,4.600000218488276
