Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725070.0,-,RI,-,41.717,-71.433,0,16,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,0,3,1008,73,7.200000341981649
Typical,1,1,1,0,0,0,0,-1,3,1008,67,4.10000019473955
Typical,1,1,2,0,0,0,0,1,3,1008,86,5.700000270735472
Typical,1,1,3,0,0,0,0,1,3,1008,86,5.700000270735472
Typical,1,1,4,0,0,0,0,1,3,1007,89,6.200000294484198
Typical,1,1,5,0,0,0,0,-9,-6,1025,78,0.0
Typical,1,1,6,0,0,0,0,-10,-4,1025,63,3.100000147242099
Typical,1,1,7,0,0,0,0,-10,-4,1026,63,2.1000000997446477
Typical,1,1,8,0,0,0,0,-10,-6,1026,74,1.0000000474974513
Typical,1,1,9,0,0,0,0,-11,-5,1025,63,2.6000001234933734
Typical,1,1,10,0,0,0,0,-10,-6,1026,71,0.0
Typical,1,1,11,0,0,0,0,-10,-7,1025,77,1.0000000474974513
Typical,1,1,12,0,23,35,26,-10,-6,1025,78,0.5000000237487257
Typical,1,1,13,0,73,323,132,-8,-4,1026,72,0.5000000237487257
Typical,1,1,14,0,104,505,258,-7,-1,1026,64,0.5000000237487257
Typical,1,1,15,0,157,262,258,-6,0,1026,59,0.5000000237487257
Typical,1,1,16,0,154,315,287,-5,2,1025,57,0.5000000237487257
Typical,1,1,17,0,169,155,234,-3,2,1023,64,3.100000147242099
Typical,1,1,18,0,114,6,117,-3,2,1022,64,3.100000147242099
Typical,1,1,19,0,93,1,93,-3,2,1022,64,3.100000147242099
Typical,1,1,20,0,41,1,41,-2,2,1021,70,4.10000019473955
Typical,1,1,21,0,7,0,7,-2,2,1020,70,5.200000246986747
Typical,1,1,22,0,0,0,0,-2,1,1019,76,4.600000218488276
Typical,1,1,23,0,0,0,0,-2,1,1019,76,4.10000019473955
Typical,1,2,0,0,0,0,0,-1,2,1018,76,4.10000019473955
Typical,1,2,1,0,0,0,0,-1,1,1017,82,4.10000019473955
Typical,1,2,2,0,0,0,0,0,1,1015,92,4.10000019473955
Typical,1,2,3,0,0,0,0,0,1,1014,92,4.10000019473955
Typical,1,2,4,0,0,0,0,0,1,1012,96,5.700000270735472
Typical,1,2,5,0,0,0,0,1,1,1009,96,7.700000365730375
Typical,1,2,6,0,0,0,0,1,2,1007,96,7.700000365730375
Typical,1,2,7,0,0,0,0,2,2,1004,96,8.2000003894791
Typical,1,2,8,0,0,0,0,2,3,1001,93,9.800000465475023
Typical,1,2,9,0,0,0,0,2,3,998,96,10.300000489223748
Typical,1,2,10,0,0,0,0,2,3,996,93,10.800000512972474
Typical,1,2,11,0,0,0,0,2,3,996,89,10.300000489223748
Typical,1,2,12,0,21,2,21,0,1,994,96,11.800000560469925
Typical,1,2,13,0,40,2,41,0,1,993,92,12.900000612717122
Typical,1,2,14,0,134,2,135,0,1,992,92,12.400000588968396
Typical,1,2,15,0,171,2,172,0,1,992,92,12.400000588968396
Typical,1,2,16,0,132,1,132,0,1,991,89,11.3000005367212
Typical,1,2,17,0,118,0,118,0,2,992,85,11.3000005367212
Typical,1,2,18,0,182,1,183,0,2,992,82,10.300000489223748
Typical,1,2,19,0,118,0,118,0,2,993,82,7.200000341981649
Typical,1,2,20,0,52,0,52,0,2,995,82,5.200000246986747
Typical,1,2,21,0,8,0,8,0,0,996,96,3.100000147242099
Typical,1,2,22,0,0,0,0,0,1,996,96,3.6000001709908247
Typical,1,2,23,0,0,0,0,0,1,996,89,6.200000294484198
Typical,1,3,0,0,0,0,0,0,0,996,92,3.100000147242099
Typical,1,3,1,0,0,0,0,0,0,996,92,3.100000147242099
Typical,1,3,2,0,0,0,0,0,0,996,92,4.10000019473955
Typical,1,3,3,0,0,0,0,0,0,996,96,3.100000147242099
Typical,1,3,4,0,0,0,0,0,0,996,96,3.100000147242099
Typical,1,3,5,0,0,0,0,0,0,996,96,2.6000001234933734
Typical,1,3,6,0,0,0,0,0,0,996,96,4.10000019473955
Typical,1,3,7,0,0,0,0,-1,0,997,96,5.200000246986747
Typical,1,3,8,0,0,0,0,-2,-1,996,92,4.10000019473955
Typical,1,3,9,0,0,0,0,-2,-1,997,92,4.600000218488276
Typical,1,3,10,0,0,0,0,-3,-1,998,85,6.700000318232924
Typical,1,3,11,0,0,0,0,-4,-1,999,82,6.700000318232924
Typical,1,3,12,0,12,2,13,-5,-2,1000,78,6.200000294484198
Typical,1,3,13,0,59,4,60,-7,-2,1002,72,6.700000318232924
Typical,1,3,14,0,88,525,249,-8,-3,1003,69,6.200000294484198
Typical,1,3,15,0,191,73,219,-7,-2,1003,69,8.2000003894791
Typical,1,3,16,0,145,298,272,-7,-1,1003,64,6.700000318232924
Typical,1,3,17,0,164,169,235,-7,-1,1003,61,8.2000003894791
Typical,1,3,18,0,128,536,323,-7,-1,1004,61,10.300000489223748
Typical,1,3,19,0,66,554,214,-7,0,1006,59,7.200000341981649
Typical,1,3,20,0,40,358,89,-8,-1,1007,58,7.700000365730375
Typical,1,3,21,0,9,29,11,-8,-1,1009,58,6.200000294484198
Typical,1,3,22,0,0,0,0,-8,-1,1011,58,8.2000003894791
Typical,1,3,23,0,0,0,0,-8,-2,1011,61,6.200000294484198
Typical,1,4,0,0,0,0,0,-8,-2,1012,63,5.200000246986747
Typical,1,4,1,0,0,0,0,-9,-3,1013,63,6.200000294484198
Typical,1,4,2,0,0,0,0,-10,-3,1014,63,5.200000246986747
Typical,1,4,3,0,0,0,0,-10,-4,1015,66,4.600000218488276
Typical,1,4,4,0,0,0,0,-10,-4,1015,66,5.200000246986747
Typical,1,4,5,0,0,0,0,-10,-4,1015,66,5.700000270735472
Typical,1,4,6,0,0,0,0,-10,-5,1016,68,4.600000218488276
Typical,1,4,7,0,0,0,0,-10,-5,1016,71,3.6000001709908247
