Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725087.0,-,CT,-,41.733000000000004,-72.65,0,6,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-13,-9,1012,70,5.100000242237002
Typical,1,1,1,0,0,0,0,-15,-11,1012,70,5.100000242237002
Typical,1,1,2,0,0,0,0,-18,-11,1012,53,6.200000294484198
Typical,1,1,3,0,0,0,0,-20,-12,1012,48,6.200000294484198
Typical,1,1,4,0,0,0,0,-20,-13,1012,52,6.200000294484198
Typical,1,1,5,0,0,0,0,4,8,1020,76,4.10000019473955
Typical,1,1,6,0,0,0,0,4,7,1019,81,4.600000218488276
Typical,1,1,7,0,0,0,0,3,7,1019,76,3.100000147242099
Typical,1,1,8,0,0,0,0,3,6,1019,81,4.10000019473955
Typical,1,1,9,0,0,0,0,4,6,1019,87,1.500000071246177
Typical,1,1,10,0,0,0,0,3,5,1019,87,3.6000001709908247
Typical,1,1,11,0,0,0,0,3,5,1019,87,3.6000001709908247
Typical,1,1,12,0,3,135,6,4,6,1021,87,4.10000019473955
Typical,1,1,13,0,68,454,147,4,8,1022,76,0.0
Typical,1,1,14,0,81,658,276,5,10,1023,71,2.1000000997446477
Typical,1,1,15,0,94,708,365,1,11,1024,50,6.700000318232924
Typical,1,1,16,0,94,760,416,0,11,1024,47,6.200000294484198
Typical,1,1,17,0,86,765,407,-2,11,1024,39,8.2000003894791
Typical,1,1,18,0,80,732,350,-3,9,1025,41,7.200000341981649
Typical,1,1,19,0,70,622,241,-3,8,1026,44,6.200000294484198
Typical,1,1,20,0,43,408,103,-3,7,1028,48,5.100000242237002
Typical,1,1,21,0,0,0,0,-3,6,1029,51,4.600000218488276
Typical,1,1,22,0,0,0,0,-3,5,1031,55,5.100000242237002
Typical,1,1,23,0,0,0,0,-3,4,1032,59,3.6000001709908247
Typical,1,2,0,0,0,0,0,-3,4,1032,59,2.1000000997446477
Typical,1,2,1,0,0,0,0,-3,4,1033,59,3.6000001709908247
Typical,1,2,2,0,0,0,0,-3,3,1034,63,2.6000001234933734
Typical,1,2,3,0,0,0,0,-3,2,1034,67,2.1000000997446477
Typical,1,2,4,0,0,0,0,-4,0,1035,72,0.0
Typical,1,2,5,0,0,0,0,-3,-1,1035,85,0.0
Typical,1,2,6,0,0,0,0,-4,-1,1035,78,2.1000000997446477
Typical,1,2,7,0,0,0,0,-4,-1,1036,78,4.10000019473955
Typical,1,2,8,0,0,0,0,-6,0,1036,60,3.100000147242099
Typical,1,2,9,0,0,0,0,-8,-1,1037,55,3.100000147242099
Typical,1,2,10,0,0,0,0,-9,-2,1038,55,2.1000000997446477
Typical,1,2,11,0,0,0,0,-9,-2,1039,55,3.100000147242099
Typical,1,2,12,0,3,135,6,-9,-2,1039,55,3.100000147242099
Typical,1,2,13,0,68,454,147,-9,-1,1040,50,3.6000001709908247
Typical,1,2,14,0,81,658,276,-9,1,1040,43,0.0
Typical,1,2,15,0,91,733,371,-8,2,1039,44,0.0
Typical,1,2,16,0,93,760,416,-7,3,1038,45,2.1000000997446477
Typical,1,2,17,0,136,657,413,-4,4,1037,54,5.700000270735472
Typical,1,2,18,0,172,266,271,-3,4,1036,59,5.100000242237002
Typical,1,2,19,0,89,0,89,-3,4,1035,59,4.600000218488276
Typical,1,2,20,0,66,191,95,-2,4,1035,64,4.600000218488276
Typical,1,2,21,0,0,0,0,-2,4,1034,64,4.10000019473955
Typical,1,2,22,0,0,0,0,-2,4,1033,64,3.6000001709908247
Typical,1,2,23,0,0,0,0,-1,4,1032,69,3.100000147242099
Typical,1,3,0,0,0,0,0,-1,4,1032,69,2.1000000997446477
Typical,1,3,1,0,0,0,0,1,4,1031,81,3.100000147242099
Typical,1,3,2,0,0,0,0,2,5,1030,81,2.1000000997446477
Typical,1,3,3,0,0,0,0,2,5,1030,81,2.1000000997446477
Typical,1,3,4,0,0,0,0,4,6,1028,87,3.6000001709908247
Typical,1,3,5,0,0,0,0,4,7,1028,81,0.0
Typical,1,3,6,0,0,0,0,5,7,1027,87,3.6000001709908247
