Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725150.0,-,NY,-,42.2,-75.983,0,488,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,1,2,964,92,6.700000318232924
Typical,1,1,1,0,0,0,0,1,3,963,89,6.700000318232924
Typical,1,1,2,0,0,0,0,2,3,961,89,6.700000318232924
Typical,1,1,3,0,0,0,0,2,4,960,89,6.700000318232924
Typical,1,1,4,0,0,0,0,3,5,959,89,7.200000341981649
Typical,1,1,5,0,0,0,0,-5,0,949,72,5.700000270735472
Typical,1,1,6,0,0,0,0,-6,0,950,64,6.200000294484198
Typical,1,1,7,0,0,0,0,-6,-1,951,69,7.200000341981649
Typical,1,1,8,0,0,0,0,-7,-2,952,66,6.200000294484198
Typical,1,1,9,0,0,0,0,-8,-2,952,66,6.200000294484198
Typical,1,1,10,0,0,0,0,-8,-3,953,66,5.700000270735472
Typical,1,1,11,0,0,0,0,-7,-4,954,81,6.200000294484198
Typical,1,1,12,0,1,0,1,-8,-4,955,75,5.200000246986747
Typical,1,1,13,0,42,5,43,-9,-4,956,69,7.700000365730375
Typical,1,1,14,0,120,97,146,-12,-4,957,53,8.800000417977571
Typical,1,1,15,0,145,397,288,-12,-4,958,53,8.800000417977571
Typical,1,1,16,0,182,8,185,-10,-4,957,63,6.200000294484198
Typical,1,1,17,0,139,589,384,-10,-4,957,63,7.200000341981649
Typical,1,1,18,0,106,622,339,-13,-3,957,48,6.700000318232924
Typical,1,1,19,0,76,584,245,-13,-3,957,48,4.10000019473955
Typical,1,1,20,0,52,368,114,-13,-3,957,48,5.200000246986747
Typical,1,1,21,0,16,31,19,-13,-5,958,55,3.6000001709908247
Typical,1,1,22,0,0,0,0,-13,-6,958,55,2.6000001234933734
Typical,1,1,23,0,0,0,0,-14,-5,958,50,3.6000001709908247
Typical,1,2,0,0,0,0,0,-14,-6,958,52,3.6000001709908247
Typical,1,2,1,0,0,0,0,-13,-6,958,55,4.10000019473955
Typical,1,2,2,0,0,0,0,-13,-6,958,57,5.200000246986747
Typical,1,2,3,0,0,0,0,-12,-5,959,57,4.10000019473955
Typical,1,2,4,0,0,0,0,-13,-5,959,52,4.10000019473955
Typical,1,2,5,0,0,0,0,-13,-5,959,53,3.100000147242099
Typical,1,2,6,0,0,0,0,-13,-5,959,53,3.6000001709908247
Typical,1,2,7,0,0,0,0,-13,-5,960,50,4.10000019473955
Typical,1,2,8,0,0,0,0,-12,-4,960,53,4.10000019473955
Typical,1,2,9,0,0,0,0,-12,-5,960,57,3.6000001709908247
Typical,1,2,10,0,0,0,0,-11,-5,960,60,4.600000218488276
Typical,1,2,11,0,0,0,0,-11,-4,960,60,4.600000218488276
Typical,1,2,12,0,14,2,14,-11,-3,960,58,4.600000218488276
Typical,1,2,13,0,48,10,50,-10,-3,961,60,4.600000218488276
Typical,1,2,14,0,95,3,95,-9,-2,962,61,5.200000246986747
Typical,1,2,15,0,159,3,160,-8,-1,962,58,3.6000001709908247
Typical,1,2,16,0,184,9,187,-9,0,961,52,4.10000019473955
Typical,1,2,17,0,262,5,264,-9,0,960,50,3.6000001709908247
Typical,1,2,18,0,233,4,234,-8,1,960,48,3.6000001709908247
Typical,1,2,19,0,150,1,150,-7,2,960,48,4.10000019473955
Typical,1,2,20,0,91,0,91,-8,2,960,46,6.200000294484198
Typical,1,2,21,0,20,1,20,-7,2,960,48,6.700000318232924
Typical,1,2,22,0,0,0,0,-7,2,959,48,6.200000294484198
Typical,1,2,23,0,0,0,0,-7,2,960,50,5.200000246986747
Typical,1,3,0,0,0,0,0,-7,2,959,50,4.10000019473955
Typical,1,3,1,0,0,0,0,-7,1,958,52,4.600000218488276
Typical,1,3,2,0,0,0,0,-7,1,958,54,2.6000001234933734
Typical,1,3,3,0,0,0,0,-7,1,958,54,4.10000019473955
Typical,1,3,4,0,0,0,0,-7,1,957,52,4.10000019473955
Typical,1,3,5,0,0,0,0,-7,0,956,56,5.200000246986747
Typical,1,3,6,0,0,0,0,-7,0,955,54,4.600000218488276
Typical,1,3,7,0,0,0,0,-8,1,954,50,4.600000218488276
Typical,1,3,8,0,0,0,0,-8,1,952,48,5.700000270735472
Typical,1,3,9,0,0,0,0,-8,1,951,50,5.200000246986747
