Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725240.0,-,OH,-,41.4,-81.85,0,235,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,0,3,978,76,9.300000441726297
Typical,1,1,1,0,0,0,0,0,3,977,82,10.300000489223748
Typical,1,1,2,0,0,0,0,1,3,977,82,9.300000441726297
Typical,1,1,3,0,0,0,0,1,4,976,82,10.800000512972474
Typical,1,1,4,0,0,0,0,1,5,976,79,8.2000003894791
Typical,1,1,5,0,0,0,0,-1,0,986,92,0.0
Typical,1,1,6,0,0,0,0,-1,0,985,92,2.6000001234933734
Typical,1,1,7,0,0,0,0,-1,0,985,92,2.6000001234933734
Typical,1,1,8,0,0,0,0,-2,0,985,89,2.6000001234933734
Typical,1,1,9,0,0,0,0,-2,0,985,89,2.6000001234933734
Typical,1,1,10,0,0,0,0,-2,0,985,89,2.6000001234933734
Typical,1,1,11,0,0,0,0,-2,-1,985,92,2.6000001234933734
Typical,1,1,12,0,2,0,2,-2,-1,985,92,2.1000000997446477
Typical,1,1,13,0,29,0,29,-2,0,985,89,1.500000071246177
Typical,1,1,14,0,95,0,95,-2,0,985,89,1.500000071246177
Typical,1,1,15,0,144,1,144,-2,0,985,85,0.0
Typical,1,1,16,0,175,1,175,-2,0,985,85,0.0
Typical,1,1,17,0,192,1,193,-2,0,984,82,2.6000001234933734
Typical,1,1,18,0,171,1,172,-1,0,984,85,3.100000147242099
Typical,1,1,19,0,143,1,144,-1,0,984,89,4.600000218488276
Typical,1,1,20,0,87,0,87,-1,0,984,92,3.100000147242099
Typical,1,1,21,0,28,0,28,-2,0,984,89,3.6000001709908247
Typical,1,1,22,0,1,0,1,-3,0,985,82,4.600000218488276
Typical,1,1,23,0,0,0,0,-3,-1,985,85,3.6000001709908247
Typical,1,2,0,0,0,0,0,-3,-1,985,82,4.600000218488276
Typical,1,2,1,0,0,0,0,-3,-1,985,85,4.10000019473955
Typical,1,2,2,0,0,0,0,-4,-1,985,82,4.10000019473955
Typical,1,2,3,0,0,0,0,-4,-1,986,82,4.10000019473955
Typical,1,2,4,0,0,0,0,-5,-2,986,82,5.200000246986747
Typical,1,2,5,0,0,0,0,-5,-2,986,78,3.100000147242099
Typical,1,2,6,0,0,0,0,-4,-2,986,85,3.6000001709908247
