Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725266.0,-,PA,-,41.8,-78.633,0,645,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-8,-3,945,75,3.100000147242099
Typical,1,1,1,0,0,0,0,-8,-4,944,74,2.6000001234933734
Typical,1,1,2,0,0,0,0,-8,-5,944,74,2.1000000997446477
Typical,1,1,3,0,0,0,0,-10,-5,943,75,2.300000109244138
Typical,1,1,4,0,0,0,0,-10,-6,943,76,2.400000113993883
Typical,1,1,5,0,0,0,0,-8,-6,936,84,1.500000071246177
Typical,1,1,6,0,0,0,0,-9,-7,936,85,1.0000000474974513
Typical,1,1,7,0,0,0,0,-9,-7,936,87,0.5000000237487257
Typical,1,1,8,0,0,0,0,-10,-8,936,88,0.0
Typical,1,1,9,0,0,0,0,-10,-8,936,87,0.0
Typical,1,1,10,0,0,0,0,-10,-8,935,85,0.0
Typical,1,1,11,0,0,0,0,-11,-8,935,84,0.0
Typical,1,1,12,0,4,11,5,-10,-7,935,82,0.0
Typical,1,1,13,0,36,193,59,-8,-5,936,80,0.0
Typical,1,1,14,0,75,437,185,-7,-4,936,78,0.0
Typical,1,1,15,0,101,479,269,-7,-2,935,69,0.9000000427477062
Typical,1,1,16,0,138,525,353,-6,0,935,59,1.7000000807456672
Typical,1,1,17,0,111,506,326,-6,2,934,50,2.6000001234933734
Typical,1,1,18,0,142,349,279,-6,2,934,49,2.6000001234933734
Typical,1,1,19,0,97,198,160,-6,2,934,49,2.6000001234933734
Typical,1,1,20,0,74,66,87,-7,2,934,48,2.6000001234933734
Typical,1,1,21,0,25,22,26,-6,1,934,53,2.400000113993883
Typical,1,1,22,0,0,0,0,-7,0,934,59,2.300000109244138
Typical,1,1,23,0,0,0,0,-7,-1,934,64,2.1000000997446477
Typical,1,2,0,0,0,0,0,-6,-2,934,72,2.400000113993883
Typical,1,2,1,0,0,0,0,-6,-3,934,80,2.8000001329928637
Typical,1,2,2,0,0,0,0,-5,-3,934,88,3.100000147242099
Typical,1,2,3,0,0,0,0,-5,-3,934,88,2.900000137742609
Typical,1,2,4,0,0,0,0,-5,-3,934,88,2.8000001329928637
Typical,1,2,5,0,0,0,0,-5,-3,934,88,2.6000001234933734
Typical,1,2,6,0,0,0,0,-5,-3,935,87,2.900000137742609
Typical,1,2,7,0,0,0,0,-5,-3,935,86,3.3000001567415893
Typical,1,2,8,0,0,0,0,-6,-3,935,85,3.6000001709908247
Typical,1,2,9,0,0,0,0,-5,-3,935,86,3.90000018524006
Typical,1,2,10,0,0,0,0,-5,-3,936,87,4.300000204239041
Typical,1,2,11,0,0,0,0,-5,-3,936,88,4.600000218488276
Typical,1,2,12,0,3,0,3,-5,-3,936,87,4.300000204239041
Typical,1,2,13,0,48,0,48,-5,-3,937,86,3.90000018524006
Typical,1,2,14,0,87,17,92,-6,-3,937,85,3.6000001709908247
Typical,1,2,15,0,129,5,131,-5,-3,937,85,3.4000001614913344
Typical,1,2,16,0,150,9,154,-5,-3,936,85,3.3000001567415893
Typical,1,2,17,0,188,8,191,-6,-3,936,85,3.100000147242099
Typical,1,2,18,0,156,1,157,-6,-3,937,83,2.900000137742609
Typical,1,2,19,0,152,5,153,-6,-3,937,80,2.8000001329928637
Typical,1,2,20,0,84,1,84,-7,-3,937,78,2.6000001234933734
Typical,1,2,21,0,26,0,26,-6,-4,938,80,2.6000001234933734
Typical,1,2,22,0,0,0,0,-6,-4,938,83,2.6000001234933734
Typical,1,2,23,0,0,0,0,-6,-4,938,85,2.6000001234933734
Typical,1,3,0,0,0,0,0,-6,-4,939,85,2.6000001234933734
Typical,1,3,1,0,0,0,0,-6,-4,939,85,2.6000001234933734
Typical,1,3,2,0,0,0,0,-6,-4,939,85,2.6000001234933734
Typical,1,3,3,0,0,0,0,-6,-4,939,86,2.6000001234933734
Typical,1,3,4,0,0,0,0,-6,-4,939,87,2.6000001234933734
Typical,1,3,5,0,0,0,0,-6,-5,939,88,2.6000001234933734
Typical,1,3,6,0,0,0,0,-6,-4,939,87,2.6000001234933734
Typical,1,3,7,0,0,0,0,-6,-4,939,86,2.6000001234933734
Typical,1,3,8,0,0,0,0,-6,-4,939,85,2.6000001234933734
Typical,1,3,9,0,0,0,0,-6,-4,940,84,2.8000001329928637
Typical,1,3,10,0,0,0,0,-6,-4,941,82,2.900000137742609
Typical,1,3,11,0,0,0,0,-7,-4,941,81,3.100000147242099
