Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725326.0,-,IL,-,41.75,-89.667,0,197,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-1,1,990,86,2.6000001234933734
Typical,1,1,1,0,0,0,0,-1,1,990,86,2.1000000997446477
Typical,1,1,2,0,0,0,0,0,2,990,87,1.500000071246177
Typical,1,1,3,0,0,0,0,1,2,990,93,2.6000001234933734
Typical,1,1,4,0,0,0,0,1,2,990,93,1.500000071246177
Typical,1,1,5,0,0,0,0,1,2,990,93,1.500000071246177
Typical,1,1,6,0,0,0,0,-2,2,990,65,4.600000218488276
Typical,1,1,7,0,0,0,0,-2,2,990,65,4.600000218488276
Typical,1,1,8,0,0,0,0,-2,2,990,68,4.600000218488276
Typical,1,1,9,0,0,0,0,-2,2,990,65,4.600000218488276
Typical,1,1,10,0,0,0,0,-2,2,990,68,3.6000001709908247
Typical,1,1,11,0,0,0,0,-2,2,990,68,4.10000019473955
Typical,1,1,12,0,0,0,0,-2,2,990,68,4.600000218488276
Typical,1,1,13,0,4,0,4,-2,2,990,71,8.2000003894791
Typical,1,1,14,0,31,0,31,-2,1,990,73,6.100000289734453
Typical,1,1,15,0,47,0,47,-1,0,990,87,5.600000265985727
Typical,1,1,16,0,98,0,98,0,0,990,92,6.100000289734453
Typical,1,1,17,0,155,43,173,-1,0,990,87,5.600000265985727
Typical,1,1,18,0,97,0,97,0,1,990,85,5.600000265985727
Typical,1,1,19,0,138,113,181,-1,1,990,84,8.2000003894791
Typical,1,1,20,0,122,42,134,-1,1,990,80,6.600000313483179
Typical,1,1,21,0,34,0,34,-2,0,990,76,5.100000242237002
Typical,1,1,22,0,5,0,5,-3,0,990,75,3.6000001709908247
Typical,1,1,23,0,0,0,0,-3,0,990,72,4.10000019473955
Typical,1,2,0,0,0,0,0,-4,0,990,69,3.000000142492354
Typical,1,2,1,0,0,0,0,-5,0,990,69,2.5000001187436283
Typical,1,2,2,0,0,0,0,-5,0,990,69,1.500000071246177
Typical,1,2,3,0,0,0,0,-4,-1,990,76,2.5000001187436283
Typical,1,2,4,0,0,0,0,-4,-1,990,76,0.0
Typical,1,2,5,0,0,0,0,-4,-1,990,76,1.500000071246177
Typical,1,2,6,0,0,0,0,-5,-1,990,73,2.0000000949949026
Typical,1,2,7,0,0,0,0,-4,-1,990,79,0.0
Typical,1,2,8,0,0,0,0,-4,-1,990,79,2.0000000949949026
Typical,1,2,9,0,0,0,0,-4,-1,990,79,0.0
Typical,1,2,10,0,0,0,0,-5,-1,990,76,1.500000071246177
Typical,1,2,11,0,0,0,0,-5,-1,990,76,0.0
Typical,1,2,12,0,0,0,0,-5,-1,990,76,2.0000000949949026
Typical,1,2,13,0,5,0,5,-3,-1,990,83,3.000000142492354
Typical,1,2,14,0,52,222,86,-3,-1,990,87,4.10000019473955
Typical,1,2,15,0,81,415,198,-2,-1,990,91,3.6000001709908247
Typical,1,2,16,0,114,519,307,-3,-1,990,83,4.10000019473955
Typical,1,2,17,0,184,11,189,-2,-1,990,87,4.10000019473955
Typical,1,2,18,0,178,68,207,-2,0,990,83,3.6000001709908247
Typical,1,2,19,0,129,389,276,-2,0,990,87,4.10000019473955
Typical,1,2,20,0,104,313,196,-2,0,990,87,4.10000019473955
Typical,1,2,21,0,59,222,96,-2,0,990,83,4.600000218488276
Typical,1,2,22,0,8,7,8,-2,-1,990,87,4.10000019473955
Typical,1,2,23,0,0,0,0,-2,-1,990,91,5.100000242237002
Typical,1,3,0,0,0,0,0,-2,-1,990,91,3.6000001709908247
Typical,1,3,1,0,0,0,0,-2,-1,990,91,4.600000218488276
Typical,1,3,2,0,0,0,0,-3,-1,990,87,5.100000242237002
Typical,1,3,3,0,0,0,0,-3,-2,990,91,4.600000218488276
Typical,1,3,4,0,0,0,0,-3,-2,990,91,5.100000242237002
Typical,1,3,5,0,0,0,0,-4,-2,990,87,5.600000265985727
Typical,1,3,6,0,0,0,0,-4,-2,990,87,5.600000265985727
Typical,1,3,7,0,0,0,0,-4,-2,990,87,4.600000218488276
Typical,1,3,8,0,0,0,0,-5,-2,990,83,3.6000001709908247
Typical,1,3,9,0,0,0,0,-5,-3,990,87,3.6000001709908247
Typical,1,3,10,0,0,0,0,-4,-3,990,91,2.5000001187436283
Typical,1,3,11,0,0,0,0,-5,-3,990,83,3.000000142492354
Typical,1,3,12,0,0,0,0,-6,-3,990,82,3.6000001709908247
Typical,1,3,13,0,4,0,4,-6,-4,990,86,2.5000001187436283
Typical,1,3,14,0,66,52,74,-5,-3,990,83,2.5000001187436283
Typical,1,3,15,0,57,563,216,-6,-3,990,79,2.5000001187436283
Typical,1,3,16,0,73,0,73,-5,-3,990,87,3.6000001709908247
Typical,1,3,17,0,102,0,102,-4,-2,990,83,2.0000000949949026
Typical,1,3,18,0,103,0,103,-5,-2,990,76,3.000000142492354
Typical,1,3,19,0,90,0,90,-5,-2,990,76,2.5000001187436283
Typical,1,3,20,0,65,0,65,-5,-2,990,76,3.000000142492354
Typical,1,3,21,0,39,0,39,-6,-2,990,75,4.10000019473955
Typical,1,3,22,0,6,0,6,-5,-3,990,83,4.10000019473955
Typical,1,3,23,0,0,0,0,-6,-3,990,79,3.6000001709908247
Typical,1,4,0,0,0,0,0,-6,-3,990,79,2.5000001187436283
Typical,1,4,1,0,0,0,0,-6,-3,990,75,4.10000019473955
Typical,1,4,2,0,0,0,0,-7,-3,990,72,3.6000001709908247
Typical,1,4,3,0,0,0,0,-6,-3,990,79,3.6000001709908247
Typical,1,4,4,0,0,0,0,-5,-3,990,83,4.10000019473955
Typical,1,4,5,0,0,0,0,-6,-3,990,82,4.600000218488276
Typical,1,4,6,0,0,0,0,-6,-3,990,82,4.600000218488276
Typical,1,4,7,0,0,0,0,-7,-3,990,75,4.600000218488276
Typical,1,4,8,0,0,0,0,-7,-3,990,75,4.10000019473955
Typical,1,4,9,0,0,0,0,-7,-3,990,71,5.100000242237002
Typical,1,4,10,0,0,0,0,-7,-4,990,75,6.100000289734453
Typical,1,4,11,0,0,0,0,-8,-5,990,71,5.600000265985727
Typical,1,4,12,0,0,0,0,-10,-7,990,78,5.100000242237002
Typical,1,4,13,0,7,16,8,-11,-8,990,78,4.600000218488276
Typical,1,4,14,0,52,268,94,-10,-7,990,78,4.10000019473955
Typical,1,4,15,0,53,0,53,-8,-5,990,78,5.600000265985727
Typical,1,4,16,0,87,58,109,-7,-5,990,83,5.600000265985727
Typical,1,4,17,0,93,0,93,-7,-5,990,79,5.600000265985727
Typical,1,4,18,0,112,0,112,-7,-3,990,71,6.600000313483179
Typical,1,4,19,0,97,0,97,-8,-3,990,68,7.200000341981649
Typical,1,4,20,0,68,0,68,-7,-4,990,75,7.700000365730375
Typical,1,4,21,0,35,0,35,-7,-5,990,79,7.700000365730375
Typical,1,4,22,0,7,0,7,-8,-5,990,75,7.200000341981649
