Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725335.0,-,IN,-,40.65,-86.15,0,253,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-12,-9,991,77,4.10000019473955
Typical,1,1,1,0,0,0,0,-12,-11,991,91,4.10000019473955
Typical,1,1,2,0,0,0,0,-12,-10,991,84,4.10000019473955
Typical,1,1,3,0,0,0,0,-12,-11,991,91,3.6000001709908247
Typical,1,1,4,0,0,0,0,-12,-11,991,88,3.5000001662410796
Typical,1,1,5,0,0,0,0,3,4,995,89,6.600000313483179
Typical,1,1,6,0,0,0,0,3,4,995,91,7.000000332482159
Typical,1,1,7,0,0,0,0,3,4,996,90,7.200000341981649
Typical,1,1,8,0,0,0,0,3,5,996,91,7.500000356230885
Typical,1,1,9,0,0,0,0,3,5,997,92,7.700000365730375
Typical,1,1,10,0,0,0,0,4,5,997,93,8.00000037997961
Typical,1,1,11,0,0,0,0,4,5,997,96,8.2000003894791
Typical,1,1,12,0,0,0,0,4,5,998,94,8.2000003894791
Typical,1,1,13,0,16,125,24,5,5,999,98,9.300000441726297
Typical,1,1,14,0,50,419,133,5,5,999,95,7.700000365730375
Typical,1,1,15,0,78,640,283,5,5,1000,97,7.200000341981649
Typical,1,1,16,0,80,688,357,6,6,999,97,9.800000465475023
Typical,1,1,17,0,150,591,410,6,7,999,95,8.2000003894791
Typical,1,1,18,0,103,691,401,7,7,998,96,10.800000512972474
Typical,1,1,19,0,200,56,222,8,8,997,100,8.700000413227826
Typical,1,1,20,0,90,7,93,8,8,997,100,8.2000003894791
Typical,1,1,21,0,32,34,37,8,8,997,100,7.200000341981649
Typical,1,1,22,0,3,3,3,8,8,997,100,7.700000365730375
Typical,1,1,23,0,0,0,0,8,8,997,100,8.2000003894791
Typical,1,2,0,0,0,0,0,8,8,997,100,4.600000218488276
Typical,1,2,1,0,0,0,0,9,9,997,100,4.900000232737511
Typical,1,2,2,0,0,0,0,9,9,996,99,5.100000242237002
Typical,1,2,3,0,0,0,0,9,9,996,99,7.700000365730375
Typical,1,2,4,0,0,0,0,9,9,996,97,7.500000356230885
Typical,1,2,5,0,0,0,0,9,9,995,95,7.200000341981649
Typical,1,2,6,0,0,0,0,9,9,995,95,7.000000332482159
Typical,1,2,7,0,0,0,0,9,10,995,94,6.700000318232924
Typical,1,2,8,0,0,0,0,9,10,995,92,6.5000003087334335
Typical,1,2,9,0,0,0,0,9,10,994,93,6.200000294484198
Typical,1,2,10,0,0,0,0,9,10,994,92,6.000000284984708
Typical,1,2,11,0,0,0,0,10,11,994,94,5.700000270735472
Typical,1,2,12,0,0,0,0,10,11,993,94,7.700000365730375
Typical,1,2,13,0,15,225,30,10,11,994,94,4.600000218488276
Typical,1,2,14,0,54,461,146,10,11,994,94,5.700000270735472
Typical,1,2,15,0,58,658,269,10,11,995,94,5.100000242237002
Typical,1,2,16,0,88,585,324,11,12,994,94,7.200000341981649
