Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725497.0,-,IA,-,41.266999999999996,-95.76700000000001,0,382,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,0,8,968,59,4.600000218488276
Typical,1,1,1,0,0,0,0,0,7,968,61,4.10000019473955
Typical,1,1,2,0,0,0,0,0,6,968,61,3.6000001709908247
Typical,1,1,3,0,0,0,0,0,6,968,63,3.100000147242099
Typical,1,1,4,0,0,0,0,0,5,968,64,2.6000001234933734
Typical,1,1,5,0,0,0,0,-1,5,968,64,2.1000000997446477
Typical,1,1,6,0,0,0,0,-2,3,968,68,5.700000270735472
Typical,1,1,7,0,0,0,0,-2,3,968,68,7.200000341981649
Typical,1,1,8,0,0,0,0,-2,3,968,68,5.700000270735472
Typical,1,1,9,0,0,0,0,-2,3,968,68,6.200000294484198
Typical,1,1,10,0,0,0,0,-2,3,968,68,7.700000365730375
Typical,1,1,11,0,0,0,0,-2,3,968,68,8.2000003894791
Typical,1,1,12,0,0,0,0,-2,3,968,67,7.40000035148114
Typical,1,1,13,0,0,0,0,-2,3,968,65,6.5000003087334335
Typical,1,1,14,0,60,83,68,-2,4,968,64,5.700000270735472
Typical,1,1,15,0,60,685,224,-2,4,968,64,5.700000270735472
Typical,1,1,16,0,69,790,344,-1,7,968,56,7.700000365730375
Typical,1,1,17,0,76,843,425,-1,7,968,56,5.700000270735472
Typical,1,1,18,0,77,847,445,0,9,968,53,5.700000270735472
Typical,1,1,19,0,72,844,417,0,9,968,55,4.900000232737511
Typical,1,1,20,0,63,790,330,1,9,968,57,4.10000019473955
Typical,1,1,21,0,53,665,203,1,9,968,57,4.10000019473955
Typical,1,1,22,0,19,351,48,1,7,968,66,3.100000147242099
Typical,1,1,23,0,0,0,0,1,6,968,70,2.6000001234933734
Typical,1,2,0,0,0,0,0,-1,4,968,69,2.6000001234933734
Typical,1,2,1,0,0,0,0,0,4,968,72,3.6000001709908247
Typical,1,2,2,0,0,0,0,0,4,968,75,4.600000218488276
Typical,1,2,3,0,0,0,0,0,4,968,73,4.600000218488276
Typical,1,2,4,0,0,0,0,0,5,968,70,4.600000218488276
Typical,1,2,5,0,0,0,0,0,4,968,75,4.10000019473955
Typical,1,2,6,0,0,0,0,0,5,968,70,4.600000218488276
Typical,1,2,7,0,0,0,0,0,4,968,72,5.100000242237002
Typical,1,2,8,0,0,0,0,0,4,968,73,5.600000265985727
Typical,1,2,9,0,0,0,0,0,4,968,74,6.200000294484198
Typical,1,2,10,0,0,0,0,1,5,968,75,6.700000318232924
Typical,1,2,11,0,0,0,0,2,6,968,75,5.100000242237002
Typical,1,2,12,0,0,0,0,2,7,968,70,5.700000270735472
Typical,1,2,13,0,0,0,0,3,7,968,76,5.100000242237002
Typical,1,2,14,0,14,0,14,4,8,968,76,5.700000270735472
Typical,1,2,15,0,67,0,67,4,9,968,73,7.000000332482159
Typical,1,2,16,0,153,358,278,6,11,968,71,8.2000003894791
Typical,1,2,17,0,154,443,338,6,12,968,67,5.700000270735472
Typical,1,2,18,0,210,222,307,6,12,968,66,4.900000232737511
Typical,1,2,19,0,189,89,226,7,13,968,67,4.10000019473955
Typical,1,2,20,0,146,316,253,7,13,968,67,5.700000270735472
Typical,1,2,21,0,77,378,164,6,13,968,66,5.400000256486237
Typical,1,2,22,0,25,90,33,6,12,968,67,5.100000242237002
Typical,1,2,23,0,0,0,0,6,12,968,67,5.100000242237002
Typical,1,3,0,0,0,0,0,6,12,968,69,5.100000242237002
Typical,1,3,1,0,0,0,0,6,12,968,70,5.100000242237002
Typical,1,3,2,0,0,0,0,7,12,968,71,5.100000242237002
Typical,1,3,3,0,0,0,0,6,10,968,76,2.6000001234933734
Typical,1,3,4,0,0,0,0,6,11,968,71,4.10000019473955
Typical,1,3,5,0,0,0,0,7,11,968,76,3.6000001709908247
Typical,1,3,6,0,0,0,0,6,11,968,71,6.200000294484198
Typical,1,3,7,0,0,0,0,6,10,968,76,2.6000001234933734
Typical,1,3,8,0,0,0,0,4,8,968,76,0.0
Typical,1,3,9,0,0,0,0,0,3,968,76,4.10000019473955
Typical,1,3,10,0,0,0,0,-4,0,968,72,8.2000003894791
Typical,1,3,11,0,0,0,0,-6,-2,968,71,7.700000365730375
Typical,1,3,12,0,0,0,0,-7,-3,968,71,6.700000318232924
Typical,1,3,13,0,0,0,0,-8,-4,968,71,10.300000489223748
Typical,1,3,14,0,41,0,41,-10,-5,968,65,7.700000365730375
Typical,1,3,15,0,131,420,232,-10,-5,968,62,8.00000037997961
Typical,1,3,16,0,156,197,225,-11,-5,968,59,8.2000003894791
Typical,1,3,17,0,154,6,156,-11,-4,968,56,8.800000417977571
Typical,1,3,18,0,166,6,169,-11,-4,968,54,9.300000441726297
Typical,1,3,19,0,194,36,209,-12,-4,968,50,10.300000489223748
Typical,1,3,20,0,141,23,149,-13,-5,968,49,9.800000465475023
