Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725530.0,-,NE,-,41.367,-96.01700000000001,0,399,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-12,-9,980,77,8.2000003894791
Typical,1,1,1,0,0,0,0,-13,-10,980,77,7.700000365730375
Typical,1,1,2,0,0,0,0,-13,-10,980,77,6.200000294484198
Typical,1,1,3,0,0,0,0,-14,-10,980,73,7.700000365730375
Typical,1,1,4,0,0,0,0,-15,-11,980,77,10.300000489223748
Typical,1,1,5,0,0,0,0,-16,-12,980,76,9.800000465475023
Typical,1,1,6,0,0,0,0,-23,-15,983,49,2.1000000997446477
Typical,1,1,7,0,0,0,0,-25,-16,983,49,0.0
Typical,1,1,8,0,0,0,0,-24,-16,984,49,2.1000000997446477
Typical,1,1,9,0,0,0,0,-24,-16,983,49,2.1000000997446477
Typical,1,1,10,0,0,0,0,-24,-16,984,49,3.100000147242099
Typical,1,1,11,0,0,0,0,-22,-16,984,57,3.100000147242099
Typical,1,1,12,0,0,0,0,-22,-16,984,57,2.6000001234933734
Typical,1,1,13,0,2,9,4,-25,-16,984,47,2.6000001234933734
Typical,1,1,14,0,33,480,77,-23,-15,984,49,3.6000001709908247
Typical,1,1,15,0,40,765,218,-21,-12,985,48,2.6000001234933734
Typical,1,1,16,0,36,899,343,-18,-10,986,49,3.6000001709908247
Typical,1,1,17,0,52,912,425,-18,-8,985,45,3.6000001709908247
Typical,1,1,18,0,51,924,450,-15,-6,984,50,4.600000218488276
Typical,1,1,19,0,46,910,417,-15,-5,984,44,5.700000270735472
Typical,1,1,20,0,36,914,346,-13,-4,984,48,4.10000019473955
Typical,1,1,21,0,38,741,207,-16,-6,984,43,6.200000294484198
Typical,1,1,22,0,31,329,60,-16,-7,984,52,5.200000246986747
Typical,1,1,23,0,1,6,5,-19,-10,985,46,4.10000019473955
Typical,1,2,0,0,0,0,0,-18,-11,985,58,2.1000000997446477
Typical,1,2,1,0,0,0,0,-19,-12,985,55,3.100000147242099
Typical,1,2,2,0,0,0,0,-20,-12,984,55,2.6000001234933734
Typical,1,2,3,0,0,0,0,-19,-13,984,63,2.1000000997446477
Typical,1,2,4,0,0,0,0,-19,-14,984,66,3.100000147242099
Typical,1,2,5,0,0,0,0,-20,-12,984,55,3.6000001709908247
Typical,1,2,6,0,0,0,0,-20,-12,983,53,4.10000019473955
Typical,1,2,7,0,0,0,0,-18,-11,982,55,3.6000001709908247
Typical,1,2,8,0,0,0,0,-18,-11,981,58,3.100000147242099
Typical,1,2,9,0,0,0,0,-18,-11,980,56,4.600000218488276
Typical,1,2,10,0,0,0,0,-16,-9,979,59,5.200000246986747
Typical,1,2,11,0,0,0,0,-16,-8,979,52,4.600000218488276
Typical,1,2,12,0,0,0,0,-15,-8,979,59,4.600000218488276
Typical,1,2,13,0,1,19,5,-16,-9,978,56,3.100000147242099
Typical,1,2,14,0,30,488,75,-15,-8,978,59,5.200000246986747
Typical,1,2,15,0,38,773,218,-15,-7,978,54,4.10000019473955
Typical,1,2,16,0,29,928,346,-12,-5,978,57,4.10000019473955
Typical,1,2,17,0,48,918,425,-12,-3,977,51,4.10000019473955
Typical,1,2,18,0,49,925,450,-10,-1,976,53,3.6000001709908247
Typical,1,2,19,0,46,905,416,-9,0,975,50,5.200000246986747
Typical,1,2,20,0,29,914,340,-7,1,974,52,4.10000019473955
Typical,1,2,21,0,37,732,206,-7,1,974,50,4.10000019473955
Typical,1,2,22,0,32,330,61,-7,0,973,54,2.1000000997446477
Typical,1,2,23,0,4,4,5,-8,-1,973,56,3.6000001709908247
Typical,1,3,0,0,0,0,0,-7,-1,973,66,4.10000019473955
Typical,1,3,1,0,0,0,0,-7,-1,972,66,3.100000147242099
Typical,1,3,2,0,0,0,0,-6,-2,972,72,4.10000019473955
Typical,1,3,3,0,0,0,0,-6,-2,972,75,5.200000246986747
Typical,1,3,4,0,0,0,0,-6,-3,972,81,4.600000218488276
Typical,1,3,5,0,0,0,0,-7,-3,972,75,4.600000218488276
Typical,1,3,6,0,0,0,0,-7,-5,972,81,4.600000218488276
Typical,1,3,7,0,0,0,0,-8,-5,972,81,4.10000019473955
Typical,1,3,8,0,0,0,0,-10,-7,973,81,2.1000000997446477
Typical,1,3,9,0,0,0,0,-13,-8,973,68,3.100000147242099
Typical,1,3,10,0,0,0,0,-13,-9,973,74,2.1000000997446477
Typical,1,3,11,0,0,0,0,-15,-9,973,64,2.6000001234933734
Typical,1,3,12,0,0,0,0,-14,-10,974,70,2.1000000997446477
Typical,1,3,13,0,2,12,5,-15,-10,975,67,1.500000071246177
Typical,1,3,14,0,61,363,94,-13,-9,975,70,2.1000000997446477
Typical,1,3,15,0,89,335,167,-13,-7,976,62,3.100000147242099
Typical,1,3,16,0,94,556,285,-11,-5,976,65,4.600000218488276
