Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,725780.0,-,ID,-,42.917,-112.56700000000001,0,1353,-7,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-10,-7,867,82,1.500000071246177
Typical,1,1,1,0,0,0,0,-10,-7,867,82,0.0
Typical,1,1,2,0,0,0,0,-11,-10,867,86,0.0
Typical,1,1,3,0,0,0,0,-10,-9,867,95,0.0
Typical,1,1,4,0,0,0,0,-13,-12,866,91,1.500000071246177
Typical,1,1,5,0,0,0,0,-13,-12,870,91,0.0
Typical,1,1,6,0,0,0,0,-15,-13,866,86,1.500000071246177
Typical,1,1,7,0,0,0,0,-6,-5,875,96,4.600000218488276
Typical,1,1,8,0,0,0,0,-6,-5,875,92,4.600000218488276
Typical,1,1,9,0,0,0,0,-8,-8,875,96,4.10000019473955
Typical,1,1,10,0,0,0,0,-7,-7,876,100,3.100000147242099
Typical,1,1,11,0,0,0,0,-7,-7,876,96,0.0
Typical,1,1,12,0,0,0,0,-7,-7,876,96,2.1000000997446477
Typical,1,1,13,0,0,0,0,-7,-7,876,96,2.6000001234933734
Typical,1,1,14,0,0,0,0,-7,-7,877,96,3.6000001709908247
Typical,1,1,15,0,39,1,39,-7,-7,877,96,3.100000147242099
Typical,1,1,16,0,119,0,119,-8,-7,877,96,4.600000218488276
Typical,1,1,17,0,177,1,177,-8,-7,878,92,5.200000246986747
Typical,1,1,18,0,199,170,264,-10,-7,877,81,3.6000001709908247
Typical,1,1,19,0,149,338,287,-12,-7,877,68,4.600000218488276
Typical,1,1,20,0,115,563,333,-11,-6,876,68,4.600000218488276
Typical,1,1,21,0,35,830,303,-11,-7,876,77,3.6000001709908247
Typical,1,1,22,0,90,241,143,-12,-8,876,77,3.100000147242099
Typical,1,1,23,0,17,472,56,-12,-11,876,88,3.6000001709908247
Typical,1,2,0,0,0,0,0,-14,-13,875,92,4.10000019473955
Typical,1,2,1,0,0,0,0,-16,-15,875,91,3.100000147242099
Typical,1,2,2,0,0,0,0,-18,-17,875,91,2.6000001234933734
Typical,1,2,3,0,0,0,0,-19,-17,875,87,2.6000001234933734
Typical,1,2,4,0,0,0,0,-16,-15,875,91,0.0
Typical,1,2,5,0,0,0,0,-21,-19,874,87,2.1000000997446477
Typical,1,2,6,0,0,0,0,-20,-19,874,91,1.500000071246177
Typical,1,2,7,0,0,0,0,-20,-18,874,87,0.0
Typical,1,2,8,0,0,0,0,-20,-18,873,87,2.1000000997446477
Typical,1,2,9,0,0,0,0,-22,-21,873,87,2.1000000997446477
Typical,1,2,10,0,0,0,0,-24,-22,873,82,2.1000000997446477
Typical,1,2,11,0,0,0,0,-25,-22,872,78,0.0
Typical,1,2,12,0,0,0,0,-23,-21,872,82,2.1000000997446477
Typical,1,2,13,0,0,0,0,-25,-23,872,82,1.500000071246177
Typical,1,2,14,0,0,0,0,-27,-25,872,82,2.1000000997446477
Typical,1,2,15,0,29,107,38,-23,-21,872,79,2.6000001234933734
Typical,1,2,16,0,102,245,152,-20,-19,872,91,2.1000000997446477
Typical,1,2,17,0,83,629,280,-16,-15,872,91,0.0
Typical,1,2,18,0,149,503,342,-17,-15,872,83,2.1000000997446477
Typical,1,2,19,0,121,658,390,-17,-12,871,64,2.6000001234933734
Typical,1,2,20,0,177,319,301,-15,-10,870,67,2.1000000997446477
Typical,1,2,21,0,47,845,321,-14,-11,870,77,2.6000001234933734
Typical,1,2,22,0,40,653,184,-15,-10,870,70,3.100000147242099
Typical,1,2,23,0,18,427,54,-17,-14,870,80,1.500000071246177
Typical,1,3,0,0,2,4,5,-18,-17,870,87,2.1000000997446477
Typical,1,3,1,0,0,0,0,-21,-19,870,87,2.6000001234933734
Typical,1,3,2,0,0,0,0,-19,-17,870,87,2.1000000997446477
Typical,1,3,3,0,0,0,0,-20,-17,870,83,0.0
Typical,1,3,4,0,0,0,0,-17,-16,870,87,2.1000000997446477
Typical,1,3,5,0,0,0,0,-22,-20,869,87,2.6000001234933734
Typical,1,3,6,0,0,0,0,-22,-21,870,87,3.100000147242099
Typical,1,3,7,0,0,0,0,-25,-22,870,82,2.6000001234933734
Typical,1,3,8,0,0,0,0,-23,-21,870,82,3.100000147242099
Typical,1,3,9,0,0,0,0,-22,-21,870,87,2.6000001234933734
Typical,1,3,10,0,0,0,0,-23,-21,869,87,2.1000000997446477
Typical,1,3,11,0,0,0,0,-25,-22,870,78,2.1000000997446477
Typical,1,3,12,0,0,0,0,-26,-24,870,82,1.500000071246177
Typical,1,3,13,0,0,0,0,-25,-23,870,86,2.1000000997446477
Typical,1,3,14,0,0,0,0,-25,-23,870,82,3.100000147242099
Typical,1,3,15,0,26,6,26,-23,-21,870,87,3.6000001709908247
Typical,1,3,16,0,93,173,128,-20,-18,871,91,2.1000000997446477
Typical,1,3,17,0,155,46,170,-18,-17,871,91,3.6000001709908247
Typical,1,3,18,0,171,213,253,-15,-14,871,96,4.10000019473955
Typical,1,3,19,0,189,351,333,-16,-13,870,76,3.6000001709908247
Typical,1,3,20,0,204,296,320,-13,-12,870,88,3.100000147242099
Typical,1,3,21,0,156,205,223,-13,-11,870,84,3.100000147242099
Typical,1,3,22,0,125,60,138,-15,-12,870,80,3.6000001709908247
Typical,1,3,23,0,38,51,43,-16,-14,870,87,3.100000147242099
Typical,1,4,0,0,2,1,2,-17,-15,870,87,2.6000001234933734
Typical,1,4,1,0,0,0,0,-18,-16,870,87,3.6000001709908247
Typical,1,4,2,0,0,0,0,-16,-15,870,87,1.500000071246177
Typical,1,4,3,0,0,0,0,-18,-17,870,91,2.6000001234933734
Typical,1,4,4,0,0,0,0,-18,-16,871,87,2.1000000997446477
Typical,1,4,5,0,0,0,0,-19,-17,871,83,2.1000000997446477
Typical,1,4,6,0,0,0,0,-18,-16,871,87,2.6000001234933734
Typical,1,4,7,0,0,0,0,-18,-16,870,87,4.10000019473955
Typical,1,4,8,0,0,0,0,-18,-16,870,87,3.6000001709908247
Typical,1,4,9,0,0,0,0,-21,-19,870,87,3.100000147242099
Typical,1,4,10,0,0,0,0,-20,-18,870,83,2.1000000997446477
Typical,1,4,11,0,0,0,0,-19,-17,869,83,3.6000001709908247
Typical,1,4,12,0,0,0,0,-18,-17,869,87,2.1000000997446477
Typical,1,4,13,0,0,0,0,-17,-16,869,87,2.6000001234933734
Typical,1,4,14,0,0,0,0,-16,-15,869,87,2.1000000997446477
Typical,1,4,15,0,25,3,25,-16,-13,868,80,2.6000001234933734
Typical,1,4,16,0,110,4,111,-14,-11,868,80,3.6000001709908247
Typical,1,4,17,0,169,8,171,-13,-11,868,84,4.600000218488276
Typical,1,4,18,0,165,5,167,-12,-9,867,77,4.600000218488276
Typical,1,4,19,0,203,5,205,-12,-8,866,77,4.600000218488276
Typical,1,4,20,0,178,1,178,-12,-8,866,74,3.6000001709908247
Typical,1,4,21,0,166,2,166,-9,-8,865,92,4.10000019473955
Typical,1,4,22,0,113,4,114,-8,-7,865,88,3.100000147242099
Typical,1,4,23,0,39,0,39,-8,-7,865,92,3.100000147242099
Typical,1,5,0,0,3,0,3,-8,-7,865,92,2.6000001234933734
Typical,1,5,1,0,0,0,0,-8,-7,865,92,3.100000147242099
Typical,1,5,2,0,0,0,0,-7,-6,865,92,2.1000000997446477
Typical,1,5,3,0,0,0,0,-7,-6,865,92,3.6000001709908247
Typical,1,5,4,0,0,0,0,-7,-6,865,92,4.10000019473955
Typical,1,5,5,0,0,0,0,-7,-6,865,96,3.100000147242099
Typical,1,5,6,0,0,0,0,-7,-6,864,92,2.6000001234933734
Typical,1,5,7,0,0,0,0,-7,-6,865,92,3.6000001709908247
Typical,1,5,8,0,0,0,0,-7,-6,864,92,4.10000019473955
Typical,1,5,9,0,0,0,0,-6,-6,864,96,3.100000147242099
Typical,1,5,10,0,0,0,0,-6,-5,864,92,3.6000001709908247
Typical,1,5,11,0,0,0,0,-6,-5,863,92,4.600000218488276
Typical,1,5,12,0,0,0,0,-6,-5,863,96,4.600000218488276
Typical,1,5,13,0,0,0,0,-6,-5,863,96,5.200000246986747
Typical,1,5,14,0,0,0,0,-5,-5,863,96,5.700000270735472
Typical,1,5,15,0,30,0,30,-5,-4,863,92,4.600000218488276
Typical,1,5,16,0,103,0,103,-5,-4,863,96,3.100000147242099
Typical,1,5,17,0,189,1,189,-5,-2,863,85,3.6000001709908247
Typical,1,5,18,0,218,1,219,-5,-2,862,85,4.600000218488276
Typical,1,5,19,0,248,1,249,-5,-2,861,78,5.200000246986747
Typical,1,5,20,0,227,2,227,-5,-1,860,78,5.700000270735472
Typical,1,5,21,0,192,0,192,-4,-1,860,82,3.6000001709908247
Typical,1,5,22,0,118,0,118,-4,-1,859,82,4.600000218488276
Typical,1,5,23,0,40,1,40,-5,-2,860,82,3.100000147242099
Typical,1,6,0,0,2,0,2,-4,-2,859,85,2.1000000997446477
Typical,1,6,1,0,0,0,0,-4,-2,859,85,3.100000147242099
Typical,1,6,2,0,0,0,0,-4,-3,859,92,2.1000000997446477
Typical,1,6,3,0,0,0,0,-6,-4,859,88,2.1000000997446477
Typical,1,6,4,0,0,0,0,-6,-5,859,92,2.1000000997446477
Typical,1,6,5,0,0,0,0,-8,-7,859,92,2.1000000997446477
Typical,1,6,6,0,0,0,0,-10,-8,859,84,2.1000000997446477
Typical,1,6,7,0,0,0,0,-11,-10,860,92,3.6000001709908247
Typical,1,6,8,0,0,0,0,-9,-8,860,92,4.10000019473955
Typical,1,6,9,0,0,0,0,-8,-8,860,96,4.10000019473955
Typical,1,6,10,0,0,0,0,-6,-5,861,92,4.600000218488276
Typical,1,6,11,0,0,0,0,-6,-5,861,92,6.200000294484198
Typical,1,6,12,0,0,0,0,-5,-4,861,96,6.200000294484198
Typical,1,6,13,0,0,0,0,-5,-4,862,96,7.200000341981649
Typical,1,6,14,0,0,0,0,-5,-4,862,96,5.700000270735472
Typical,1,6,15,0,45,0,45,-5,-4,863,96,6.200000294484198
Typical,1,6,16,0,136,1,136,-4,-3,863,96,6.700000318232924
