Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,703870.0,-,AK,-,56.483000000000004,-132.36700000000002,0,13,-9,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,61,1,1,2,1011,92,2.5000001187436283
Typical,1,1,1,0,0,0,0,0,2,1011,89,2.5000001187436283
Typical,1,1,2,0,0,0,0,0,2,1011,85,2.0000000949949026
Typical,1,1,3,0,0,0,0,0,2,1011,89,0.0
Typical,1,1,4,0,0,0,0,0,2,1011,89,2.5000001187436283
Typical,1,1,5,0,0,0,0,0,2,1011,85,1.500000071246177
Typical,1,1,6,0,0,0,0,0,2,1011,82,1.500000071246177
Typical,1,1,7,0,0,0,0,0,3,1011,75,2.0000000949949026
Typical,1,1,8,0,0,0,0,0,3,1011,79,1.500000071246177
Typical,1,1,9,0,0,0,0,-4,1,1011,67,1.500000071246177
Typical,1,1,10,0,0,0,0,-4,1,1011,67,6.200000294484198
Typical,1,1,11,0,0,0,0,-6,1,1011,56,6.200000294484198
Typical,1,1,12,0,0,0,0,-6,0,1011,60,2.1000000997446477
Typical,1,1,13,0,0,0,0,-6,0,1011,60,3.100000147242099
Typical,1,1,14,0,0,0,0,-6,0,1011,60,4.10000019473955
Typical,1,1,15,0,0,0,0,-7,-1,1011,60,2.1000000997446477
Typical,1,1,16,0,0,0,0,-9,-1,1011,50,4.10000019473955
Typical,1,1,17,0,0,0,0,-9,-1,1011,50,5.100000242237002
Typical,1,1,18,0,23,363,56,-8,-1,1011,55,6.700000318232924
Typical,1,1,19,0,34,565,119,-9,-1,1011,50,7.700000365730375
Typical,1,1,20,0,51,494,141,-10,-1,1011,46,6.700000318232924
Typical,1,1,21,0,50,574,151,-11,-1,1011,42,4.10000019473955
Typical,1,1,22,0,55,443,117,-10,-1,1011,46,6.700000318232924
Typical,1,1,23,0,0,0,0,-11,-2,1011,46,7.700000365730375
