Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726060.0,-,ME,-,43.65,-70.3,0,14,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-6,5,1005,45,4.10000019473955
Typical,1,1,1,0,0,0,0,-5,3,1005,53,4.10000019473955
Typical,1,1,2,0,0,0,0,-5,3,1005,55,4.10000019473955
Typical,1,1,3,0,0,0,0,-5,3,1005,53,3.100000147242099
Typical,1,1,4,0,0,0,0,-3,2,1004,62,4.600000218488276
Typical,1,1,5,0,0,0,0,2,6,1014,79,5.200000246986747
Typical,1,1,6,0,0,0,0,2,6,1014,79,4.10000019473955
Typical,1,1,7,0,0,0,0,2,6,1014,79,5.700000270735472
Typical,1,1,8,0,0,0,0,2,5,1013,82,6.200000294484198
Typical,1,1,9,0,0,0,0,2,5,1012,82,5.200000246986747
Typical,1,1,10,0,0,0,0,2,5,1013,86,4.600000218488276
Typical,1,1,11,0,0,0,0,2,5,1013,86,4.600000218488276
Typical,1,1,12,0,6,92,9,3,8,1014,74,6.700000318232924
Typical,1,1,13,0,106,273,152,3,9,1015,66,7.700000365730375
Typical,1,1,14,0,126,113,158,1,8,1017,61,7.200000341981649
Typical,1,1,15,0,177,531,369,-1,8,1018,48,8.2000003894791
Typical,1,1,16,0,174,175,244,-1,8,1019,48,6.200000294484198
Typical,1,1,17,0,142,542,351,-2,8,1019,46,7.700000365730375
Typical,1,1,18,0,101,640,312,-2,7,1021,50,6.200000294484198
Typical,1,1,19,0,85,398,178,-2,6,1022,51,7.700000365730375
Typical,1,1,20,0,29,219,52,-2,4,1023,58,5.700000270735472
Typical,1,1,21,0,0,0,0,-3,3,1025,55,4.10000019473955
Typical,1,1,22,0,0,0,0,-3,2,1026,59,5.200000246986747
Typical,1,1,23,0,0,0,0,-4,1,1028,61,4.10000019473955
Typical,1,2,0,0,0,0,0,-6,1,1029,50,4.600000218488276
Typical,1,2,1,0,0,0,0,-8,0,1031,47,3.100000147242099
Typical,1,2,2,0,0,0,0,-8,0,1032,52,2.6000001234933734
Typical,1,2,3,0,0,0,0,-11,-1,1033,40,5.700000270735472
Typical,1,2,4,0,0,0,0,-13,-1,1033,36,1.500000071246177
Typical,1,2,5,0,0,0,0,-15,-2,1034,32,4.10000019473955
Typical,1,2,6,0,0,0,0,-16,-2,1035,31,4.10000019473955
Typical,1,2,7,0,0,0,0,-15,-3,1036,35,5.700000270735472
Typical,1,2,8,0,0,0,0,-16,-4,1037,35,4.600000218488276
Typical,1,2,9,0,0,0,0,-15,-5,1038,41,4.10000019473955
Typical,1,2,10,0,0,0,0,-15,-6,1039,45,4.10000019473955
Typical,1,2,11,0,0,0,0,-15,-6,1040,45,4.10000019473955
Typical,1,2,12,0,4,165,9,-17,-7,1040,41,4.600000218488276
Typical,1,2,13,0,68,491,152,-16,-6,1041,41,3.6000001709908247
Typical,1,2,14,0,72,732,282,-17,-5,1041,34,2.6000001234933734
Typical,1,2,15,0,72,818,370,-16,-5,1040,35,3.100000147242099
Typical,1,2,16,0,73,843,408,-14,-4,1039,41,2.1000000997446477
Typical,1,2,17,0,102,751,392,-12,-3,1037,48,2.6000001234933734
Typical,1,2,18,0,125,447,273,-10,-3,1037,56,3.6000001709908247
Typical,1,2,19,0,76,347,158,-9,-3,1036,62,0.0
Typical,1,2,20,0,33,150,49,-8,-3,1035,62,0.0
Typical,1,2,21,0,0,0,0,-8,-3,1035,65,2.1000000997446477
Typical,1,2,22,0,0,0,0,-7,-3,1034,72,0.0
Typical,1,2,23,0,0,0,0,-6,-3,1032,83,0.0
Typical,1,3,0,0,0,0,0,-5,-3,1031,87,0.0
Typical,1,3,1,0,0,0,0,-4,-3,1029,91,0.0
Typical,1,3,2,0,0,0,0,-3,-2,1028,91,2.1000000997446477
Typical,1,3,3,0,0,0,0,-1,0,1027,91,2.1000000997446477
Typical,1,3,4,0,0,0,0,0,1,1025,88,5.700000270735472
Typical,1,3,5,0,0,0,0,0,1,1024,92,4.10000019473955
Typical,1,3,6,0,0,0,0,1,1,1024,96,3.100000147242099
Typical,1,3,7,0,0,0,0,1,1,1023,96,3.6000001709908247
Typical,1,3,8,0,0,0,0,1,1,1021,96,3.6000001709908247
Typical,1,3,9,0,0,0,0,1,1,1021,96,2.6000001234933734
Typical,1,3,10,0,0,0,0,1,1,1021,96,4.10000019473955
Typical,1,3,11,0,0,0,0,1,1,1021,96,4.600000218488276
Typical,1,3,12,0,6,96,9,1,2,1021,92,3.100000147242099
Typical,1,3,13,0,103,287,152,2,3,1021,93,2.6000001234933734
Typical,1,3,14,0,123,219,185,3,5,1021,93,3.100000147242099
Typical,1,3,15,0,148,31,159,3,5,1021,93,3.100000147242099
