Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726115.0,-,VT,-,43.35,-72.517,0,176,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-24,-17,1005,51,1.500000071246177
Typical,1,1,1,0,0,0,0,-27,-17,1006,38,3.6000001709908247
Typical,1,1,2,0,0,0,0,-27,-18,1006,41,3.6000001709908247
Typical,1,1,3,0,0,0,0,-27,-19,1007,46,2.1000000997446477
Typical,1,1,4,0,0,0,0,-27,-19,1007,46,2.6000001234933734
Typical,1,1,5,0,0,0,0,-18,-17,991,91,0.0
Typical,1,1,6,0,0,0,0,-19,-17,991,83,0.0
Typical,1,1,7,0,0,0,0,-19,-17,991,83,0.0
Typical,1,1,8,0,0,0,0,-19,-17,991,83,0.0
Typical,1,1,9,0,0,0,0,-19,-17,991,83,1.500000071246177
Typical,1,1,10,0,0,0,0,-20,-18,990,83,0.0
Typical,1,1,11,0,0,0,0,-18,-17,990,91,0.0
Typical,1,1,12,0,2,61,3,-18,-16,991,83,0.0
Typical,1,1,13,0,96,252,135,-15,-12,992,76,2.1000000997446477
Typical,1,1,14,0,124,233,188,-13,-7,993,59,5.100000242237002
Typical,1,1,15,0,175,336,295,-15,-7,994,51,6.900000327732414
Typical,1,1,16,0,61,0,61,-18,-9,995,44,8.700000413227826
Typical,1,1,17,0,165,388,318,-18,-9,996,44,8.700000413227826
Typical,1,1,18,0,107,524,287,-20,-10,997,40,7.700000365730375
Typical,1,1,19,0,67,596,218,-25,-12,999,29,6.700000318232924
Typical,1,1,20,0,37,384,86,-25,-12,1000,29,5.700000270735472
Typical,1,1,21,0,0,0,0,-26,-14,1002,32,6.700000318232924
Typical,1,1,22,0,0,0,0,-26,-15,1004,35,6.200000294484198
Typical,1,1,23,0,0,0,0,-26,-17,1005,42,6.200000294484198
Typical,1,2,0,0,0,0,0,-26,-18,1006,46,4.10000019473955
Typical,1,2,1,0,0,0,0,-27,-18,1007,41,3.6000001709908247
Typical,1,2,2,0,0,0,0,-27,-19,1008,46,2.1000000997446477
Typical,1,2,3,0,0,0,0,-27,-19,1009,46,4.10000019473955
Typical,1,2,4,0,0,0,0,-28,-19,1010,41,4.10000019473955
Typical,1,2,5,0,0,0,0,-28,-21,1010,50,0.0
Typical,1,2,6,0,0,0,0,-28,-21,1010,50,2.1000000997446477
Typical,1,2,7,0,0,0,0,-28,-22,1010,55,1.500000071246177
Typical,1,2,8,0,0,0,0,-28,-22,1010,55,1.500000071246177
Typical,1,2,9,0,0,0,0,-28,-23,1010,61,3.100000147242099
Typical,1,2,10,0,0,0,0,-28,-24,1010,67,0.0
Typical,1,2,11,0,0,0,0,-29,-26,1010,74,0.0
Typical,1,2,12,0,2,66,2,-29,-26,1011,74,0.0
Typical,1,2,13,0,83,273,126,-27,-23,1012,67,0.0
Typical,1,2,14,0,110,334,202,-26,-19,1012,50,1.500000071246177
Typical,1,2,15,0,136,355,263,-26,-16,1012,38,3.100000147242099
Typical,1,2,16,0,166,290,282,-26,-14,1011,32,5.100000242237002
Typical,1,2,17,0,155,352,295,-26,-13,1011,29,4.10000019473955
Typical,1,2,18,0,157,147,208,-24,-13,1011,35,4.10000019473955
Typical,1,2,19,0,98,23,104,-24,-13,1011,35,4.10000019473955
Typical,1,2,20,0,45,68,53,-24,-13,1011,35,2.6000001234933734
Typical,1,2,21,0,0,0,0,-24,-13,1011,35,0.0
Typical,1,2,22,0,0,0,0,-22,-14,1010,47,1.500000071246177
Typical,1,2,23,0,0,0,0,-22,-15,1010,51,0.0
Typical,1,3,0,0,0,0,0,-21,-16,1010,62,0.0
Typical,1,3,1,0,0,0,0,-21,-15,1010,57,1.500000071246177
Typical,1,3,2,0,0,0,0,-21,-14,1009,52,0.0
Typical,1,3,3,0,0,0,0,-21,-14,1009,52,0.0
Typical,1,3,4,0,0,0,0,-21,-14,1007,52,0.0
Typical,1,3,5,0,0,0,0,-21,-13,1007,47,0.0
Typical,1,3,6,0,0,0,0,-20,-13,1006,52,0.0
Typical,1,3,7,0,0,0,0,-20,-12,1006,48,0.0
Typical,1,3,8,0,0,0,0,-19,-11,1004,50,0.0
Typical,1,3,9,0,0,0,0,-19,-12,1002,52,0.0
Typical,1,3,10,0,0,0,0,-19,-12,1002,52,0.0
Typical,1,3,11,0,0,0,0,-17,-11,1001,58,1.500000071246177
Typical,1,3,12,0,1,0,1,-14,-12,999,83,0.0
Typical,1,3,13,0,27,0,27,-13,-11,998,84,0.0
Typical,1,3,14,0,42,0,42,-12,-11,997,91,0.0
