Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726165.0,-,NH,-,42.9,-72.267,0,153,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-7,-3,995,71,2.1000000997446477
Typical,1,1,1,0,0,0,0,-7,-3,995,71,2.1000000997446477
Typical,1,1,2,0,0,0,0,-6,-3,995,77,2.1000000997446477
Typical,1,1,3,0,0,0,0,-7,-3,995,71,3.100000147242099
Typical,1,1,4,0,0,0,0,-7,-4,995,77,2.6000001234933734
Typical,1,1,5,0,0,0,0,-11,-7,995,70,1.500000071246177
Typical,1,1,6,0,0,0,0,-9,-6,995,77,0.0
Typical,1,1,7,0,0,0,0,-8,-6,995,84,0.0
Typical,1,1,8,0,0,0,0,-8,-5,995,77,0.0
Typical,1,1,9,0,0,0,0,-8,-5,995,77,0.0
Typical,1,1,10,0,0,0,0,-8,-5,995,77,0.0
Typical,1,1,11,0,0,0,0,-8,-5,995,77,0.0
Typical,1,1,12,0,2,109,4,-7,-5,995,84,0.0
Typical,1,1,13,0,66,402,132,-7,-4,995,77,0.0
Typical,1,1,14,0,88,622,264,-7,0,995,55,1.500000071246177
Typical,1,1,15,0,85,715,346,-5,3,995,53,4.600000218488276
Typical,1,1,16,0,86,754,391,-4,4,995,54,4.10000019473955
Typical,1,1,17,0,84,746,383,-4,6,995,47,3.6000001709908247
Typical,1,1,18,0,73,725,326,-3,7,995,48,5.700000270735472
Typical,1,1,19,0,62,608,218,-3,7,995,48,4.10000019473955
Typical,1,1,20,0,38,374,86,-4,7,995,44,3.100000147242099
Typical,1,1,21,0,0,0,0,-7,2,995,48,0.0
Typical,1,1,22,0,0,0,0,-4,1,995,67,0.0
Typical,1,1,23,0,0,0,0,-5,-1,995,71,0.0
Typical,1,2,0,0,0,0,0,-5,-2,995,78,0.0
Typical,1,2,1,0,0,0,0,-5,-2,995,78,0.0
Typical,1,2,2,0,0,0,0,-4,-2,995,85,0.0
Typical,1,2,3,0,0,0,0,-4,-3,995,92,0.0
Typical,1,2,4,0,0,0,0,-5,-3,995,84,0.0
Typical,1,2,5,0,0,0,0,-4,-2,995,85,0.0
Typical,1,2,6,0,0,0,0,-4,-2,995,85,0.0
Typical,1,2,7,0,0,0,0,-3,-1,995,85,1.500000071246177
Typical,1,2,8,0,0,0,0,-4,-2,995,85,0.0
Typical,1,2,9,0,0,0,0,-3,-1,995,85,0.0
Typical,1,2,10,0,0,0,0,-3,-1,995,85,0.0
Typical,1,2,11,0,0,0,0,-3,-1,995,85,0.0
Typical,1,2,12,0,2,0,2,-4,-1,995,78,0.0
Typical,1,2,13,0,53,0,53,-3,-1,995,85,0.0
Typical,1,2,14,0,90,0,90,-2,0,995,83,0.0
Typical,1,2,15,0,58,0,58,-2,0,995,85,0.0
Typical,1,2,16,0,67,0,67,-1,1,995,86,0.0
Typical,1,2,17,0,71,0,71,-1,1,995,86,0.0
Typical,1,2,18,0,127,6,129,1,3,995,87,0.0
Typical,1,2,19,0,103,46,114,2,4,995,87,0.0
Typical,1,2,20,0,45,63,54,2,4,995,87,0.0
Typical,1,2,21,0,0,0,0,1,3,995,87,0.0
Typical,1,2,22,0,0,0,0,0,2,995,87,2.1000000997446477
Typical,1,2,23,0,0,0,0,1,3,995,87,0.0
