Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726465.0,-,WI,-,44.783,-89.667,0,389,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-13,-10,967,76,2.1000000997446477
Typical,1,1,1,0,0,0,0,-13,-10,967,79,2.200000104494393
Typical,1,1,2,0,0,0,0,-13,-10,967,80,2.400000113993883
Typical,1,1,3,0,0,0,0,-13,-11,967,82,2.5000001187436283
Typical,1,1,4,0,0,0,0,-13,-12,967,86,2.6000001234933734
Typical,1,1,5,0,0,0,0,-14,-12,967,88,2.8000001329928637
Typical,1,1,6,0,0,0,0,-3,-2,967,95,4.600000218488276
Typical,1,1,7,0,0,0,0,-3,-2,967,91,4.10000019473955
Typical,1,1,8,0,0,0,0,-3,-2,967,91,3.6000001709908247
Typical,1,1,9,0,0,0,0,-3,-3,967,96,3.000000142492354
Typical,1,1,10,0,0,0,0,-3,-3,967,96,4.10000019473955
Typical,1,1,11,0,0,0,0,-3,-3,967,95,3.3000001567415893
Typical,1,1,12,0,0,0,0,-4,-3,967,91,2.5000001187436283
Typical,1,1,13,0,1,0,1,-4,-3,967,93,3.000000142492354
Typical,1,1,14,0,23,0,23,-4,-3,967,90,3.6000001709908247
Typical,1,1,15,0,54,0,54,-4,-2,967,87,4.10000019473955
Typical,1,1,16,0,78,0,78,-5,-2,967,83,5.100000242237002
Typical,1,1,17,0,91,0,91,-5,-2,967,83,4.10000019473955
Typical,1,1,18,0,109,0,109,-5,-2,967,83,3.6000001709908247
Typical,1,1,19,0,94,0,94,-5,-3,967,83,4.10000019473955
Typical,1,1,20,0,67,0,67,-5,-3,967,83,4.600000218488276
Typical,1,1,21,0,30,0,30,-5,-3,967,82,4.10000019473955
Typical,1,1,22,0,2,0,2,-6,-3,967,82,3.6000001709908247
Typical,1,1,23,0,0,0,0,-6,-4,967,83,3.6000001709908247
Typical,1,2,0,0,0,0,0,-7,-5,967,79,5.600000265985727
Typical,1,2,1,0,0,0,0,-8,-5,967,74,4.600000218488276
Typical,1,2,2,0,0,0,0,-7,-5,967,79,3.000000142492354
Typical,1,2,3,0,0,0,0,-9,-5,967,71,4.600000218488276
Typical,1,2,4,0,0,0,0,-10,-6,967,75,5.600000265985727
Typical,1,2,5,0,0,0,0,-12,-9,967,74,5.600000265985727
Typical,1,2,6,0,0,0,0,-13,-10,967,78,5.100000242237002
Typical,1,2,7,0,0,0,0,-12,-10,967,82,4.600000218488276
Typical,1,2,8,0,0,0,0,-14,-11,967,78,3.000000142492354
Typical,1,2,9,0,0,0,0,-15,-12,967,78,2.5000001187436283
Typical,1,2,10,0,0,0,0,-16,-13,967,77,3.000000142492354
Typical,1,2,11,0,0,0,0,-16,-13,967,77,4.10000019473955
Typical,1,2,12,0,0,0,0,-16,-13,967,77,4.10000019473955
Typical,1,2,13,0,2,9,2,-16,-14,967,85,4.600000218488276
Typical,1,2,14,0,39,44,44,-16,-12,967,73,4.10000019473955
Typical,1,2,15,0,67,165,107,-15,-11,967,74,4.10000019473955
Typical,1,2,16,0,103,432,243,-15,-10,967,67,5.100000242237002
Typical,1,2,17,0,92,451,260,-15,-10,967,64,6.100000289734453
Typical,1,2,18,0,115,592,336,-15,-8,967,58,4.600000218488276
Typical,1,2,19,0,109,504,276,-15,-8,967,58,4.600000218488276
Typical,1,2,20,0,69,489,191,-15,-8,967,58,4.10000019473955
Typical,1,2,21,0,45,281,81,-16,-9,967,54,4.10000019473955
Typical,1,2,22,0,4,32,5,-17,-11,967,57,3.6000001709908247
Typical,1,2,23,0,0,0,0,-18,-12,967,59,2.0000000949949026
Typical,1,3,0,0,0,0,0,-18,-13,967,66,3.000000142492354
Typical,1,3,1,0,0,0,0,-18,-14,967,69,2.0000000949949026
Typical,1,3,2,0,0,0,0,-19,-15,967,66,3.000000142492354
Typical,1,3,3,0,0,0,0,-18,-15,967,73,4.10000019473955
Typical,1,3,4,0,0,0,0,-19,-16,967,73,2.5000001187436283
Typical,1,3,5,0,0,0,0,-19,-17,967,81,1.500000071246177
Typical,1,3,6,0,0,0,0,-19,-17,967,85,2.0000000949949026
Typical,1,3,7,0,0,0,0,-20,-17,967,81,3.000000142492354
Typical,1,3,8,0,0,0,0,-21,-18,967,80,3.6000001709908247
Typical,1,3,9,0,0,0,0,-22,-19,967,76,3.6000001709908247
Typical,1,3,10,0,0,0,0,-22,-20,967,80,3.6000001709908247
Typical,1,3,11,0,0,0,0,-22,-20,967,76,3.000000142492354
Typical,1,3,12,0,0,0,0,-21,-20,967,94,2.0000000949949026
Typical,1,3,13,0,2,69,3,-22,-20,967,85,3.6000001709908247
Typical,1,3,14,0,35,346,76,-20,-18,967,84,4.10000019473955
Typical,1,3,15,0,62,565,198,-18,-17,967,86,1.500000071246177
Typical,1,3,16,0,75,526,247,-16,-13,967,77,1.500000071246177
Typical,1,3,17,0,107,535,306,-16,-11,967,64,0.800000037997961
Typical,1,3,18,0,77,661,325,-16,-9,967,52,0.0
Typical,1,3,19,0,105,399,238,-15,-7,967,52,0.0
Typical,1,3,20,0,64,571,208,-15,-7,967,52,0.0
Typical,1,3,21,0,32,0,32,-15,-10,967,60,0.0
Typical,1,3,22,0,2,0,2,-16,-12,967,70,2.0000000949949026
Typical,1,3,23,0,0,0,0,-15,-13,967,82,0.0
Typical,1,4,0,0,0,0,0,-16,-13,967,77,0.0
Typical,1,4,1,0,0,0,0,-15,-12,967,82,0.0
Typical,1,4,2,0,0,0,0,-15,-13,967,78,0.0
Typical,1,4,3,0,0,0,0,-16,-13,967,74,0.0
Typical,1,4,4,0,0,0,0,-15,-12,967,77,0.0
Typical,1,4,5,0,0,0,0,-16,-13,967,81,0.0
Typical,1,4,6,0,0,0,0,-17,-15,967,85,0.0
Typical,1,4,7,0,0,0,0,-18,-16,967,85,2.0000000949949026
