Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726515.0,-,SD,-,44.3,-96.81700000000001,0,502,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-3,-1,955,83,1.500000071246177
Typical,1,1,1,0,0,0,0,-3,-1,955,87,3.6000001709908247
Typical,1,1,2,0,0,0,0,-3,-1,955,87,3.100000147242099
Typical,1,1,3,0,0,0,0,-3,-1,955,87,3.6000001709908247
Typical,1,1,4,0,0,0,0,-3,-1,955,87,5.700000270735472
Typical,1,1,5,0,0,0,0,-3,-1,955,87,6.200000294484198
Typical,1,1,6,0,0,0,0,-3,-2,955,91,5.100000242237002
Typical,1,1,7,0,0,0,0,-3,-2,955,91,4.10000019473955
Typical,1,1,8,0,0,0,0,-3,-2,955,87,5.700000270735472
Typical,1,1,9,0,0,0,0,-3,-2,955,87,5.700000270735472
Typical,1,1,10,0,0,0,0,-3,-2,955,91,5.700000270735472
Typical,1,1,11,0,0,0,0,-3,-2,955,87,6.200000294484198
Typical,1,1,12,0,0,0,0,-4,-2,955,87,5.700000270735472
Typical,1,1,13,0,0,0,0,-3,-2,955,87,8.2000003894791
Typical,1,1,14,0,27,0,27,-3,-2,955,87,7.700000365730375
Typical,1,1,15,0,24,0,24,-3,-2,955,87,6.700000318232924
Typical,1,1,16,0,54,0,54,-3,-1,955,83,7.200000341981649
Typical,1,1,17,0,101,0,101,-3,-1,955,87,8.2000003894791
Typical,1,1,18,0,91,0,91,-3,-1,955,83,6.700000318232924
Typical,1,1,19,0,110,0,110,-4,-1,955,79,2.6000001234933734
Typical,1,1,20,0,82,0,82,-4,-1,955,79,3.100000147242099
Typical,1,1,21,0,71,134,97,-5,-2,955,80,2.8000001329928637
Typical,1,1,22,0,24,156,34,-5,-2,955,83,0.4000000189989805
Typical,1,1,23,0,0,0,0,-5,-2,955,83,0.6000000284984708
Typical,1,2,0,0,0,0,0,-5,-3,955,83,2.900000137742609
Typical,1,2,1,0,0,0,0,-5,-3,955,83,5.100000242237002
Typical,1,2,2,0,0,0,0,-5,-3,955,83,6.300000299233943
Typical,1,2,3,0,0,0,0,-5,-3,955,83,8.600000408478081
Typical,1,2,4,0,0,0,0,-5,-2,955,79,7.3000003467313945
Typical,1,2,5,0,0,0,0,-5,-2,955,79,6.900000327732414
Typical,1,2,6,0,0,0,0,-6,-3,955,82,6.600000313483179
Typical,1,2,7,0,0,0,0,-8,-5,955,74,5.300000251736492
Typical,1,2,8,0,0,0,0,-8,-5,955,78,5.0000002374872565
Typical,1,2,9,0,0,0,0,-8,-6,955,79,6.200000294484198
Typical,1,2,10,0,0,0,0,-8,-6,955,79,5.200000246986747
Typical,1,2,11,0,0,0,0,-9,-6,955,78,4.700000223238021
Typical,1,2,12,0,0,0,0,-10,-6,955,75,5.200000246986747
Typical,1,2,13,0,0,0,0,-11,-7,955,74,5.300000251736492
Typical,1,2,14,0,27,0,27,-11,-8,955,75,5.800000275485218
Typical,1,2,15,0,109,378,182,-12,-8,955,74,5.300000251736492
Typical,1,2,16,0,67,0,67,-11,-8,955,75,5.800000275485218
Typical,1,2,17,0,158,67,183,-12,-9,955,74,7.3000003467313945
Typical,1,2,18,0,170,60,193,-12,-9,955,74,7.80000037048012
Typical,1,2,19,0,98,0,98,-14,-10,955,70,8.400000398978591
Typical,1,2,20,0,105,70,126,-14,-11,955,74,7.3000003467313945
Typical,1,2,21,0,86,403,166,-15,-11,955,74,6.400000303983688
Typical,1,2,22,0,18,45,20,-18,-15,955,73,4.900000232737511
Typical,1,2,23,0,0,0,0,-18,-15,955,77,4.300000204239041
Typical,1,3,0,0,0,0,0,-18,-17,955,86,4.900000232737511
Typical,1,3,1,0,0,0,0,-20,-17,955,81,4.900000232737511
Typical,1,3,2,0,0,0,0,-22,-19,955,73,5.400000256486237
Typical,1,3,3,0,0,0,0,-23,-20,955,76,5.900000280234963
Typical,1,3,4,0,0,0,0,-23,-20,955,72,5.500000261235982
Typical,1,3,5,0,0,0,0,-24,-21,955,76,5.0000002374872565
Typical,1,3,6,0,0,0,0,-23,-21,955,81,5.0000002374872565
Typical,1,3,7,0,0,0,0,-23,-20,955,76,4.400000208988786
Typical,1,3,8,0,0,0,0,-23,-20,955,76,5.0000002374872565
Typical,1,3,9,0,0,0,0,-21,-18,955,76,6.000000284984708
Typical,1,3,10,0,0,0,0,-20,-18,955,81,6.000000284984708
Typical,1,3,11,0,0,0,0,-18,-16,955,81,5.100000242237002
Typical,1,3,12,0,0,0,0,-18,-16,955,81,6.100000289734453
Typical,1,3,13,0,0,0,0,-17,-15,955,81,5.600000265985727
Typical,1,3,14,0,27,0,27,-17,-15,955,81,3.000000142492354
Typical,1,3,15,0,109,378,182,-16,-13,955,77,5.100000242237002
Typical,1,3,16,0,94,0,94,-14,-12,955,82,6.600000313483179
Typical,1,3,17,0,148,43,164,-13,-11,955,82,5.600000265985727
Typical,1,3,18,0,66,0,66,-13,-11,955,78,3.000000142492354
Typical,1,3,19,0,81,0,81,-13,-10,955,78,5.200000246986747
Typical,1,3,20,0,99,0,99,-13,-11,955,82,5.700000270735472
Typical,1,3,21,0,74,45,83,-13,-10,955,78,5.200000246986747
Typical,1,3,22,0,27,136,36,-13,-11,955,78,5.700000270735472
Typical,1,3,23,0,0,0,0,-14,-11,955,74,6.100000289734453
Typical,1,4,0,0,0,0,0,-13,-11,955,78,6.400000303983688
Typical,1,4,1,0,0,0,0,-13,-11,955,78,6.300000299233943
Typical,1,4,2,0,0,0,0,-13,-11,955,78,6.200000294484198
Typical,1,4,3,0,0,0,0,-15,-11,955,74,6.5000003087334335
Typical,1,4,4,0,0,0,0,-14,-11,955,78,6.400000303983688
Typical,1,4,5,0,0,0,0,-15,-12,955,78,5.300000251736492
Typical,1,4,6,0,0,0,0,-15,-12,955,78,4.10000019473955
Typical,1,4,7,0,0,0,0,-15,-12,955,78,5.0000002374872565
Typical,1,4,8,0,0,0,0,-15,-12,955,74,3.90000018524006
Typical,1,4,9,0,0,0,0,-15,-12,955,78,3.100000147242099
Typical,1,4,10,0,0,0,0,-16,-13,955,77,2.0000000949949026
Typical,1,4,11,0,0,0,0,-16,-13,955,74,2.0000000949949026
Typical,1,4,12,0,0,0,0,-17,-14,955,77,2.0000000949949026
Typical,1,4,13,0,0,0,0,-17,-15,955,77,1.500000071246177
Typical,1,4,14,0,27,0,27,-18,-15,955,73,2.0000000949949026
Typical,1,4,15,0,103,206,143,-19,-16,955,73,1.500000071246177
Typical,1,4,16,0,47,0,47,-18,-15,955,73,3.000000142492354
Typical,1,4,17,0,125,122,170,-17,-14,955,74,2.5000001187436283
Typical,1,4,18,0,180,589,411,-17,-14,955,74,3.6000001709908247
Typical,1,4,19,0,128,0,128,-18,-14,955,69,2.5000001187436283
Typical,1,4,20,0,116,392,236,-17,-14,955,74,3.000000142492354
Typical,1,4,21,0,63,510,167,-18,-14,955,73,5.800000275485218
Typical,1,4,22,0,18,306,40,-18,-14,955,68,1.4000000664964318
Typical,1,4,23,0,0,0,0,-18,-13,955,68,2.1000000997446477
Typical,1,5,0,0,0,0,0,-16,-13,955,71,2.900000137742609
Typical,1,5,1,0,0,0,0,-15,-12,955,74,3.6000001709908247
Typical,1,5,2,0,0,0,0,-14,-11,955,73,4.300000204239041
Typical,1,5,3,0,0,0,0,-14,-10,955,74,5.0000002374872565
Typical,1,5,4,0,0,0,0,-11,-8,955,77,5.700000270735472
Typical,1,5,5,0,0,0,0,-9,-6,955,77,6.400000303983688
Typical,1,5,6,0,0,0,0,-9,-5,955,69,7.200000341981649
Typical,1,5,7,0,0,0,0,-6,-3,955,76,7.900000375229865
Typical,1,5,8,0,0,0,0,-6,-2,955,72,8.600000408478081
Typical,1,5,9,0,0,0,0,-5,-1,955,71,9.300000441726297
Typical,1,5,10,0,0,0,0,-3,0,955,75,9.700000460725278
Typical,1,5,11,0,0,0,0,-3,0,955,73,9.600000455975533
Typical,1,5,12,0,0,0,0,-2,1,955,74,9.600000455975533
Typical,1,5,13,0,0,0,0,-2,1,955,75,9.000000427477062
Typical,1,5,14,0,26,0,26,-2,2,955,72,9.900000470224768
Typical,1,5,15,0,105,192,142,-3,2,955,61,7.3000003467313945
Typical,1,5,16,0,88,0,88,-3,3,955,59,8.700000413227826
Typical,1,5,17,0,161,128,208,-1,4,955,62,8.700000413227826
Typical,1,5,18,0,145,553,362,-1,5,955,59,9.100000432226807
Typical,1,5,19,0,85,767,371,0,6,955,58,9.400000446476042
Typical,1,5,20,0,139,526,302,0,7,955,60,9.900000470224768
Typical,1,5,21,0,30,0,30,0,7,955,59,8.900000422727317
Typical,1,5,22,0,27,138,37,-1,6,955,57,8.500000403728336
Typical,1,5,23,0,0,0,0,-1,5,955,61,7.60000036098063
Typical,1,6,0,0,0,0,0,0,5,955,65,7.3000003467313945
Typical,1,6,1,0,0,0,0,-1,4,955,64,6.800000322982669
Typical,1,6,2,0,0,0,0,-1,4,955,65,6.400000303983688
Typical,1,6,3,0,0,0,0,-2,3,955,66,6.300000299233943
Typical,1,6,4,0,0,0,0,-1,3,955,69,6.300000299233943
Typical,1,6,5,0,0,0,0,-1,3,955,66,6.200000294484198
Typical,1,6,6,0,0,0,0,-3,2,955,66,6.100000289734453
Typical,1,6,7,0,0,0,0,-2,2,955,69,6.000000284984708
Typical,1,6,8,0,0,0,0,-2,2,955,67,5.900000280234963
Typical,1,6,9,0,0,0,0,-2,2,955,67,5.900000280234963
Typical,1,6,10,0,0,0,0,-2,2,955,68,5.800000275485218
Typical,1,6,11,0,0,0,0,-2,3,955,68,5.700000270735472
Typical,1,6,12,0,0,0,0,-2,2,955,67,7.80000037048012
Typical,1,6,13,0,0,0,0,-3,1,955,65,7.000000332482159
Typical,1,6,14,0,26,0,26,-3,0,955,70,9.700000460725278
Typical,1,6,15,0,85,371,158,-3,0,955,70,9.200000436976552
Typical,1,6,16,0,77,746,303,-1,1,955,77,9.900000470224768
Typical,1,6,17,0,56,852,372,-1,2,955,77,8.00000037997961
Typical,1,6,18,0,78,842,411,-3,1,955,65,9.600000455975533
Typical,1,6,19,0,107,672,360,-6,0,955,57,8.2000003894791
Typical,1,6,20,0,125,339,231,-10,-1,955,47,8.300000394228846
Typical,1,6,21,0,64,568,183,-10,-2,955,51,6.400000303983688
Typical,1,6,22,0,20,325,44,-12,-4,955,50,5.0000002374872565
Typical,1,6,23,0,0,0,0,-14,-7,955,54,4.600000218488276
Typical,1,7,0,0,0,0,0,-16,-9,955,53,3.6000001709908247
Typical,1,7,1,0,0,0,0,-17,-12,955,63,4.10000019473955
Typical,1,7,2,0,0,0,0,-18,-13,955,63,3.000000142492354
Typical,1,7,3,0,0,0,0,-19,-13,955,57,3.6000001709908247
Typical,1,7,4,0,0,0,0,-17,-13,955,69,1.500000071246177
Typical,1,7,5,0,0,0,0,-19,-14,955,66,2.5000001187436283
Typical,1,7,6,0,0,0,0,-21,-16,955,62,0.0
Typical,1,7,7,0,0,0,0,-21,-17,955,68,1.500000071246177
Typical,1,7,8,0,0,0,0,-21,-17,955,68,1.500000071246177
Typical,1,7,9,0,0,0,0,-21,-16,955,62,1.500000071246177
Typical,1,7,10,0,0,0,0,-18,-14,955,69,2.5000001187436283
Typical,1,7,11,0,0,0,0,-18,-13,955,63,3.000000142492354
Typical,1,7,12,0,0,0,0,-17,-13,955,69,3.000000142492354
Typical,1,7,13,0,0,0,0,-17,-12,955,63,3.6000001709908247
Typical,1,7,14,0,26,0,26,-16,-11,955,63,3.6000001709908247
Typical,1,7,15,0,67,424,150,-12,-7,955,64,5.100000242237002
Typical,1,7,16,0,114,578,289,-10,-5,955,65,5.100000242237002
Typical,1,7,17,0,162,91,196,-8,-2,955,60,6.600000313483179
Typical,1,7,18,0,203,265,308,-8,-1,955,55,7.200000341981649
Typical,1,7,19,0,76,0,76,-6,1,955,56,5.600000265985727
Typical,1,7,20,0,132,70,154,-6,1,955,56,5.100000242237002
Typical,1,7,21,0,83,495,188,-4,2,955,62,4.10000019473955
Typical,1,7,22,0,22,333,48,-4,1,955,67,4.10000019473955
Typical,1,7,23,0,0,0,0,-6,-1,955,66,3.6000001709908247
Typical,1,8,0,0,0,0,0,-7,-2,955,65,5.100000242237002
Typical,1,8,1,0,0,0,0,-7,-1,955,60,4.600000218488276
Typical,1,8,2,0,0,0,0,-7,-2,955,65,6.600000313483179
Typical,1,8,3,0,0,0,0,-8,-2,955,60,7.200000341981649
Typical,1,8,4,0,0,0,0,-9,-3,955,60,2.5000001187436283
Typical,1,8,5,0,0,0,0,-8,-2,955,60,2.0000000949949026
Typical,1,8,6,0,0,0,0,-9,-2,955,55,2.0000000949949026
Typical,1,8,7,0,0,0,0,-9,-3,955,60,3.000000142492354
Typical,1,8,8,0,0,0,0,-10,-4,955,59,2.0000000949949026
Typical,1,8,9,0,0,0,0,-11,-4,955,54,2.0000000949949026
Typical,1,8,10,0,0,0,0,-11,-5,955,59,2.5000001187436283
Typical,1,8,11,0,0,0,0,-11,-5,955,59,0.0
Typical,1,8,12,0,0,0,0,-13,-8,955,64,0.0
Typical,1,8,13,0,0,0,0,-13,-8,955,64,1.500000071246177
Typical,1,8,14,0,25,0,25,-12,-7,955,64,2.5000001187436283
Typical,1,8,15,0,78,523,182,-9,-2,955,55,2.0000000949949026
Typical,1,8,16,0,138,342,242,-7,0,955,55,3.000000142492354
Typical,1,8,17,0,88,0,88,-5,5,955,46,3.000000142492354
Typical,1,8,18,0,177,162,242,-6,6,955,39,2.5000001187436283
Typical,1,8,19,0,155,36,169,-5,7,955,40,3.000000142492354
Typical,1,8,20,0,61,0,61,-6,7,955,37,3.6000001709908247
Typical,1,8,21,0,100,434,194,-4,7,955,44,3.6000001709908247
Typical,1,8,22,0,22,340,49,-6,4,955,45,3.000000142492354
Typical,1,8,23,0,0,0,0,-7,1,955,51,2.5000001187436283
Typical,1,9,0,0,0,0,0,-8,-1,955,55,1.500000071246177
Typical,1,9,1,0,0,0,0,-7,-1,955,61,1.3000000617466867
Typical,1,9,2,0,0,0,0,-8,-2,955,61,1.7000000807456672
Typical,1,9,3,0,0,0,0,-8,-2,955,62,1.0000000474974513
Typical,1,9,4,0,0,0,0,-9,-5,955,68,1.9000000902451575
Typical,1,9,5,0,0,0,0,-10,-6,955,72,2.200000104494393
Typical,1,9,6,0,0,0,0,-10,-7,955,77,2.1000000997446477
Typical,1,9,7,0,0,0,0,-10,-8,955,85,3.000000142492354
Typical,1,9,8,0,0,0,0,-10,-8,955,86,3.4000001614913344
