Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,722016.0,-,FL,-,24.733,-81.05,0,2,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,8,12,1025,76,4.10000019473955
Typical,1,1,1,0,0,0,0,7,12,1025,71,3.6000001709908247
Typical,1,1,2,0,0,0,0,7,12,1026,71,3.100000147242099
Typical,1,1,3,0,0,0,0,6,12,1026,67,4.10000019473955
Typical,1,1,4,0,0,0,0,6,11,1026,71,4.10000019473955
Typical,1,1,5,0,0,0,0,21,24,1013,82,3.3000001567415893
Typical,1,1,6,0,0,0,0,21,24,1013,84,3.100000147242099
Typical,1,1,7,0,0,0,0,21,23,1013,86,2.900000137742609
Typical,1,1,8,0,0,0,0,21,23,1013,87,2.8000001329928637
Typical,1,1,9,0,0,0,0,21,23,1013,89,2.6000001234933734
Typical,1,1,10,0,0,0,0,21,23,1013,89,2.6000001234933734
Typical,1,1,11,0,0,0,0,21,23,1013,89,3.100000147242099
Typical,1,1,12,0,22,145,34,21,22,1013,94,2.1000000997446477
Typical,1,1,13,0,41,384,142,20,22,1013,88,2.300000109244138
Typical,1,1,14,0,100,578,350,20,23,1013,83,2.400000113993883
Typical,1,1,15,0,94,432,337,20,24,1013,78,2.6000001234933734
Typical,1,1,16,0,308,179,424,20,24,1013,77,3.4000001614913344
Typical,1,1,17,0,216,306,422,21,25,1013,76,4.10000019473955
Typical,1,1,18,0,184,490,498,22,26,1013,79,3.800000180490315
Typical,1,1,19,0,110,661,477,23,26,1013,82,3.4000001614913344
Typical,1,1,20,0,75,634,343,22,27,1013,77,3.100000147242099
Typical,1,1,21,0,74,456,188,20,24,1013,78,2.8000001329928637
Typical,1,1,22,0,15,222,31,20,24,1013,78,2.400000113993883
Typical,1,1,23,0,0,0,0,21,24,1013,83,2.1000000997446477
Typical,1,2,0,0,0,0,0,20,23,1013,84,1.600000075995922
Typical,1,2,1,0,0,0,0,20,23,1013,84,1.1000000522471964
Typical,1,2,2,0,0,0,0,19,22,1013,83,0.5000000237487257
Typical,1,2,3,0,0,0,0,19,22,1013,83,0.0
Typical,1,2,4,0,0,0,0,18,21,1013,84,0.3000000142492354
Typical,1,2,5,0,0,0,0,18,21,1013,83,0.5000000237487257
Typical,1,2,6,0,0,0,0,18,21,1013,84,0.800000037997961
Typical,1,2,7,0,0,0,0,19,22,1013,83,1.0000000474974513
Typical,1,2,8,0,0,0,0,19,22,1013,83,1.3000000617466867
Typical,1,2,9,0,0,0,0,20,23,1013,83,1.500000071246177
Typical,1,2,10,0,0,0,0,19,22,1013,85,2.1000000997446477
