Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726588.0,-,MN,-,44.083,-91.7,0,200,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-9,-7,989,80,2.6000001234933734
Typical,1,1,1,0,0,0,0,-10,-7,989,77,2.1000000997446477
Typical,1,1,2,0,0,0,0,-10,-6,989,75,2.0000000949949026
Typical,1,1,3,0,0,0,0,-10,-6,989,72,1.9000000902451575
Typical,1,1,4,0,0,0,0,-11,-7,989,70,1.8000000854954123
Typical,1,1,5,0,0,0,0,-11,-7,989,68,1.7000000807456672
Typical,1,1,6,0,0,0,0,-1,4,989,69,3.100000147242099
Typical,1,1,7,0,0,0,0,-2,3,989,68,3.100000147242099
Typical,1,1,8,0,0,0,0,-3,3,989,63,3.6000001709908247
Typical,1,1,9,0,0,0,0,-3,2,989,67,2.1000000997446477
Typical,1,1,10,0,0,0,0,-4,0,989,72,2.1000000997446477
Typical,1,1,11,0,0,0,0,-4,-1,989,78,2.6000001234933734
Typical,1,1,12,0,0,0,0,-4,-2,989,85,1.500000071246177
Typical,1,1,13,0,0,0,0,-4,-2,989,85,0.0
Typical,1,1,14,0,55,234,81,-4,-2,989,85,2.1000000997446477
Typical,1,1,15,0,72,500,190,-4,-1,989,78,1.500000071246177
Typical,1,1,16,0,121,511,288,-5,0,989,66,2.1000000997446477
Typical,1,1,17,0,176,109,217,-5,0,989,66,1.500000071246177
Typical,1,1,18,0,185,90,220,-5,1,989,61,2.6000001234933734
Typical,1,1,19,0,162,106,199,-5,1,989,61,1.500000071246177
Typical,1,1,20,0,113,35,122,-4,1,989,67,2.6000001234933734
Typical,1,1,21,0,58,86,72,-4,1,989,67,2.6000001234933734
Typical,1,1,22,0,1,0,1,-4,0,989,72,1.500000071246177
Typical,1,1,23,0,0,0,0,-4,0,989,72,2.1000000997446477
Typical,1,2,0,0,0,0,0,-3,0,989,72,2.900000137742609
Typical,1,2,1,0,0,0,0,-3,1,989,72,3.6000001709908247
Typical,1,2,2,0,0,0,0,-1,1,989,86,4.10000019473955
Typical,1,2,3,0,0,0,0,0,1,989,93,4.600000218488276
Typical,1,2,4,0,0,0,0,0,1,989,93,5.100000242237002
Typical,1,2,5,0,0,0,0,1,2,989,93,4.600000218488276
Typical,1,2,6,0,0,0,0,0,1,989,93,4.10000019473955
Typical,1,2,7,0,0,0,0,1,1,989,100,2.1000000997446477
Typical,1,2,8,0,0,0,0,1,2,989,93,1.500000071246177
Typical,1,2,9,0,0,0,0,1,2,989,93,0.0
Typical,1,2,10,0,0,0,0,1,2,989,93,0.0
Typical,1,2,11,0,0,0,0,1,2,989,93,0.0
Typical,1,2,12,0,0,0,0,1,2,989,93,2.1000000997446477
Typical,1,2,13,0,0,0,0,1,1,989,100,2.6000001234933734
Typical,1,2,14,0,12,0,12,1,1,989,100,1.500000071246177
Typical,1,2,15,0,37,0,37,1,1,989,100,0.0
Typical,1,2,16,0,79,0,79,0,1,989,93,4.10000019473955
Typical,1,2,17,0,62,0,62,-1,0,989,92,3.100000147242099
Typical,1,2,18,0,65,0,65,-2,-1,989,92,3.100000147242099
Typical,1,2,19,0,68,0,68,-2,0,989,85,3.6000001709908247
Typical,1,2,20,0,59,0,59,-2,0,989,85,3.100000147242099
Typical,1,2,21,0,36,0,36,-1,0,989,92,3.100000147242099
Typical,1,2,22,0,2,0,2,-2,-1,989,92,0.0
Typical,1,2,23,0,0,0,0,-4,-3,989,92,0.0
Typical,1,3,0,0,0,0,0,-4,-4,989,100,0.0
Typical,1,3,1,0,0,0,0,-3,-3,989,100,0.0
Typical,1,3,2,0,0,0,0,-2,-2,989,100,0.0
Typical,1,3,3,0,0,0,0,-3,0,989,78,2.6000001234933734
Typical,1,3,4,0,0,0,0,-3,-1,989,85,1.500000071246177
Typical,1,3,5,0,0,0,0,-3,-1,989,85,1.500000071246177
Typical,1,3,6,0,0,0,0,-3,-1,989,85,2.1000000997446477
Typical,1,3,7,0,0,0,0,-4,-2,989,85,3.100000147242099
Typical,1,3,8,0,0,0,0,-4,-2,989,85,1.500000071246177
Typical,1,3,9,0,0,0,0,-4,-2,989,85,1.500000071246177
Typical,1,3,10,0,0,0,0,-4,-2,989,85,2.6000001234933734
Typical,1,3,11,0,0,0,0,-4,-2,989,85,3.100000147242099
Typical,1,3,12,0,0,0,0,-4,-2,989,85,2.6000001234933734
Typical,1,3,13,0,0,0,0,-4,-2,989,85,3.100000147242099
Typical,1,3,14,0,54,31,58,-4,-2,989,85,3.6000001709908247
Typical,1,3,15,0,96,26,102,-4,-2,989,85,4.10000019473955
Typical,1,3,16,0,143,123,183,-4,-2,989,85,3.100000147242099
Typical,1,3,17,0,105,0,105,-4,-2,989,85,2.6000001234933734
Typical,1,3,18,0,113,0,113,-4,-2,989,85,2.6000001234933734
Typical,1,3,19,0,74,0,74,-4,-2,989,85,2.6000001234933734
Typical,1,3,20,0,48,0,48,-4,-3,989,92,2.1000000997446477
Typical,1,3,21,0,23,0,23,-3,-3,989,100,2.1000000997446477
Typical,1,3,22,0,4,0,4,-4,-3,989,92,2.6000001234933734
Typical,1,3,23,0,0,0,0,-4,-3,989,92,2.6000001234933734
Typical,1,4,0,0,0,0,0,-5,-3,989,84,3.100000147242099
Typical,1,4,1,0,0,0,0,-6,-3,989,77,3.6000001709908247
Typical,1,4,2,0,0,0,0,-6,-4,989,84,5.700000270735472
Typical,1,4,3,0,0,0,0,-6,-4,989,84,5.100000242237002
Typical,1,4,4,0,0,0,0,-6,-4,989,84,6.200000294484198
Typical,1,4,5,0,0,0,0,-7,-4,989,77,5.100000242237002
Typical,1,4,6,0,0,0,0,-7,-5,989,84,3.6000001709908247
Typical,1,4,7,0,0,0,0,-8,-6,989,84,6.200000294484198
Typical,1,4,8,0,0,0,0,-7,-6,989,92,6.200000294484198
Typical,1,4,9,0,0,0,0,-6,-4,989,84,4.10000019473955
Typical,1,4,10,0,0,0,0,-5,-4,989,92,2.6000001234933734
Typical,1,4,11,0,0,0,0,-5,-3,989,84,4.600000218488276
Typical,1,4,12,0,0,0,0,-6,-3,989,77,5.100000242237002
Typical,1,4,13,0,0,0,0,-6,-4,989,84,5.100000242237002
Typical,1,4,14,0,12,0,12,-7,-4,989,77,6.200000294484198
Typical,1,4,15,0,37,0,37,-8,-5,989,77,6.200000294484198
Typical,1,4,16,0,72,0,72,-9,-6,989,77,3.6000001709908247
Typical,1,4,17,0,144,12,149,-9,-6,989,77,5.700000270735472
Typical,1,4,18,0,150,12,155,-10,-6,989,70,5.700000270735472
Typical,1,4,19,0,135,6,137,-10,-6,989,70,4.10000019473955
Typical,1,4,20,0,104,12,107,-10,-6,989,70,5.100000242237002
Typical,1,4,21,0,56,157,82,-11,-7,989,70,5.100000242237002
Typical,1,4,22,0,5,3,5,-11,-7,989,70,3.6000001709908247
Typical,1,4,23,0,0,0,0,-12,-8,989,70,3.100000147242099
Typical,1,5,0,0,0,0,0,-13,-9,989,70,2.6000001234933734
Typical,1,5,1,0,0,0,0,-14,-12,989,83,1.500000071246177
Typical,1,5,2,0,0,0,0,-14,-12,989,83,0.0
Typical,1,5,3,0,0,0,0,-16,-14,989,83,0.0
Typical,1,5,4,0,0,0,0,-17,-14,989,76,0.0
Typical,1,5,5,0,0,0,0,-17,-16,989,91,0.0
Typical,1,5,6,0,0,0,0,-17,-15,989,83,0.0
Typical,1,5,7,0,0,0,0,-17,-14,989,76,0.0
Typical,1,5,8,0,0,0,0,-16,-14,989,83,0.0
Typical,1,5,9,0,0,0,0,-16,-14,989,83,0.0
Typical,1,5,10,0,0,0,0,-16,-13,989,76,1.500000071246177
Typical,1,5,11,0,0,0,0,-14,-13,989,91,2.1000000997446477
Typical,1,5,12,0,0,0,0,-14,-12,989,83,2.1000000997446477
Typical,1,5,13,0,0,0,0,-13,-10,989,76,2.1000000997446477
Typical,1,5,14,0,12,0,12,-12,-9,989,77,2.6000001234933734
Typical,1,5,15,0,73,0,73,-12,-8,989,70,3.6000001709908247
Typical,1,5,16,0,52,0,52,-11,-8,989,77,4.600000218488276
Typical,1,5,17,0,62,0,62,-12,-6,989,59,5.700000270735472
Typical,1,5,18,0,66,0,66,-12,-5,989,54,6.200000294484198
Typical,1,5,19,0,57,0,57,-11,-4,989,56,6.000000284984708
Typical,1,5,20,0,80,0,80,-10,-4,989,59,5.700000270735472
Typical,1,5,21,0,46,0,46,-9,-3,989,60,5.100000242237002
Typical,1,5,22,0,5,21,6,-9,-3,989,60,5.300000251736492
Typical,1,5,23,0,0,0,0,-8,-2,989,60,5.500000261235982
Typical,1,6,0,0,0,0,0,-8,-2,989,60,5.700000270735472
Typical,1,6,1,0,0,0,0,-6,-2,989,71,4.600000218488276
Typical,1,6,2,0,0,0,0,-4,-2,989,85,5.700000270735472
Typical,1,6,3,0,0,0,0,-4,-2,989,85,2.1000000997446477
Typical,1,6,4,0,0,0,0,-4,-1,989,78,5.100000242237002
Typical,1,6,5,0,0,0,0,-4,-1,989,78,4.600000218488276
Typical,1,6,6,0,0,0,0,-3,-1,989,85,4.600000218488276
Typical,1,6,7,0,0,0,0,-2,0,989,85,4.10000019473955
Typical,1,6,8,0,0,0,0,-2,1,989,79,3.6000001709908247
Typical,1,6,9,0,0,0,0,-3,1,989,72,2.6000001234933734
Typical,1,6,10,0,0,0,0,-3,0,989,78,3.100000147242099
Typical,1,6,11,0,0,0,0,-4,-1,989,78,4.600000218488276
Typical,1,6,12,0,0,0,0,-6,-2,989,71,5.700000270735472
Typical,1,6,13,0,0,0,0,-8,-3,989,65,6.700000318232924
Typical,1,6,14,0,56,117,69,-9,-4,989,65,6.700000318232924
Typical,1,6,15,0,88,0,88,-9,-3,989,60,6.700000318232924
Typical,1,6,16,0,133,566,321,-9,-3,989,60,6.700000318232924
Typical,1,6,17,0,71,763,366,-9,-3,989,60,5.100000242237002
Typical,1,6,18,0,79,749,376,-9,-2,989,55,5.700000270735472
Typical,1,6,19,0,69,776,349,-9,-3,989,60,5.700000270735472
Typical,1,6,20,0,57,690,252,-11,-4,989,54,5.100000242237002
Typical,1,6,21,0,37,545,128,-11,-4,989,54,3.6000001709908247
Typical,1,6,22,0,6,57,8,-10,-5,989,65,2.6000001234933734
Typical,1,6,23,0,0,0,0,-9,-4,989,65,2.1000000997446477
Typical,1,7,0,0,0,0,0,-8,-4,989,71,1.500000071246177
Typical,1,7,1,0,0,0,0,-7,-5,989,84,2.6000001234933734
Typical,1,7,2,0,0,0,0,-9,-5,989,71,6.200000294484198
