Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726665.0,-,WY,-,43.967,-107.95,0,1294,-7,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-5,-3,867,84,2.6000001234933734
Typical,1,1,1,0,0,0,0,-6,-3,866,77,2.6000001234933734
Typical,1,1,2,0,0,0,0,-5,-3,866,84,2.1000000997446477
Typical,1,1,3,0,0,0,0,-5,-3,866,84,1.1000000522471964
Typical,1,1,4,0,0,0,0,-6,-4,866,84,0.0
Typical,1,1,5,0,0,0,0,-6,-4,865,85,0.5000000237487257
Typical,1,1,6,0,0,0,0,-6,-5,865,88,0.9000000427477062
Typical,1,1,7,0,0,0,0,-20,-17,874,74,0.0
Typical,1,1,8,0,0,0,0,-22,-18,874,70,0.0
Typical,1,1,9,0,0,0,0,-23,-19,874,65,0.0
Typical,1,1,10,0,0,0,0,-24,-19,874,63,0.0
Typical,1,1,11,0,0,0,0,-25,-20,873,59,0.0
Typical,1,1,12,0,0,0,0,-27,-21,873,55,0.0
Typical,1,1,13,0,0,0,0,-25,-20,874,61,0.0
Typical,1,1,14,0,0,36,0,-24,-20,875,68,0.0
Typical,1,1,15,0,24,455,68,-21,-18,876,73,0.0
Typical,1,1,16,0,40,729,205,-19,-16,877,73,2.5000001187436283
Typical,1,1,17,0,89,564,270,-20,-12,877,47,2.200000104494393
Typical,1,1,18,0,121,702,386,-17,-9,876,50,2.1000000997446477
Typical,1,1,19,0,80,789,387,-16,-7,876,44,1.9000000902451575
Typical,1,1,20,0,64,791,345,-16,-5,876,40,1.600000075995922
Typical,1,1,21,0,54,690,247,-15,-4,875,38,1.4000000664964318
Typical,1,1,22,0,42,564,137,-15,-4,875,39,1.2000000569969416
Typical,1,1,23,0,9,207,19,-17,-7,875,42,0.0
Typical,1,2,0,0,0,0,0,-17,-11,875,57,0.0
Typical,1,2,1,0,0,0,0,-17,-11,875,62,0.0
Typical,1,2,2,0,0,0,0,-16,-12,874,65,0.0
Typical,1,2,3,0,0,0,0,-16,-12,874,70,0.0
Typical,1,2,4,0,0,0,0,-17,-15,873,81,0.0
Typical,1,2,5,0,0,0,0,-18,-15,873,78,0.3000000142492354
Typical,1,2,6,0,0,0,0,-19,-16,873,78,0.6000000284984708
Typical,1,2,7,0,0,0,0,-20,-17,873,75,0.9000000427477062
Typical,1,2,8,0,0,0,0,-21,-17,873,71,1.3000000617466867
Typical,1,2,9,0,0,0,0,-21,-17,873,67,1.600000075995922
Typical,1,2,10,0,0,0,0,-22,-17,873,65,1.9000000902451575
Typical,1,2,11,0,0,0,0,-23,-18,873,61,2.200000104494393
Typical,1,2,12,0,0,0,0,-24,-18,873,55,2.5000001187436283
Typical,1,2,13,0,0,0,0,-22,-18,873,67,1.3000000617466867
Typical,1,2,14,0,0,29,1,-21,-18,873,80,0.0
Typical,1,2,15,0,26,429,68,-19,-16,875,73,1.500000071246177
Typical,1,2,16,0,61,380,147,-17,-12,876,63,3.000000142492354
Typical,1,2,17,0,128,498,289,-17,-8,877,42,3.000000142492354
Typical,1,2,18,0,132,450,303,-18,-4,877,29,3.000000142492354
Typical,1,2,19,0,149,354,287,-16,-3,877,31,3.4000001614913344
