Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726676.0,-,MT,-,47.133,-104.8,0,749,-7,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-5,-3,927,83,6.100000289734453
Typical,1,1,1,0,0,0,0,-5,-3,927,87,3.6000001709908247
Typical,1,1,2,0,0,0,0,-4,-2,927,87,4.600000218488276
Typical,1,1,3,0,0,0,0,-5,-3,927,83,9.200000436976552
Typical,1,1,4,0,0,0,0,-5,-3,927,83,8.700000413227826
Typical,1,1,5,0,0,0,0,-5,-3,927,83,7.200000341981649
Typical,1,1,6,0,0,0,0,-6,-3,927,79,9.700000460725278
Typical,1,1,7,0,0,0,0,-7,-4,927,77,2.1000000997446477
Typical,1,1,8,0,0,0,0,-7,-5,927,84,1.500000071246177
Typical,1,1,9,0,0,0,0,-7,-4,927,77,1.500000071246177
Typical,1,1,10,0,0,0,0,-6,-4,927,84,0.0
Typical,1,1,11,0,0,0,0,-6,-4,927,84,1.500000071246177
Typical,1,1,12,0,0,0,0,-6,-3,927,77,0.0
Typical,1,1,13,0,0,0,0,-6,-3,927,77,1.500000071246177
Typical,1,1,14,0,0,0,0,-3,-1,927,85,5.700000270735472
Typical,1,1,15,0,12,0,12,-3,-1,927,85,5.100000242237002
Typical,1,1,16,0,52,0,52,-3,-1,927,85,8.700000413227826
Typical,1,1,17,0,46,0,46,-2,0,927,85,7.200000341981649
Typical,1,1,18,0,93,0,93,-2,0,927,85,6.200000294484198
Typical,1,1,19,0,53,0,53,-2,0,927,85,5.700000270735472
Typical,1,1,20,0,121,200,180,-2,1,927,79,8.2000003894791
Typical,1,1,21,0,83,114,108,-3,0,927,78,5.700000270735472
Typical,1,1,22,0,28,218,51,-3,0,927,78,5.700000270735472
Typical,1,1,23,0,0,0,0,-6,-3,927,77,2.6000001234933734
Typical,1,2,0,0,0,0,0,-8,-6,927,84,0.0
Typical,1,2,1,0,0,0,0,-7,-7,927,93,1.600000075995922
Typical,1,2,2,0,0,0,0,-7,-7,927,100,3.100000147242099
Typical,1,2,3,0,0,0,0,-6,-5,927,92,3.6000001709908247
Typical,1,2,4,0,0,0,0,-7,-6,927,92,2.6000001234933734
Typical,1,2,5,0,0,0,0,-9,-7,927,84,3.100000147242099
Typical,1,2,6,0,0,0,0,-7,-6,927,92,3.6000001709908247
Typical,1,2,7,0,0,0,0,-7,-6,927,92,4.10000019473955
Typical,1,2,8,0,0,0,0,-7,-6,927,92,4.10000019473955
Typical,1,2,9,0,0,0,0,-8,-7,927,92,4.10000019473955
Typical,1,2,10,0,0,0,0,-8,-7,927,92,4.10000019473955
Typical,1,2,11,0,0,0,0,-9,-7,927,84,3.6000001709908247
Typical,1,2,12,0,0,0,0,-8,-6,927,84,5.700000270735472
Typical,1,2,13,0,0,0,0,-10,-7,927,77,4.600000218488276
Typical,1,2,14,0,0,0,0,-10,-8,927,84,3.100000147242099
Typical,1,2,15,0,50,0,50,-8,-6,927,84,3.100000147242099
Typical,1,2,16,0,76,594,200,-7,-4,927,77,2.6000001234933734
Typical,1,2,17,0,100,512,249,-6,-3,927,77,5.100000242237002
Typical,1,2,18,0,68,757,322,-4,-1,927,78,5.100000242237002
Typical,1,2,19,0,50,849,337,-5,2,927,57,5.100000242237002
Typical,1,2,20,0,41,806,281,-5,4,927,49,4.10000019473955
Typical,1,2,21,0,60,622,196,-5,4,927,49,5.700000270735472
Typical,1,2,22,0,35,194,55,-5,4,927,49,3.6000001709908247
Typical,1,2,23,0,0,0,0,-5,2,927,57,5.100000242237002
Typical,1,3,0,0,0,0,0,-4,2,927,62,4.10000019473955
Typical,1,3,1,0,0,0,0,-4,1,927,67,3.100000147242099
Typical,1,3,2,0,0,0,0,-4,2,927,62,4.10000019473955
Typical,1,3,3,0,0,0,0,-4,1,927,67,4.600000218488276
Typical,1,3,4,0,0,0,0,-4,3,927,58,3.6000001709908247
Typical,1,3,5,0,0,0,0,-6,-1,927,66,3.6000001709908247
Typical,1,3,6,0,0,0,0,-5,-2,927,78,3.6000001709908247
Typical,1,3,7,0,0,0,0,-6,-3,927,77,3.100000147242099
Typical,1,3,8,0,0,0,0,-6,-1,927,66,3.100000147242099
Typical,1,3,9,0,0,0,0,-5,0,927,66,3.100000147242099
Typical,1,3,10,0,0,0,0,-6,-2,927,71,2.6000001234933734
Typical,1,3,11,0,0,0,0,-6,-3,927,77,3.100000147242099
Typical,1,3,12,0,0,0,0,-6,-2,927,71,3.100000147242099
Typical,1,3,13,0,0,0,0,-6,-2,927,71,3.100000147242099
Typical,1,3,14,0,0,0,0,-5,-2,927,78,4.600000218488276
Typical,1,3,15,0,12,0,12,-3,-1,927,85,3.6000001709908247
