Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,726884.0,-,OR,-,45.283,-118.0,0,827,-8,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,5,9,919,76,1.3000000617466867
Typical,1,1,1,0,0,0,0,5,9,919,73,2.0000000949949026
Typical,1,1,2,0,0,0,0,4,9,919,73,2.7000001282431185
Typical,1,1,3,0,0,0,0,4,9,919,70,3.4000001614913344
Typical,1,1,4,0,0,0,0,3,9,919,68,4.000000189989805
Typical,1,1,5,0,0,0,0,3,9,919,65,4.700000223238021
Typical,1,1,6,0,0,0,0,3,9,919,63,5.400000256486237
Typical,1,1,7,0,0,0,0,2,9,919,61,6.000000284984708
Typical,1,1,8,0,0,0,0,-2,1,919,74,0.6000000284984708
Typical,1,1,9,0,0,0,0,-2,1,919,70,0.6000000284984708
Typical,1,1,10,0,0,0,0,-2,2,919,66,0.7000000332482159
Typical,1,1,11,0,0,0,0,-2,3,919,62,2.8000001329928637
Typical,1,1,12,0,0,0,0,-2,4,919,58,4.900000232737511
Typical,1,1,13,0,0,0,0,-2,5,919,55,5.400000256486237
Typical,1,1,14,0,0,0,0,-2,4,919,59,7.500000356230885
Typical,1,1,15,0,0,0,0,-2,6,919,49,5.0000002374872565
Typical,1,1,16,0,46,90,58,0,6,919,63,8.600000408478081
Typical,1,1,17,0,93,194,140,0,8,919,54,7.60000036098063
Typical,1,1,18,0,120,12,124,0,9,919,53,9.200000436976552
Typical,1,1,19,0,130,0,130,0,9,919,53,8.700000413227826
Typical,1,1,20,0,139,6,142,0,8,919,57,6.600000313483179
Typical,1,1,21,0,101,0,101,0,9,919,53,6.100000289734453
Typical,1,1,22,0,65,0,65,0,9,919,54,6.600000313483179
Typical,1,1,23,0,31,0,31,0,9,919,54,6.100000289734453
Typical,1,2,0,0,0,0,0,0,9,919,55,6.600000313483179
Typical,1,2,1,0,0,0,0,0,8,919,60,9.700000460725278
Typical,1,2,2,0,0,0,0,0,8,919,60,8.2000003894791
Typical,1,2,3,0,0,0,0,0,8,919,60,5.600000265985727
Typical,1,2,4,0,0,0,0,0,8,919,57,6.600000313483179
Typical,1,2,5,0,0,0,0,0,8,919,57,8.700000413227826
Typical,1,2,6,0,0,0,0,1,7,919,62,5.100000242237002
Typical,1,2,7,0,0,0,0,0,7,919,59,4.600000218488276
Typical,1,2,8,0,0,0,0,0,8,919,55,6.600000313483179
Typical,1,2,9,0,0,0,0,0,7,919,59,5.100000242237002
Typical,1,2,10,0,0,0,0,0,7,919,60,1.500000071246177
Typical,1,2,11,0,0,0,0,0,7,919,60,3.000000142492354
Typical,1,2,12,0,0,0,0,0,7,919,61,3.000000142492354
Typical,1,2,13,0,0,0,0,0,6,919,65,3.000000142492354
Typical,1,2,14,0,0,0,0,0,7,919,62,3.000000142492354
Typical,1,2,15,0,0,0,0,0,5,919,72,0.5000000237487257
Typical,1,2,16,0,13,0,13,1,6,919,72,1.1000000522471964
Typical,1,2,17,0,56,0,56,1,5,919,79,2.200000104494393
Typical,1,2,18,0,92,0,92,1,7,919,69,3.3000001567415893
Typical,1,2,19,0,59,0,59,1,5,919,80,4.500000213738531
Typical,1,2,20,0,58,0,58,2,7,919,70,5.600000265985727
Typical,1,2,21,0,51,0,51,2,7,919,70,6.700000318232924
Typical,1,2,22,0,37,0,37,2,7,919,70,7.80000037048012
Typical,1,2,23,0,29,0,29,2,6,919,71,8.600000408478081
Typical,1,3,0,0,0,0,0,2,6,919,75,6.700000318232924
Typical,1,3,1,0,0,0,0,2,6,919,75,7.900000375229865
Typical,1,3,2,0,0,0,0,1,5,919,79,10.700000508222729
Typical,1,3,3,0,0,0,0,1,4,919,81,9.300000441726297
Typical,1,3,4,0,0,0,0,1,4,919,84,11.000000522471964
Typical,1,3,5,0,0,0,0,1,3,919,87,11.400000541470945
Typical,1,3,6,0,0,0,0,1,2,919,91,12.10000057471916
Typical,1,3,7,0,0,0,0,1,2,919,93,6.200000294484198
Typical,1,3,8,0,0,0,0,1,2,919,90,10.000000474974513
Typical,1,3,9,0,0,0,0,1,2,919,89,11.3000005367212
Typical,1,3,10,0,0,0,0,1,3,919,87,5.900000280234963
Typical,1,3,11,0,0,0,0,-1,5,919,64,10.300000489223748
Typical,1,3,12,0,0,0,0,-1,4,919,63,8.900000422727317
Typical,1,3,13,0,0,0,0,-2,4,919,60,10.800000512972474
Typical,1,3,14,0,0,0,0,-3,3,919,59,9.500000451225787
Typical,1,3,15,0,0,0,0,-3,3,919,57,7.700000365730375
Typical,1,3,16,0,42,100,55,-4,4,919,54,8.2000003894791
Typical,1,3,17,0,37,0,37,-2,5,919,57,9.200000436976552
Typical,1,3,18,0,76,0,76,-2,5,919,54,12.800000607967377
Typical,1,3,19,0,100,0,100,-2,6,919,54,10.800000512972474
Typical,1,3,20,0,164,43,180,-1,4,919,61,9.200000436976552
Typical,1,3,21,0,128,6,130,-1,5,919,61,12.800000607967377
Typical,1,3,22,0,82,0,82,0,5,919,63,9.200000436976552
Typical,1,3,23,0,56,0,56,0,5,919,64,12.300000584218651
Typical,1,4,0,0,0,0,0,0,5,919,66,12.300000584218651
Typical,1,4,1,0,0,0,0,0,5,919,68,10.200000484474003
Typical,1,4,2,0,0,0,0,0,5,919,69,8.700000413227826
Typical,1,4,3,0,0,0,0,0,5,919,73,7.200000341981649
Typical,1,4,4,0,0,0,0,1,5,919,79,10.200000484474003
Typical,1,4,5,0,0,0,0,1,5,919,79,12.800000607967377
Typical,1,4,6,0,0,0,0,1,5,919,79,4.600000218488276
Typical,1,4,7,0,0,0,0,1,5,919,76,2.0000000949949026
Typical,1,4,8,0,0,0,0,1,6,919,73,6.600000313483179
Typical,1,4,9,0,0,0,0,1,6,919,73,8.2000003894791
Typical,1,4,10,0,0,0,0,2,5,919,82,8.700000413227826
Typical,1,4,11,0,0,0,0,2,5,919,79,9.700000460725278
Typical,1,4,12,0,0,0,0,1,5,919,79,7.200000341981649
Typical,1,4,13,0,0,0,0,2,5,919,82,11.3000005367212
Typical,1,4,14,0,0,0,0,1,6,919,73,10.200000484474003
Typical,1,4,15,0,0,0,0,1,6,919,73,8.700000413227826
Typical,1,4,16,0,42,71,51,1,6,919,70,12.300000584218651
Typical,1,4,17,0,33,0,33,2,6,919,76,10.200000484474003
Typical,1,4,18,0,49,0,49,2,6,919,73,10.800000512972474
Typical,1,4,19,0,59,0,59,2,7,919,71,8.700000413227826
Typical,1,4,20,0,58,0,58,2,8,919,68,7.700000365730375
Typical,1,4,21,0,50,0,50,2,5,919,82,7.700000365730375
Typical,1,4,22,0,36,0,36,1,7,919,68,9.700000460725278
Typical,1,4,23,0,27,0,27,2,6,919,79,9.700000460725278
Typical,1,5,0,0,0,0,0,1,5,919,79,8.2000003894791
Typical,1,5,1,0,0,0,0,0,5,919,73,8.2000003894791
Typical,1,5,2,0,0,0,0,0,5,919,73,6.600000313483179
Typical,1,5,3,0,0,0,0,0,2,919,82,7.200000341981649
Typical,1,5,4,0,0,0,0,0,3,919,79,8.2000003894791
Typical,1,5,5,0,0,0,0,-2,5,919,55,6.600000313483179
Typical,1,5,6,0,0,0,0,-2,4,919,60,7.200000341981649
