Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,727437.0,-,MI,-,45.817,-88.117,0,360,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-11,-7,982,70,3.100000147242099
Typical,1,1,1,0,0,0,0,-10,-8,982,84,2.6000001234933734
Typical,1,1,2,0,0,0,0,-10,-8,982,84,2.900000137742609
Typical,1,1,3,0,0,0,0,-10,-8,982,84,3.100000147242099
Typical,1,1,4,0,0,0,0,-10,-8,982,84,3.6000001709908247
Typical,1,1,5,0,0,0,0,-10,-8,983,83,3.6000001709908247
Typical,1,1,6,0,0,0,0,-16,-13,967,80,0.0
Typical,1,1,7,0,0,0,0,-16,-13,966,80,0.0
Typical,1,1,8,0,0,0,0,-16,-13,965,79,0.0
Typical,1,1,9,0,0,0,0,-15,-13,964,79,0.0
Typical,1,1,10,0,0,0,0,-16,-13,963,82,0.0
Typical,1,1,11,0,0,0,0,-14,-12,963,86,2.1000000997446477
Typical,1,1,12,0,0,0,0,-13,-11,962,87,4.10000019473955
Typical,1,1,13,0,2,0,2,-13,-11,961,82,4.10000019473955
Typical,1,1,14,0,39,130,55,-12,-9,961,82,5.100000242237002
Typical,1,1,15,0,65,45,76,-13,-9,960,68,5.600000265985727
Typical,1,1,16,0,85,35,96,-14,-8,960,58,6.200000294484198
Typical,1,1,17,0,130,183,195,-10,-7,959,74,2.1000000997446477
Typical,1,1,18,0,142,50,160,-9,-5,960,68,2.900000137742609
Typical,1,1,19,0,178,33,188,-9,-3,959,62,3.6000001709908247
Typical,1,1,20,0,99,72,115,-7,-3,959,75,2.6000001234933734
Typical,1,1,21,0,30,389,70,-7,-4,960,75,3.100000147242099
Typical,1,1,22,0,0,21,1,-8,-4,961,74,3.6000001709908247
Typical,1,1,23,0,0,0,0,-8,-4,962,75,5.100000242237002
Typical,1,2,0,0,0,0,0,-9,-6,962,78,5.100000242237002
Typical,1,2,1,0,0,0,0,-9,-7,963,82,5.100000242237002
Typical,1,2,2,0,0,0,0,-10,-8,964,82,5.100000242237002
Typical,1,2,3,0,0,0,0,-11,-9,965,81,6.200000294484198
Typical,1,2,4,0,0,0,0,-13,-10,965,76,5.700000270735472
Typical,1,2,5,0,0,0,0,-14,-10,965,72,5.200000246986747
Typical,1,2,6,0,0,0,0,-16,-12,965,70,4.700000223238021
Typical,1,2,7,0,0,0,0,-17,-13,965,68,4.10000019473955
Typical,1,2,8,0,0,0,0,-18,-14,965,66,3.6000001709908247
Typical,1,2,9,0,0,0,0,-20,-15,965,64,3.100000147242099
Typical,1,2,10,0,0,0,0,-21,-17,965,65,2.6000001234933734
Typical,1,2,11,0,0,0,0,-22,-18,965,66,2.900000137742609
Typical,1,2,12,0,0,0,0,-23,-19,965,69,3.100000147242099
Typical,1,2,13,0,3,47,5,-23,-19,965,70,2.900000137742609
Typical,1,2,14,0,28,463,84,-23,-19,965,68,2.6000001234933734
Typical,1,2,15,0,50,650,203,-24,-18,965,52,2.1000000997446477
Typical,1,2,16,0,56,709,280,-23,-17,964,56,2.6000001234933734
Typical,1,2,17,0,79,614,299,-22,-16,963,56,4.600000218488276
Typical,1,2,18,0,46,842,344,-25,-15,962,38,3.100000147242099
Typical,1,2,19,0,41,802,289,-22,-14,961,50,3.6000001709908247
Typical,1,2,20,0,34,700,191,-18,-14,961,66,4.10000019473955
Typical,1,2,21,0,22,459,71,-19,-14,961,59,2.1000000997446477
Typical,1,2,22,0,0,62,2,-22,-15,960,53,0.0
Typical,1,2,23,0,0,0,0,-21,-16,961,63,1.1000000522471964
Typical,1,3,0,0,0,0,0,-20,-17,961,72,2.1000000997446477
Typical,1,3,1,0,0,0,0,-20,-18,961,79,2.1000000997446477
Typical,1,3,2,0,0,0,0,-21,-19,962,85,2.1000000997446477
Typical,1,3,3,0,0,0,0,-21,-19,961,80,2.6000001234933734
Typical,1,3,4,0,0,0,0,-22,-19,961,77,2.6000001234933734
Typical,1,3,5,0,0,0,0,-22,-19,961,76,2.6000001234933734
Typical,1,3,6,0,0,0,0,-22,-19,961,75,2.6000001234933734
Typical,1,3,7,0,0,0,0,-22,-20,961,76,2.6000001234933734
Typical,1,3,8,0,0,0,0,-23,-20,961,76,2.6000001234933734
Typical,1,3,9,0,0,0,0,-23,-20,961,77,2.6000001234933734
Typical,1,3,10,0,0,0,0,-23,-21,962,81,2.6000001234933734
Typical,1,3,11,0,0,0,0,-23,-21,962,86,2.6000001234933734
Typical,1,3,12,0,0,0,0,-24,-22,964,76,0.0
Typical,1,3,13,0,2,44,3,-26,-21,965,65,0.0
Typical,1,3,14,0,29,424,80,-26,-21,966,65,0.0
Typical,1,3,15,0,42,657,198,-24,-19,967,58,3.100000147242099
Typical,1,3,16,0,51,758,292,-24,-16,968,48,3.100000147242099
Typical,1,3,17,0,56,797,342,-24,-13,969,35,2.6000001234933734
Typical,1,3,18,0,55,795,339,-21,-11,971,39,4.10000019473955
Typical,1,3,19,0,50,751,284,-22,-11,972,35,4.600000218488276
Typical,1,3,20,0,41,641,186,-13,-11,974,82,4.10000019473955
Typical,1,3,21,0,27,388,68,-15,-11,975,69,2.6000001234933734
Typical,1,3,22,0,1,39,1,-17,-11,977,60,4.10000019473955
Typical,1,3,23,0,0,0,0,-15,-13,979,81,2.1000000997446477
Typical,1,4,0,0,0,0,0,-16,-14,980,79,2.400000113993883
Typical,1,4,1,0,0,0,0,-17,-15,981,78,2.6000001234933734
Typical,1,4,2,0,0,0,0,-18,-16,982,77,2.1000000997446477
Typical,1,4,3,0,0,0,0,-20,-16,983,69,2.6000001234933734
Typical,1,4,4,0,0,0,0,-20,-16,983,70,2.7000001282431185
Typical,1,4,5,0,0,0,0,-20,-17,983,72,2.8000001329928637
Typical,1,4,6,0,0,0,0,-20,-17,983,74,2.900000137742609
Typical,1,4,7,0,0,0,0,-20,-17,983,76,3.000000142492354
Typical,1,4,8,0,0,0,0,-20,-17,983,77,3.100000147242099
Typical,1,4,9,0,0,0,0,-20,-17,984,79,3.200000151991844
Typical,1,4,10,0,0,0,0,-21,-18,984,74,3.3000001567415893
Typical,1,4,11,0,0,0,0,-21,-18,983,76,3.4000001614913344
Typical,1,4,12,0,0,0,0,-21,-18,982,77,3.5000001662410796
Typical,1,4,13,0,2,114,5,-21,-18,983,79,3.6000001709908247
Typical,1,4,14,0,22,536,87,-21,-17,983,68,3.6000001709908247
Typical,1,4,15,0,32,745,209,-21,-17,983,68,3.100000147242099
Typical,1,4,16,0,39,834,305,-21,-14,982,53,4.10000019473955
Typical,1,4,17,0,42,869,355,-18,-11,981,52,2.6000001234933734
Typical,1,4,18,0,42,869,353,-16,-9,980,56,2.6000001234933734
Typical,1,4,19,0,38,832,299,-14,-8,979,60,2.6000001234933734
Typical,1,4,20,0,31,737,200,-12,-7,979,68,2.6000001234933734
Typical,1,4,21,0,21,512,77,-12,-7,979,68,4.10000019473955
Typical,1,4,22,0,1,90,3,-14,-9,979,64,4.600000218488276
Typical,1,4,23,0,0,0,0,-15,-9,978,60,2.6000001234933734
Typical,1,5,0,0,0,0,0,-16,-11,977,64,2.400000113993883
Typical,1,5,1,0,0,0,0,-17,-13,977,70,2.1000000997446477
Typical,1,5,2,0,0,0,0,-18,-13,976,63,2.6000001234933734
Typical,1,5,3,0,0,0,0,-18,-14,976,69,2.1000000997446477
Typical,1,5,4,0,0,0,0,-18,-18,975,100,1.2000000569969416
Typical,1,5,5,0,0,0,0,-19,-17,974,84,1.3000000617466867
Typical,1,5,6,0,0,0,0,-18,-16,974,83,1.0000000474974513
Typical,1,5,7,0,0,0,0,-19,-15,974,72,0.7000000332482159
Typical,1,5,8,0,0,0,0,-19,-15,974,64,0.4000000189989805
Typical,1,5,9,0,0,0,0,-20,-14,974,56,0.0
Typical,1,5,10,0,0,0,0,-21,-14,974,51,0.10000000474974513
Typical,1,5,11,0,0,0,0,-22,-13,974,40,0.20000000949949026
Typical,1,5,12,0,0,0,0,-25,-12,974,29,0.0
Typical,1,5,13,0,2,4,2,-25,-12,974,30,0.0
Typical,1,5,14,0,25,0,25,-19,-11,975,47,0.0
Typical,1,5,15,0,59,0,59,-18,-11,975,53,0.0
Typical,1,5,16,0,86,0,86,-14,-11,975,74,0.0
Typical,1,5,17,0,117,219,196,-12,-9,974,78,0.0
Typical,1,5,18,0,99,0,99,-12,-8,973,71,0.0
Typical,1,5,19,0,84,0,84,-12,-7,973,63,0.0
Typical,1,5,20,0,57,0,57,-13,-7,973,61,2.6000001234933734
Typical,1,5,21,0,23,0,23,-12,-7,973,61,0.0
Typical,1,5,22,0,1,0,1,-11,-7,973,75,0.0
Typical,1,5,23,0,0,0,0,-13,-8,973,61,0.0
Typical,1,6,0,0,0,0,0,-13,-10,973,80,0.0
Typical,1,6,1,0,0,0,0,-14,-13,972,89,0.0
Typical,1,6,2,0,0,0,0,-16,-15,972,95,0.0
Typical,1,6,3,0,0,0,0,-16,-16,972,100,0.0
Typical,1,6,4,0,0,0,0,-17,-17,972,100,0.0
Typical,1,6,5,0,0,0,0,-17,-16,972,97,0.0
Typical,1,6,6,0,0,0,0,-18,-16,972,84,0.10000000474974513
Typical,1,6,7,0,0,0,0,-19,-16,972,78,0.20000000949949026
Typical,1,6,8,0,0,0,0,-19,-16,972,73,0.5000000237487257
Typical,1,6,9,0,0,0,0,-19,-15,972,67,0.7000000332482159
Typical,1,6,10,0,0,0,0,-19,-15,972,73,0.5000000237487257
Typical,1,6,11,0,0,0,0,-18,-15,972,74,0.4000000189989805
Typical,1,6,12,0,0,0,0,-21,-21,972,100,0.0
Typical,1,6,13,0,2,1,2,-20,-20,973,100,0.0
Typical,1,6,14,0,30,12,32,-18,-17,974,85,0.0
Typical,1,6,15,0,96,35,104,-13,-11,974,78,4.10000019473955
Typical,1,6,16,0,115,156,166,-12,-10,974,84,4.600000218488276
Typical,1,6,17,0,97,660,337,-11,-10,974,91,5.100000242237002
Typical,1,6,18,0,66,748,337,-16,-9,973,57,6.200000294484198
Typical,1,6,19,0,69,622,268,-16,-9,973,52,4.10000019473955
Typical,1,6,20,0,62,483,175,-16,-9,974,54,4.10000019473955
Typical,1,6,21,0,32,335,70,-16,-10,974,57,3.6000001709908247
Typical,1,6,22,0,1,27,2,-16,-11,974,67,2.6000001234933734
Typical,1,6,23,0,0,0,0,-18,-13,974,59,3.6000001709908247
Typical,1,7,0,0,0,0,0,-19,-14,976,61,3.100000147242099
Typical,1,7,1,0,0,0,0,-20,-15,976,64,2.6000001234933734
Typical,1,7,2,0,0,0,0,-20,-16,976,66,2.1000000997446477
Typical,1,7,3,0,0,0,0,-21,-17,976,66,0.0
Typical,1,7,4,0,0,0,0,-22,-17,976,66,0.0
Typical,1,7,5,0,0,0,0,-22,-17,976,66,0.0
Typical,1,7,6,0,0,0,0,-23,-18,977,67,0.0
Typical,1,7,7,0,0,0,0,-23,-19,977,68,0.0
Typical,1,7,8,0,0,0,0,-24,-20,978,70,0.0
Typical,1,7,9,0,0,0,0,-24,-21,978,72,0.0
Typical,1,7,10,0,0,0,0,-25,-22,978,77,0.0
Typical,1,7,11,0,0,0,0,-25,-23,978,79,0.0
Typical,1,7,12,0,0,0,0,-26,-23,979,76,0.0
Typical,1,7,13,0,2,13,2,-27,-23,979,68,0.0
Typical,1,7,14,0,39,250,70,-28,-22,979,58,0.0
Typical,1,7,15,0,62,495,181,-23,-19,980,65,0.0
Typical,1,7,16,0,76,613,274,-21,-17,980,68,0.0
Typical,1,7,17,0,83,661,325,-18,-15,979,71,0.0
Typical,1,7,18,0,83,659,324,-16,-13,979,73,0.0
Typical,1,7,19,0,75,609,271,-14,-12,978,82,0.0
Typical,1,7,20,0,71,411,168,-16,-11,979,60,0.0
Typical,1,7,21,0,38,203,62,-16,-11,978,60,0.0
Typical,1,7,22,0,2,7,2,-16,-11,978,67,0.0
Typical,1,7,23,0,0,0,0,-17,-13,978,70,0.0
Typical,1,8,0,0,0,0,0,-19,-15,978,70,0.0
Typical,1,8,1,0,0,0,0,-21,-16,977,62,0.0
Typical,1,8,2,0,0,0,0,-19,-16,978,73,0.0
Typical,1,8,3,0,0,0,0,-18,-17,978,85,0.0
Typical,1,8,4,0,0,0,0,-18,-16,977,84,0.0
Typical,1,8,5,0,0,0,0,-17,-15,976,83,0.0
Typical,1,8,6,0,0,0,0,-17,-15,976,85,0.0
Typical,1,8,7,0,0,0,0,-17,-15,975,85,0.0
Typical,1,8,8,0,0,0,0,-16,-15,974,87,0.0
Typical,1,8,9,0,0,0,0,-15,-14,974,89,0.0
