Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,727675.0,-,ND,-,48.417,-101.35,0,497,-6,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-7,-4,951,77,7.700000365730375
Typical,1,1,1,0,0,0,0,-7,-6,950,92,6.700000318232924
Typical,1,1,2,0,0,0,0,-7,-6,951,92,6.700000318232924
Typical,1,1,3,0,0,0,0,-9,-8,952,92,4.600000218488276
Typical,1,1,4,0,0,0,0,-8,-7,952,92,5.100000242237002
Typical,1,1,5,0,0,0,0,-9,-8,953,92,6.700000318232924
Typical,1,1,6,0,0,0,0,-8,-8,960,100,5.600000265985727
Typical,1,1,7,0,0,0,0,-8,-8,960,100,6.100000289734453
Typical,1,1,8,0,0,0,0,-8,-8,959,99,7.200000341981649
Typical,1,1,9,0,0,0,0,-8,-8,958,99,6.600000313483179
Typical,1,1,10,0,0,0,0,-7,-7,958,99,7.700000365730375
Typical,1,1,11,0,0,0,0,-7,-7,958,99,6.600000313483179
Typical,1,1,12,0,0,0,0,-6,-6,958,100,7.700000365730375
Typical,1,1,13,0,0,0,0,-7,-7,957,100,6.100000289734453
Typical,1,1,14,0,0,0,0,-8,-8,957,100,4.600000218488276
Typical,1,1,15,0,11,0,11,-6,-6,958,100,8.2000003894791
Typical,1,1,16,0,36,0,36,-7,-7,958,100,13.300000631716102
Typical,1,1,17,0,45,0,45,-7,-7,958,100,12.800000607967377
Typical,1,1,18,0,49,0,49,-7,-7,958,100,12.300000584218651
Typical,1,1,19,0,58,0,58,-7,-7,958,100,10.200000484474003
Typical,1,1,20,0,88,0,88,-8,-7,958,92,10.200000484474003
Typical,1,1,21,0,63,447,142,-8,-8,959,100,8.700000413227826
Typical,1,1,22,0,14,318,33,-9,-9,959,100,6.100000289734453
Typical,1,1,23,0,0,0,0,-11,-11,959,100,7.000000332482159
Typical,1,2,0,0,0,0,0,-12,-12,959,100,6.900000327732414
Typical,1,2,1,0,0,0,0,-13,-13,959,100,7.200000341981649
Typical,1,2,2,0,0,0,0,-14,-14,959,100,8.600000408478081
Typical,1,2,3,0,0,0,0,-15,-15,958,100,6.400000303983688
Typical,1,2,4,0,0,0,0,-16,-16,958,100,9.200000436976552
Typical,1,2,5,0,0,0,0,-18,-18,958,100,8.100000384729356
