Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,727846.0,-,WA,-,46.1,-118.28299999999999,0,355,-8,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,90,2,2,2,981,100,2.6000001234933734
Typical,1,1,1,0,0,0,0,0,1,981,93,2.6000001234933734
Typical,1,1,2,0,0,0,0,1,3,982,87,2.1000000997446477
Typical,1,1,3,0,0,0,0,1,4,982,81,2.900000137742609
Typical,1,1,4,0,0,0,0,1,5,982,75,3.6000001709908247
Typical,1,1,5,0,0,0,0,1,3,983,87,3.6000001709908247
Typical,1,1,6,0,0,0,0,1,3,984,87,3.100000147242099
Typical,1,1,7,0,0,0,0,1,3,984,87,3.100000147242099
Typical,1,1,8,0,0,0,0,0,2,970,85,3.6000001709908247
Typical,1,1,9,0,0,0,0,0,3,970,82,5.200000246986747
Typical,1,1,10,0,0,0,0,0,2,970,82,3.100000147242099
Typical,1,1,11,0,0,0,0,0,3,969,82,5.200000246986747
Typical,1,1,12,0,0,0,0,0,3,969,76,5.200000246986747
Typical,1,1,13,0,0,0,0,0,3,968,79,5.200000246986747
Typical,1,1,14,0,0,0,0,0,3,967,79,4.600000218488276
Typical,1,1,15,0,0,0,0,0,3,966,76,5.700000270735472
Typical,1,1,16,0,12,0,12,0,4,966,73,4.10000019473955
Typical,1,1,17,0,60,0,60,0,3,965,76,2.6000001234933734
Typical,1,1,18,0,59,0,59,0,3,966,76,3.100000147242099
Typical,1,1,19,0,65,0,65,0,4,965,76,7.700000365730375
Typical,1,1,20,0,122,0,122,1,3,965,86,6.200000294484198
Typical,1,1,21,0,129,76,152,1,3,965,82,7.200000341981649
Typical,1,1,22,0,106,246,160,0,4,966,76,7.700000365730375
Typical,1,1,23,0,35,0,35,0,4,967,73,5.200000246986747
Typical,1,2,0,0,0,0,0,0,3,967,72,6.200000294484198
Typical,1,2,1,0,0,0,0,-1,3,967,69,7.200000341981649
Typical,1,2,2,0,0,0,0,0,3,968,75,9.300000441726297
Typical,1,2,3,0,0,0,0,0,2,968,78,5.200000246986747
Typical,1,2,4,0,0,0,0,0,2,968,81,5.700000270735472
Typical,1,2,5,0,0,0,0,-1,2,969,75,6.200000294484198
Typical,1,2,6,0,0,0,0,-1,2,969,75,6.200000294484198
Typical,1,2,7,0,0,0,0,-1,2,969,74,6.200000294484198
Typical,1,2,8,0,0,0,0,-1,2,969,74,5.200000246986747
Typical,1,2,9,0,0,0,0,-1,2,970,71,4.10000019473955
Typical,1,2,10,0,0,0,0,-1,2,970,75,5.200000246986747
Typical,1,2,11,0,0,0,0,-1,2,970,74,5.700000270735472
Typical,1,2,12,0,0,0,0,-1,2,969,74,4.600000218488276
Typical,1,2,13,0,0,0,0,-2,3,970,66,5.700000270735472
Typical,1,2,14,0,0,0,0,-2,3,970,66,7.700000365730375
Typical,1,2,15,0,0,0,0,-1,2,970,71,7.700000365730375
Typical,1,2,16,0,24,0,24,-1,3,970,69,5.700000270735472
Typical,1,2,17,0,95,248,152,0,2,971,78,6.700000318232924
Typical,1,2,18,0,43,0,43,0,2,971,89,4.600000218488276
Typical,1,2,19,0,83,0,83,0,3,971,79,10.300000489223748
Typical,1,2,20,0,122,92,154,0,3,972,76,5.700000270735472
Typical,1,2,21,0,143,502,297,0,3,972,76,6.200000294484198
Typical,1,2,22,0,106,238,159,0,4,973,73,7.200000341981649
Typical,1,2,23,0,33,0,33,-1,3,974,72,9.300000441726297
Typical,1,3,0,0,0,0,0,-1,2,975,71,7.700000365730375
Typical,1,3,1,0,0,0,0,-1,1,976,77,6.200000294484198
Typical,1,3,2,0,0,0,0,-1,1,978,80,4.10000019473955
Typical,1,3,3,0,0,0,0,-1,1,979,84,4.10000019473955
Typical,1,3,4,0,0,0,0,-1,0,980,87,3.100000147242099
Typical,1,3,5,0,0,0,0,-1,0,980,87,3.100000147242099
Typical,1,3,6,0,0,0,0,-1,0,981,87,3.6000001709908247
Typical,1,3,7,0,0,0,0,-1,0,982,87,4.10000019473955
Typical,1,3,8,0,0,0,0,-1,0,982,91,4.10000019473955
Typical,1,3,9,0,0,0,0,-2,0,983,83,5.200000246986747
Typical,1,3,10,0,0,0,0,-2,0,984,83,4.600000218488276
Typical,1,3,11,0,0,0,0,-2,0,984,80,3.6000001709908247
Typical,1,3,12,0,0,0,0,-2,0,984,76,3.6000001709908247
Typical,1,3,13,0,0,0,0,-2,0,985,76,2.1000000997446477
Typical,1,3,14,0,0,0,0,-2,1,985,73,4.10000019473955
Typical,1,3,15,0,0,0,0,-2,1,985,73,3.100000147242099
Typical,1,3,16,0,32,14,33,-2,1,986,74,3.6000001709908247
Typical,1,3,17,0,51,0,51,0,1,987,84,3.6000001709908247
Typical,1,3,18,0,80,0,80,0,1,986,88,2.6000001234933734
Typical,1,3,19,0,146,36,159,0,2,986,85,4.10000019473955
Typical,1,3,20,0,116,0,116,1,3,985,85,5.700000270735472
Typical,1,3,21,0,101,0,101,1,2,984,92,2.6000001234933734
Typical,1,3,22,0,83,0,83,1,3,983,89,2.6000001234933734
Typical,1,3,23,0,31,0,31,2,3,983,89,5.700000270735472
Typical,1,4,0,0,0,0,0,2,5,983,82,6.700000318232924
Typical,1,4,1,0,0,0,0,2,5,982,82,5.700000270735472
Typical,1,4,2,0,0,0,0,2,6,982,76,6.700000318232924
Typical,1,4,3,0,0,0,0,2,6,982,76,6.200000294484198
Typical,1,4,4,0,0,0,0,3,6,981,86,5.200000246986747
Typical,1,4,5,0,0,0,0,2,6,980,76,8.2000003894791
Typical,1,4,6,0,0,0,0,2,7,978,74,8.2000003894791
Typical,1,4,7,0,0,0,0,2,8,976,68,7.200000341981649
Typical,1,4,8,0,0,0,0,1,8,976,63,7.700000365730375
Typical,1,4,9,0,0,0,0,2,9,976,63,8.2000003894791
Typical,1,4,10,0,0,0,0,3,7,976,76,9.800000465475023
Typical,1,4,11,0,0,0,0,3,7,974,73,8.2000003894791
Typical,1,4,12,0,0,0,0,4,7,975,82,7.700000365730375
Typical,1,4,13,0,0,0,0,4,7,974,82,8.800000417977571
Typical,1,4,14,0,0,0,0,4,8,973,76,8.2000003894791
Typical,1,4,15,0,0,0,0,3,8,973,71,7.700000365730375
Typical,1,4,16,0,33,5,34,3,8,973,71,7.200000341981649
Typical,1,4,17,0,60,0,60,3,8,974,74,6.200000294484198
Typical,1,4,18,0,80,0,80,3,8,975,71,1.500000071246177
Typical,1,4,19,0,53,0,53,4,8,975,73,6.700000318232924
Typical,1,4,20,0,77,0,77,3,8,975,71,11.3000005367212
Typical,1,4,21,0,136,190,195,2,8,976,65,13.900000660214573
Typical,1,4,22,0,95,70,111,2,8,977,65,11.800000560469925
Typical,1,4,23,0,30,0,30,1,7,978,68,8.2000003894791
Typical,1,5,0,0,0,0,0,1,6,979,73,9.300000441726297
Typical,1,5,1,0,0,0,0,1,5,980,76,7.700000365730375
Typical,1,5,2,0,0,0,0,1,4,980,79,5.700000270735472
Typical,1,5,3,0,0,0,0,0,4,981,76,5.700000270735472
Typical,1,5,4,0,0,0,0,1,4,981,79,7.200000341981649
Typical,1,5,5,0,0,0,0,0,4,981,76,6.200000294484198
Typical,1,5,6,0,0,0,0,1,4,982,81,6.200000294484198
Typical,1,5,7,0,0,0,0,0,3,982,79,6.200000294484198
Typical,1,5,8,0,0,0,0,0,3,982,82,6.200000294484198
Typical,1,5,9,0,0,0,0,0,3,983,82,7.200000341981649
Typical,1,5,10,0,0,0,0,0,3,984,82,5.200000246986747
Typical,1,5,11,0,0,0,0,0,2,984,82,3.6000001709908247
Typical,1,5,12,0,0,0,0,0,2,984,82,4.10000019473955
Typical,1,5,13,0,0,0,0,0,1,984,84,6.200000294484198
Typical,1,5,14,0,0,0,0,0,1,985,84,4.10000019473955
Typical,1,5,15,0,0,0,0,0,1,985,84,5.200000246986747
Typical,1,5,16,0,36,158,55,0,1,986,88,4.10000019473955
Typical,1,5,17,0,77,519,198,0,3,987,82,4.600000218488276
Typical,1,5,18,0,109,401,236,1,5,987,76,5.200000246986747
Typical,1,5,19,0,101,639,330,1,5,987,73,7.200000341981649
Typical,1,5,20,0,109,538,302,1,6,987,70,7.200000341981649
Typical,1,5,21,0,71,716,295,1,6,987,67,6.700000318232924
Typical,1,5,22,0,75,633,220,1,6,987,67,5.700000270735472
Typical,1,5,23,0,28,0,28,1,5,988,73,4.600000218488276
Typical,1,6,0,0,0,0,0,0,3,988,76,5.700000270735472
Typical,1,6,1,0,0,0,0,0,3,988,75,5.200000246986747
Typical,1,6,2,0,0,0,0,0,2,988,78,4.600000218488276
Typical,1,6,3,0,0,0,0,-1,2,988,75,5.200000246986747
Typical,1,6,4,0,0,0,0,-1,2,988,78,5.700000270735472
Typical,1,6,5,0,0,0,0,-1,1,988,77,3.100000147242099
Typical,1,6,6,0,0,0,0,-1,1,988,80,2.1000000997446477
Typical,1,6,7,0,0,0,0,-1,1,988,80,2.6000001234933734
Typical,1,6,8,0,0,0,0,-1,0,987,91,0.0
Typical,1,6,9,0,0,0,0,-2,0,987,80,2.1000000997446477
Typical,1,6,10,0,0,0,0,-2,0,987,83,0.0
Typical,1,6,11,0,0,0,0,-2,0,987,76,2.6000001234933734
Typical,1,6,12,0,0,0,0,-2,0,986,76,2.6000001234933734
Typical,1,6,13,0,0,0,0,-3,0,986,76,1.500000071246177
Typical,1,6,14,0,0,0,0,-2,0,985,83,1.500000071246177
Typical,1,6,15,0,0,0,0,-2,0,984,79,3.100000147242099
