Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,745940.0,-,MD,-,38.817,-76.867,0,86,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-8,-8,1009,100,1.500000071246177
Typical,1,1,1,0,0,0,0,-9,-9,1009,100,1.500000071246177
Typical,1,1,2,0,0,0,0,-10,-10,1009,100,3.100000147242099
Typical,1,1,3,0,0,0,0,-10,-10,1009,100,1.0000000474974513
Typical,1,1,4,0,0,0,0,-9,-9,1009,100,2.1000000997446477
Typical,1,1,5,0,0,0,0,5,10,1015,71,2.6000001234933734
Typical,1,1,6,0,0,0,0,4,9,1015,71,3.6000001709908247
Typical,1,1,7,0,0,0,0,3,6,1015,81,1.500000071246177
Typical,1,1,8,0,0,0,0,4,6,1015,87,1.500000071246177
Typical,1,1,9,0,0,0,0,4,6,1015,87,3.100000147242099
Typical,1,1,10,0,0,0,0,2,4,1015,87,1.500000071246177
Typical,1,1,11,0,0,0,0,4,5,1016,93,1.0000000474974513
Typical,1,1,12,0,0,98,1,3,4,1017,93,1.500000071246177
Typical,1,1,13,0,54,509,139,6,10,1018,76,2.6000001234933734
Typical,1,1,14,0,69,699,281,7,14,1019,63,3.100000147242099
Typical,1,1,15,0,85,716,375,7,15,1019,59,3.100000147242099
Typical,1,1,16,0,88,785,451,8,18,1018,52,4.600000218488276
Typical,1,1,17,0,92,755,447,8,19,1018,49,3.6000001709908247
Typical,1,1,18,0,84,736,402,9,20,1017,49,3.6000001709908247
Typical,1,1,19,0,65,724,316,8,19,1018,49,5.700000270735472
Typical,1,1,20,0,47,576,174,8,18,1019,52,4.600000218488276
Typical,1,1,21,0,15,261,32,7,16,1019,55,3.100000147242099
Typical,1,1,22,0,0,0,0,7,14,1020,63,1.500000071246177
Typical,1,1,23,0,0,0,0,5,9,1020,76,0.0
Typical,1,2,0,0,0,0,0,4,7,1021,81,1.0000000474974513
Typical,1,2,1,0,0,0,0,3,6,1021,81,1.500000071246177
Typical,1,2,2,0,0,0,0,2,5,1022,81,0.0
Typical,1,2,3,0,0,0,0,5,8,1022,81,4.600000218488276
Typical,1,2,4,0,0,0,0,4,9,1022,71,6.200000294484198
Typical,1,2,5,0,0,0,0,3,8,1023,71,3.6000001709908247
Typical,1,2,6,0,0,0,0,2,7,1023,70,4.10000019473955
Typical,1,2,7,0,0,0,0,1,7,1024,66,4.10000019473955
Typical,1,2,8,0,0,0,0,0,6,1024,65,3.100000147242099
Typical,1,2,9,0,0,0,0,-1,5,1025,64,3.100000147242099
Typical,1,2,10,0,0,0,0,-1,5,1025,64,3.100000147242099
Typical,1,2,11,0,0,0,0,-1,4,1026,69,3.6000001709908247
Typical,1,2,12,0,0,0,0,-1,4,1026,69,3.100000147242099
Typical,1,2,13,0,46,0,46,-1,4,1026,69,3.6000001709908247
Typical,1,2,14,0,63,0,63,0,4,1027,75,3.6000001709908247
Typical,1,2,15,0,71,0,71,1,5,1026,75,3.100000147242099
Typical,1,2,16,0,74,0,74,2,6,1026,75,2.1000000997446477
Typical,1,2,17,0,89,0,89,2,6,1025,75,2.1000000997446477
Typical,1,2,18,0,86,0,86,2,7,1024,70,1.500000071246177
Typical,1,2,19,0,138,41,153,3,7,1023,76,1.500000071246177
Typical,1,2,20,0,44,0,44,3,7,1023,76,2.1000000997446477
Typical,1,2,21,0,21,48,25,3,7,1023,76,1.0000000474974513
Typical,1,2,22,0,0,0,0,3,6,1022,81,1.500000071246177
Typical,1,2,23,0,0,0,0,3,6,1022,81,1.500000071246177
Typical,1,3,0,0,0,0,0,3,5,1022,87,0.0
Typical,1,3,1,0,0,0,0,3,5,1022,87,0.0
Typical,1,3,2,0,0,0,0,2,4,1021,87,0.0
Typical,1,3,3,0,0,0,0,1,2,1021,93,1.500000071246177
Typical,1,3,4,0,0,0,0,4,5,1020,93,2.1000000997446477
Typical,1,3,5,0,0,0,0,5,6,1019,93,2.1000000997446477
Typical,1,3,6,0,0,0,0,5,7,1019,87,2.1000000997446477
Typical,1,3,7,0,0,0,0,5,7,1018,87,3.100000147242099
Typical,1,3,8,0,0,0,0,5,8,1018,81,3.100000147242099
Typical,1,3,9,0,0,0,0,5,8,1018,81,3.100000147242099
Typical,1,3,10,0,0,0,0,4,6,1018,87,2.6000001234933734
Typical,1,3,11,0,0,0,0,4,6,1018,87,2.1000000997446477
Typical,1,3,12,0,0,65,1,4,6,1018,87,1.500000071246177
Typical,1,3,13,0,64,339,120,6,8,1018,87,3.100000147242099
Typical,1,3,14,0,81,636,274,7,11,1018,76,3.100000147242099
Typical,1,3,15,0,123,667,394,7,12,1017,71,3.100000147242099
Typical,1,3,16,0,213,205,309,9,16,1017,63,2.1000000997446477
Typical,1,3,17,0,168,539,424,10,18,1015,59,3.6000001709908247
Typical,1,3,18,0,150,540,385,10,19,1014,56,3.6000001709908247
Typical,1,3,19,0,149,88,180,10,18,1013,59,3.6000001709908247
Typical,1,3,20,0,53,0,53,10,18,1013,59,3.100000147242099
Typical,1,3,21,0,19,44,23,10,17,1013,63,2.1000000997446477
Typical,1,3,22,0,0,0,0,10,16,1013,68,2.6000001234933734
Typical,1,3,23,0,0,0,0,11,16,1012,72,3.6000001709908247
Typical,1,4,0,0,0,0,0,11,17,1012,68,6.700000318232924
Typical,1,4,1,0,0,0,0,11,17,1012,68,7.200000341981649
Typical,1,4,2,0,0,0,0,11,17,1011,68,6.200000294484198
Typical,1,4,3,0,0,0,0,12,16,1011,77,6.200000294484198
Typical,1,4,4,0,0,0,0,12,16,1010,77,6.200000294484198
Typical,1,4,5,0,0,0,0,12,16,1009,77,6.200000294484198
Typical,1,4,6,0,0,0,0,12,16,1009,77,6.200000294484198
Typical,1,4,7,0,0,0,0,12,16,1009,77,4.600000218488276
Typical,1,4,8,0,0,0,0,11,16,1009,75,5.400000256486237
Typical,1,4,9,0,0,0,0,11,16,1009,72,6.200000294484198
Typical,1,4,10,0,0,0,0,11,15,1009,77,4.600000218488276
Typical,1,4,11,0,0,0,0,11,15,1010,77,5.100000242237002
Typical,1,4,12,0,0,0,0,11,14,1010,82,3.100000147242099
Typical,1,4,13,0,46,0,46,11,15,1011,77,2.6000001234933734
Typical,1,4,14,0,137,220,204,11,16,1012,72,3.6000001709908247
Typical,1,4,15,0,181,110,226,12,18,1011,68,4.600000218488276
Typical,1,4,16,0,188,405,377,12,19,1011,64,4.600000218488276
Typical,1,4,17,0,179,425,382,12,19,1011,64,3.6000001709908247
Typical,1,4,18,0,204,190,288,12,19,1011,64,4.600000218488276
Typical,1,4,19,0,144,286,246,12,18,1011,68,3.100000147242099
Typical,1,4,20,0,87,67,102,10,15,1012,72,4.10000019473955
Typical,1,4,21,0,22,130,32,9,13,1012,77,3.6000001709908247
Typical,1,4,22,0,0,0,0,8,12,1013,76,3.6000001709908247
Typical,1,4,23,0,0,0,0,8,11,1013,82,4.10000019473955
Typical,1,5,0,0,0,0,0,7,11,1013,76,2.1000000997446477
Typical,1,5,1,0,0,0,0,7,9,1013,87,2.1000000997446477
Typical,1,5,2,0,0,0,0,7,10,1013,82,2.1000000997446477
Typical,1,5,3,0,0,0,0,7,9,1013,87,2.1000000997446477
Typical,1,5,4,0,0,0,0,7,9,1012,87,2.1000000997446477
Typical,1,5,5,0,0,0,0,7,9,1011,87,2.1000000997446477
Typical,1,5,6,0,0,0,0,7,8,1010,93,2.1000000997446477
Typical,1,5,7,0,0,0,0,7,8,1010,93,3.100000147242099
Typical,1,5,8,0,0,0,0,7,8,1008,93,3.100000147242099
Typical,1,5,9,0,0,0,0,7,8,1007,93,3.100000147242099
Typical,1,5,10,0,0,0,0,7,8,1008,93,1.500000071246177
Typical,1,5,11,0,0,0,0,7,8,1008,93,2.6000001234933734
Typical,1,5,12,0,0,0,0,7,8,1009,93,2.6000001234933734
Typical,1,5,13,0,28,0,28,7,8,1009,93,3.6000001709908247
Typical,1,5,14,0,56,0,56,7,7,1009,100,3.100000147242099
Typical,1,5,15,0,65,0,65,7,8,1009,93,3.6000001709908247
Typical,1,5,16,0,74,0,74,7,8,1008,93,3.100000147242099
Typical,1,5,17,0,78,0,78,7,8,1008,93,2.6000001234933734
Typical,1,5,18,0,69,0,69,7,7,1007,100,3.6000001709908247
Typical,1,5,19,0,55,0,55,7,7,1008,100,3.100000147242099
Typical,1,5,20,0,34,0,34,5,6,1008,93,5.100000242237002
Typical,1,5,21,0,20,90,26,4,5,1008,93,5.100000242237002
Typical,1,5,22,0,0,0,0,3,4,1008,93,3.6000001709908247
Typical,1,5,23,0,0,0,0,3,4,1008,93,4.10000019473955
Typical,1,6,0,0,0,0,0,3,4,1008,93,3.6000001709908247
Typical,1,6,1,0,0,0,0,3,3,1008,100,3.100000147242099
Typical,1,6,2,0,0,0,0,3,3,1007,100,3.100000147242099
Typical,1,6,3,0,0,0,0,2,2,1006,100,4.000000189989805
Typical,1,6,4,0,0,0,0,2,2,1006,100,1.500000071246177
Typical,1,6,5,0,0,0,0,2,2,1005,100,2.6000001234933734
Typical,1,6,6,0,0,0,0,2,2,1005,100,1.9000000902451575
Typical,1,6,7,0,0,0,0,3,3,1004,100,3.200000151991844
Typical,1,6,8,0,0,0,0,2,2,1004,98,3.3000001567415893
Typical,1,6,9,0,0,0,0,2,2,1003,96,3.800000180490315
Typical,1,6,10,0,0,0,0,2,2,1003,97,0.800000037997961
Typical,1,6,11,0,0,0,0,2,2,1002,99,1.1000000522471964
Typical,1,6,12,0,0,0,0,3,3,1002,100,1.500000071246177
Typical,1,6,13,0,28,0,28,3,3,1001,100,1.500000071246177
Typical,1,6,14,0,56,0,56,3,4,1001,93,2.1000000997446477
Typical,1,6,15,0,84,0,84,4,4,1000,100,1.500000071246177
Typical,1,6,16,0,93,0,93,4,5,999,93,1.0000000474974513
Typical,1,6,17,0,78,0,78,5,5,998,100,2.6000001234933734
Typical,1,6,18,0,81,0,81,6,6,998,100,2.1000000997446477
Typical,1,6,19,0,55,0,55,6,7,998,93,0.0
Typical,1,6,20,0,73,0,73,7,7,997,100,1.500000071246177
Typical,1,6,21,0,22,59,27,7,8,998,93,3.100000147242099
Typical,1,6,22,0,0,0,0,7,7,999,100,3.100000147242099
Typical,1,6,23,0,0,0,0,6,7,1000,93,1.0000000474974513
Typical,1,7,0,0,0,0,0,6,7,1000,93,1.0000000474974513
Typical,1,7,1,0,0,0,0,6,7,1001,93,1.0000000474974513
Typical,1,7,2,0,0,0,0,6,7,1002,93,1.500000071246177
Typical,1,7,3,0,0,0,0,6,7,1002,93,4.10000019473955
Typical,1,7,4,0,0,0,0,6,7,1003,93,0.0
Typical,1,7,5,0,0,0,0,6,6,1004,100,3.100000147242099
Typical,1,7,6,0,0,0,0,5,6,1005,93,2.6000001234933734
Typical,1,7,7,0,0,0,0,3,7,1006,76,5.100000242237002
Typical,1,7,8,0,0,0,0,0,6,1007,65,6.200000294484198
Typical,1,7,9,0,0,0,0,-1,6,1009,60,8.2000003894791
Typical,1,7,10,0,0,0,0,-2,5,1010,59,4.600000218488276
Typical,1,7,11,0,0,0,0,-2,5,1012,59,5.100000242237002
Typical,1,7,12,0,0,0,0,-2,5,1013,59,6.700000318232924
Typical,1,7,13,0,65,0,65,-1,5,1014,64,5.100000242237002
Typical,1,7,14,0,127,478,274,0,6,1016,65,6.700000318232924
Typical,1,7,15,0,172,337,310,-1,6,1016,60,6.200000294484198
Typical,1,7,16,0,177,477,402,-2,7,1016,52,3.6000001709908247
Typical,1,7,17,0,111,761,478,-2,8,1016,48,3.6000001709908247
Typical,1,7,18,0,155,624,432,-2,7,1015,52,2.1000000997446477
Typical,1,7,19,0,154,88,186,-2,7,1016,52,2.6000001234933734
Typical,1,7,20,0,59,0,59,-2,8,1016,48,0.0
Typical,1,7,21,0,30,161,43,-1,7,1016,56,1.0000000474974513
Typical,1,7,22,0,0,0,0,-1,5,1016,64,3.6000001709908247
Typical,1,7,23,0,0,0,0,-1,5,1018,64,2.6000001234933734
