Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,747187.0,-,CA,-,33.633,-116.167,0,-34,-8,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,6,136,12,0,16,1020,33,2.6000001234933734
Typical,1,1,1,0,0,0,0,-1,10,1021,44,0.0
Typical,1,1,2,0,0,0,0,-2,7,1021,46,1.500000071246177
Typical,1,1,3,0,0,0,0,0,7,1022,58,1.500000071246177
Typical,1,1,4,0,0,0,0,0,7,1022,58,2.1000000997446477
Typical,1,1,5,0,0,0,0,0,6,1023,62,1.500000071246177
Typical,1,1,6,0,0,0,0,0,7,1023,57,2.1000000997446477
Typical,1,1,7,0,0,0,0,-1,6,1023,57,0.0
Typical,1,1,8,0,0,0,0,2,6,1022,77,0.7000000332482159
Typical,1,1,9,0,0,0,0,2,5,1022,81,0.0
Typical,1,1,10,0,0,0,0,2,5,1021,81,1.500000071246177
Typical,1,1,11,0,0,0,0,2,8,1021,66,2.1000000997446477
Typical,1,1,12,0,0,0,0,1,4,1021,81,0.0
Typical,1,1,13,0,0,0,0,0,3,1022,81,1.500000071246177
Typical,1,1,14,0,0,0,0,0,3,1021,81,1.500000071246177
Typical,1,1,15,0,23,443,74,2,8,1022,66,1.500000071246177
Typical,1,1,16,0,44,710,244,4,15,1022,48,2.1000000997446477
Typical,1,1,17,0,63,826,406,3,19,1022,34,2.1000000997446477
Typical,1,1,18,0,79,851,510,3,22,1023,29,1.500000071246177
Typical,1,1,19,0,85,869,562,4,24,1020,27,2.6000001234933734
Typical,1,1,20,0,73,894,554,2,25,1019,22,2.6000001234933734
Typical,1,1,21,0,86,820,478,2,25,1018,22,3.100000147242099
Typical,1,1,22,0,99,692,354,2,25,1017,22,3.100000147242099
Typical,1,1,23,0,121,507,233,3,23,1017,27,3.100000147242099
Typical,1,2,0,0,9,188,18,1,17,1017,34,0.0
Typical,1,2,1,0,0,0,0,3,14,1018,47,1.500000071246177
Typical,1,2,2,0,0,0,0,2,10,1018,57,0.0
Typical,1,2,3,0,0,0,0,1,8,1017,61,2.1000000997446477
Typical,1,2,4,0,0,0,0,2,8,1017,66,2.6000001234933734
Typical,1,2,5,0,0,0,0,1,6,1017,70,2.1000000997446477
Typical,1,2,6,0,0,0,0,2,7,1017,70,0.0
Typical,1,2,7,0,0,0,0,2,6,1017,75,2.6000001234933734
Typical,1,2,8,0,0,0,0,2,8,1016,66,0.0
Typical,1,2,9,0,0,0,0,2,7,1016,70,2.1000000997446477
Typical,1,2,10,0,0,0,0,1,5,1016,75,2.1000000997446477
Typical,1,2,11,0,0,0,0,1,4,1015,81,2.1000000997446477
Typical,1,2,12,0,0,0,0,0,3,1016,81,2.1000000997446477
Typical,1,2,13,0,0,0,0,0,3,1016,81,0.0
Typical,1,2,14,0,0,0,0,0,2,1017,87,1.500000071246177
Typical,1,2,15,0,23,416,71,2,7,1017,70,1.500000071246177
Typical,1,2,16,0,58,611,230,4,14,1017,51,2.6000001234933734
Typical,1,2,17,0,82,716,380,6,17,1017,48,2.1000000997446477
Typical,1,2,18,0,132,679,476,8,19,1017,49,5.700000270735472
Typical,1,2,19,0,108,815,556,7,21,1015,40,3.6000001709908247
Typical,1,2,20,0,128,754,535,6,22,1014,35,4.10000019473955
Typical,1,2,21,0,195,460,415,5,22,1014,33,2.6000001234933734
Typical,1,2,22,0,140,574,353,5,21,1014,35,3.6000001709908247
Typical,1,2,23,0,122,481,230,7,21,1014,40,2.1000000997446477
Typical,1,3,0,0,10,183,19,6,16,1014,51,3.6000001709908247
Typical,1,3,1,0,0,0,0,6,15,1015,55,3.100000147242099
Typical,1,3,2,0,0,0,0,6,13,1015,62,3.100000147242099
Typical,1,3,3,0,0,0,0,7,13,1014,67,2.1000000997446477
Typical,1,3,4,0,0,0,0,7,13,1014,67,2.6000001234933734
Typical,1,3,5,0,0,0,0,7,13,1015,67,1.500000071246177
Typical,1,3,6,0,0,0,0,7,13,1015,67,2.6000001234933734
Typical,1,3,7,0,0,0,0,7,13,1015,67,3.6000001709908247
