Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,747320.0,-,NM,-,32.85,-106.1,0,1248,-7,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,-1,12,874,40,4.600000218488276
Typical,1,1,1,0,0,0,0,-1,12,873,40,4.600000218488276
Typical,1,1,2,0,0,0,0,-1,11,873,43,5.700000270735472
Typical,1,1,3,0,0,0,0,-1,11,873,43,4.600000218488276
Typical,1,1,4,0,0,0,0,-2,11,872,39,5.700000270735472
Typical,1,1,5,0,0,0,0,-3,8,870,44,4.600000218488276
Typical,1,1,6,0,0,0,0,-4,7,868,44,4.10000019473955
Typical,1,1,7,0,0,0,0,-4,6,878,47,2.1000000997446477
Typical,1,1,8,0,0,0,0,-4,6,877,47,2.1000000997446477
Typical,1,1,9,0,0,0,0,-4,5,877,50,1.500000071246177
Typical,1,1,10,0,0,0,0,-4,6,877,47,2.6000001234933734
Typical,1,1,11,0,0,0,0,-4,6,878,47,4.10000019473955
Typical,1,1,12,0,0,0,0,-4,4,877,54,2.1000000997446477
Typical,1,1,13,0,0,0,0,-4,4,877,54,3.6000001709908247
Typical,1,1,14,0,40,30,42,-3,4,877,59,3.100000147242099
Typical,1,1,15,0,33,664,191,-2,8,879,48,2.1000000997446477
Typical,1,1,16,0,64,677,324,-2,12,881,37,3.100000147242099
Typical,1,1,17,0,170,490,411,1,16,882,36,4.600000218488276
Typical,1,1,18,0,220,335,404,1,17,881,34,2.1000000997446477
Typical,1,1,19,0,162,515,449,1,19,881,30,2.1000000997446477
Typical,1,1,20,0,263,276,404,2,20,880,30,2.6000001234933734
Typical,1,1,21,0,143,338,285,2,20,880,30,3.6000001709908247
Typical,1,1,22,0,58,263,132,1,19,880,30,2.6000001234933734
Typical,1,1,23,0,40,36,44,1,17,879,34,2.6000001234933734
Typical,1,2,0,0,0,7,0,0,13,878,41,3.100000147242099
Typical,1,2,1,0,0,0,0,-1,11,878,43,3.100000147242099
Typical,1,2,2,0,0,0,0,-1,8,877,52,3.6000001709908247
Typical,1,2,3,0,0,0,0,-2,7,876,52,4.10000019473955
Typical,1,2,4,0,0,0,0,1,9,877,57,3.100000147242099
Typical,1,2,5,0,0,0,0,1,8,876,61,3.6000001709908247
Typical,1,2,6,0,0,0,0,0,6,875,65,3.6000001709908247
Typical,1,2,7,0,0,0,0,1,8,875,61,3.100000147242099
Typical,1,2,8,0,0,0,0,1,8,875,61,3.100000147242099
Typical,1,2,9,0,0,0,0,1,7,875,66,2.1000000997446477
Typical,1,2,10,0,0,0,0,0,5,874,70,2.6000001234933734
Typical,1,2,11,0,0,0,0,-1,2,873,80,2.6000001234933734
Typical,1,2,12,0,0,0,0,-1,2,874,80,3.6000001709908247
Typical,1,2,13,0,0,0,0,-1,2,874,80,4.10000019473955
Typical,1,2,14,0,17,242,36,0,6,876,65,3.100000147242099
Typical,1,2,15,0,37,612,182,2,10,878,57,3.100000147242099
Typical,1,2,16,0,57,751,345,2,12,879,50,3.100000147242099
Typical,1,2,17,0,62,831,471,3,15,879,44,4.600000218488276
Typical,1,2,18,0,73,804,516,4,18,879,39,4.10000019473955
Typical,1,2,19,0,66,866,550,3,19,878,34,4.10000019473955
Typical,1,2,20,0,72,829,498,4,20,877,35,3.6000001709908247
Typical,1,2,21,0,81,709,379,3,20,877,32,2.6000001234933734
Typical,1,2,22,0,71,502,213,4,21,877,33,3.100000147242099
Typical,1,2,23,0,24,435,74,3,18,877,37,3.100000147242099
Typical,1,3,0,0,0,20,0,3,16,876,42,3.100000147242099
Typical,1,3,1,0,0,0,0,4,15,876,48,3.100000147242099
Typical,1,3,2,0,0,0,0,4,14,874,51,3.6000001709908247
Typical,1,3,3,0,0,0,0,5,14,874,55,2.1000000997446477
Typical,1,3,4,0,0,0,0,4,11,873,62,3.100000147242099
Typical,1,3,5,0,0,0,0,3,9,872,66,2.6000001234933734
Typical,1,3,6,0,0,0,0,3,8,871,71,3.100000147242099
Typical,1,3,7,0,0,0,0,2,6,870,75,3.100000147242099
Typical,1,3,8,0,0,0,0,1,4,869,81,3.100000147242099
Typical,1,3,9,0,0,0,0,2,5,870,81,4.10000019473955
Typical,1,3,10,0,0,0,0,0,4,869,75,2.6000001234933734
Typical,1,3,11,0,0,0,0,0,3,869,81,2.1000000997446477
Typical,1,3,12,0,0,0,0,0,2,870,87,5.100000242237002
Typical,1,3,13,0,0,0,0,0,2,871,87,4.10000019473955
Typical,1,3,14,0,20,248,39,2,4,871,87,4.10000019473955
Typical,1,3,15,0,54,649,208,5,10,874,71,3.100000147242099
Typical,1,3,16,0,75,516,273,6,15,875,55,2.6000001234933734
Typical,1,3,17,0,152,386,342,7,18,875,49,3.6000001709908247
Typical,1,3,18,0,160,519,446,7,21,875,40,7.700000365730375
Typical,1,3,19,0,138,706,534,7,22,874,38,7.700000365730375
Typical,1,3,20,0,211,292,362,7,21,874,40,6.700000318232924
Typical,1,3,21,0,299,136,357,7,21,872,40,15.40000073146075
Typical,1,3,22,0,126,196,182,6,21,874,38,7.700000365730375
Typical,1,3,23,0,78,116,91,6,20,873,40,3.100000147242099
Typical,1,4,0,0,0,6,0,6,19,873,43,1.500000071246177
Typical,1,4,1,0,0,0,0,7,19,873,46,8.2000003894791
Typical,1,4,2,0,0,0,0,8,19,873,49,9.300000441726297
Typical,1,4,3,0,0,0,0,8,18,871,52,9.300000441726297
Typical,1,4,4,0,0,0,0,11,13,871,88,4.600000218488276
Typical,1,4,5,0,0,0,0,10,11,871,94,2.6000001234933734
Typical,1,4,6,0,0,0,0,10,11,870,94,1.500000071246177
Typical,1,4,7,0,0,0,0,9,10,869,93,4.10000019473955
Typical,1,4,8,0,0,0,0,8,10,870,87,1.500000071246177
Typical,1,4,9,0,0,0,0,8,9,870,93,2.1000000997446477
Typical,1,4,10,0,0,0,0,7,9,869,87,1.0000000474974513
Typical,1,4,11,0,0,0,0,7,8,869,93,2.6000001234933734
Typical,1,4,12,0,0,0,0,7,8,870,93,3.6000001709908247
Typical,1,4,13,0,0,0,0,6,7,870,93,2.6000001234933734
Typical,1,4,14,0,23,17,25,7,9,871,87,1.500000071246177
Typical,1,4,15,0,84,149,120,5,10,873,71,2.1000000997446477
Typical,1,4,16,0,97,436,265,4,12,875,58,4.600000218488276
Typical,1,4,17,0,145,602,442,2,13,876,47,5.700000270735472
Typical,1,4,18,0,211,508,492,0,12,875,44,3.6000001709908247
Typical,1,4,19,0,136,389,355,0,14,875,38,3.6000001709908247
Typical,1,4,20,0,274,84,317,0,14,875,38,2.6000001234933734
Typical,1,4,21,0,137,56,162,-1,14,875,35,1.500000071246177
Typical,1,4,22,0,145,44,158,-1,14,875,35,2.6000001234933734
Typical,1,4,23,0,34,18,36,2,13,875,47,3.100000147242099
Typical,1,5,0,0,0,0,0,2,11,874,54,3.100000147242099
Typical,1,5,1,0,0,0,0,3,10,874,62,2.1000000997446477
Typical,1,5,2,0,0,0,0,3,10,874,62,1.0000000474974513
Typical,1,5,3,0,0,0,0,3,8,874,71,1.0000000474974513
Typical,1,5,4,0,0,0,0,4,7,873,81,3.6000001709908247
Typical,1,5,5,0,0,0,0,3,6,872,81,3.6000001709908247
Typical,1,5,6,0,0,0,0,2,6,872,75,2.1000000997446477
Typical,1,5,7,0,0,0,0,3,6,872,81,2.6000001234933734
Typical,1,5,8,0,0,0,0,4,6,872,87,2.6000001234933734
Typical,1,5,9,0,0,0,0,4,6,872,87,2.1000000997446477
Typical,1,5,10,0,0,0,0,3,7,872,76,0.5000000237487257
Typical,1,5,11,0,0,0,0,3,7,872,76,3.100000147242099
Typical,1,5,12,0,0,0,0,3,6,872,81,3.6000001709908247
Typical,1,5,13,0,0,0,0,2,6,872,75,4.600000218488276
Typical,1,5,14,0,14,0,14,3,7,872,76,3.100000147242099
Typical,1,5,15,0,69,0,69,3,8,873,71,3.6000001709908247
Typical,1,5,16,0,119,0,119,3,7,873,76,2.6000001234933734
Typical,1,5,17,0,157,0,157,3,8,873,71,2.1000000997446477
Typical,1,5,18,0,223,0,223,4,8,873,76,3.6000001709908247
Typical,1,5,19,0,181,0,181,5,7,872,87,4.600000218488276
Typical,1,5,20,0,166,0,166,5,7,871,87,5.700000270735472
Typical,1,5,21,0,134,0,134,4,8,871,76,2.6000001234933734
Typical,1,5,22,0,208,52,223,5,8,871,81,5.100000242237002
Typical,1,5,23,0,60,79,70,5,8,871,81,5.700000270735472
Typical,1,6,0,0,0,4,0,5,7,871,87,5.100000242237002
Typical,1,6,1,0,0,0,0,4,8,871,76,3.100000147242099
Typical,1,6,2,0,0,0,0,3,8,871,71,4.10000019473955
Typical,1,6,3,0,0,0,0,4,7,871,81,4.10000019473955
Typical,1,6,4,0,0,0,0,4,8,872,76,4.600000218488276
Typical,1,6,5,0,0,0,0,4,7,871,81,5.700000270735472
Typical,1,6,6,0,0,0,0,5,7,871,87,6.200000294484198
Typical,1,6,7,0,0,0,0,4,6,871,87,6.200000294484198
Typical,1,6,8,0,0,0,0,3,6,870,81,5.100000242237002
Typical,1,6,9,0,0,0,0,3,6,871,81,7.200000341981649
Typical,1,6,10,0,0,0,0,2,5,870,81,5.100000242237002
Typical,1,6,11,0,0,0,0,2,5,870,81,6.200000294484198
Typical,1,6,12,0,0,0,0,3,5,870,87,6.700000318232924
Typical,1,6,13,0,0,0,0,1,3,870,87,6.700000318232924
Typical,1,6,14,0,26,70,32,1,3,870,87,5.700000270735472
Typical,1,6,15,0,138,187,182,0,1,871,93,6.200000294484198
Typical,1,6,16,0,70,149,128,1,2,872,93,3.6000001709908247
Typical,1,6,17,0,151,575,436,0,1,872,93,4.600000218488276
Typical,1,6,18,0,159,509,443,0,1,871,93,7.200000341981649
Typical,1,6,19,0,138,657,509,0,1,871,93,7.200000341981649
Typical,1,6,20,0,173,625,500,-1,0,871,92,4.10000019473955
Typical,1,6,21,0,118,641,393,-1,0,872,92,3.100000147242099
Typical,1,6,22,0,154,102,184,-2,0,872,85,4.10000019473955
Typical,1,6,23,0,44,107,57,-1,0,872,92,3.100000147242099
Typical,1,7,0,0,1,4,1,-1,-1,872,100,4.10000019473955
