Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSRDB,747915.0,-,SC,-,33.817,-78.717,0,10,-5,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed
Typical,1,1,0,0,0,0,0,11,12,1012,94,0.0
Typical,1,1,1,0,0,0,0,9,10,1013,93,1.500000071246177
Typical,1,1,2,0,0,0,0,9,9,1013,100,1.500000071246177
Typical,1,1,3,0,0,0,0,11,11,1013,100,2.6000001234933734
Typical,1,1,4,0,0,0,0,9,11,1013,87,1.500000071246177
Typical,1,1,5,0,0,0,0,1,1,1026,100,0.0
Typical,1,1,6,0,0,0,0,0,0,1027,100,0.0
Typical,1,1,7,0,0,0,0,0,0,1027,100,0.0
Typical,1,1,8,0,0,0,0,1,1,1026,100,0.0
Typical,1,1,9,0,0,0,0,0,0,1027,100,1.500000071246177
Typical,1,1,10,0,0,0,0,-1,-1,1027,100,0.0
Typical,1,1,11,0,0,0,0,-2,-2,1028,100,0.0
Typical,1,1,12,0,2,155,6,-1,-1,1029,100,0.0
Typical,1,1,13,0,61,570,175,0,6,1029,65,1.500000071246177
Typical,1,1,14,0,72,744,333,0,10,1030,50,1.500000071246177
Typical,1,1,15,0,93,757,444,-1,13,1030,38,1.500000071246177
Typical,1,1,16,0,122,713,501,0,16,1029,34,2.6000001234933734
Typical,1,1,17,0,124,726,521,1,17,1028,34,2.1000000997446477
Typical,1,1,18,0,114,697,470,1,18,1027,32,2.1000000997446477
Typical,1,1,19,0,79,741,394,3,14,1027,47,2.6000001234933734
Typical,1,1,20,0,60,658,255,2,14,1027,44,3.100000147242099
Typical,1,1,21,0,31,426,88,4,11,1027,62,2.1000000997446477
Typical,1,1,22,0,0,0,0,7,10,1027,82,1.500000071246177
Typical,1,1,23,0,0,0,0,6,7,1027,93,0.0
Typical,1,2,0,0,0,0,0,5,6,1027,93,0.0
Typical,1,2,1,0,0,0,0,4,4,1028,100,0.0
Typical,1,2,2,0,0,0,0,3,3,1028,100,0.0
Typical,1,2,3,0,0,0,0,3,3,1028,100,0.0
Typical,1,2,4,0,0,0,0,4,4,1027,100,0.0
Typical,1,2,5,0,0,0,0,3,3,1026,100,0.0
Typical,1,2,6,0,0,0,0,3,3,1026,100,0.0
Typical,1,2,7,0,0,0,0,2,2,1026,100,0.0
Typical,1,2,8,0,0,0,0,3,3,1025,100,0.0
Typical,1,2,9,0,0,0,0,3,3,1025,100,0.0
Typical,1,2,10,0,0,0,0,2,2,1025,100,0.0
Typical,1,2,11,0,0,0,0,2,2,1025,100,0.0
Typical,1,2,12,0,3,9,3,3,3,1025,100,0.0
Typical,1,2,13,0,81,34,87,4,8,1026,76,1.500000071246177
Typical,1,2,14,0,154,450,312,2,12,1026,50,2.1000000997446477
Typical,1,2,15,0,212,85,251,4,13,1026,54,1.500000071246177
Typical,1,2,16,0,279,139,352,4,15,1025,48,2.6000001234933734
Typical,1,2,17,0,279,168,371,3,15,1024,44,2.6000001234933734
Typical,1,2,18,0,159,697,516,6,14,1023,59,2.6000001234933734
Typical,1,2,19,0,197,241,300,6,14,1023,59,2.6000001234933734
Typical,1,2,20,0,102,361,209,6,15,1023,55,1.500000071246177
Typical,1,2,21,0,42,204,69,8,12,1023,76,2.1000000997446477
Typical,1,2,22,0,0,0,0,9,12,1023,82,2.6000001234933734
Typical,1,2,23,0,0,0,0,8,10,1023,87,0.0
Typical,1,3,0,0,0,0,0,9,12,1022,82,4.600000218488276
Typical,1,3,1,0,0,0,0,9,11,1022,87,4.10000019473955
Typical,1,3,2,0,0,0,0,8,8,1023,100,0.0
Typical,1,3,3,0,0,0,0,6,6,1023,100,0.0
Typical,1,3,4,0,0,0,0,6,6,1022,100,0.0
Typical,1,3,5,0,0,0,0,6,6,1022,100,0.0
Typical,1,3,6,0,0,0,0,6,6,1022,100,2.1000000997446477
Typical,1,3,7,0,0,0,0,6,6,1021,100,0.0
Typical,1,3,8,0,0,0,0,6,6,1021,100,0.0
Typical,1,3,9,0,0,0,0,6,6,1021,100,0.0
Typical,1,3,10,0,0,0,0,6,6,1022,100,0.0
Typical,1,3,11,0,0,0,0,5,5,1022,100,0.0
Typical,1,3,12,0,2,135,5,6,6,1022,100,0.0
Typical,1,3,13,0,65,509,166,9,12,1023,82,2.6000001234933734
Typical,1,3,14,0,82,657,313,12,17,1024,72,3.100000147242099
Typical,1,3,15,0,85,788,451,13,18,1024,73,2.6000001234933734
Typical,1,3,16,0,88,834,532,13,18,1022,73,3.100000147242099
Typical,1,3,17,0,118,756,533,14,18,1021,77,6.200000294484198
Typical,1,3,18,0,92,792,499,14,18,1020,77,3.6000001709908247
Typical,1,3,19,0,72,777,405,14,17,1020,82,7.200000341981649
Typical,1,3,20,0,60,670,261,14,16,1020,88,7.200000341981649
Typical,1,3,21,0,31,449,93,13,14,1020,94,5.700000270735472
Typical,1,3,22,0,0,0,0,14,15,1020,94,5.100000242237002
Typical,1,3,23,0,0,0,0,14,14,1020,100,4.10000019473955
Typical,1,4,0,0,0,0,0,14,14,1020,100,4.600000218488276
Typical,1,4,1,0,0,0,0,14,14,1020,100,4.600000218488276
Typical,1,4,2,0,0,0,0,14,14,1021,100,4.10000019473955
Typical,1,4,3,0,0,0,0,13,14,1020,94,3.100000147242099
Typical,1,4,4,0,0,0,0,13,14,1020,94,4.10000019473955
Typical,1,4,5,0,0,0,0,14,14,1020,100,2.6000001234933734
Typical,1,4,6,0,0,0,0,13,14,1020,94,2.1000000997446477
Typical,1,4,7,0,0,0,0,13,14,1020,94,2.1000000997446477
Typical,1,4,8,0,0,0,0,13,13,1020,100,1.500000071246177
Typical,1,4,9,0,0,0,0,12,12,1019,100,1.500000071246177
Typical,1,4,10,0,0,0,0,13,14,1020,94,2.6000001234933734
Typical,1,4,11,0,0,0,0,14,18,1020,77,3.6000001709908247
Typical,1,4,12,0,2,0,2,14,16,1020,88,3.100000147242099
Typical,1,4,13,0,79,0,79,14,16,1020,88,3.100000147242099
Typical,1,4,14,0,145,457,306,14,17,1021,82,3.6000001709908247
Typical,1,4,15,0,99,714,432,14,19,1021,73,3.100000147242099
Typical,1,4,16,0,117,731,507,15,19,1020,78,4.10000019473955
Typical,1,4,17,0,114,762,533,15,19,1018,78,5.700000270735472
Typical,1,4,18,0,104,732,482,16,19,1018,83,7.200000341981649
Typical,1,4,19,0,90,706,395,15,18,1017,83,6.200000294484198
Typical,1,4,20,0,85,533,246,16,18,1017,88,7.700000365730375
Typical,1,4,21,0,44,302,86,16,17,1017,94,7.700000365730375
Typical,1,4,22,0,0,0,0,14,15,1018,94,5.700000270735472
Typical,1,4,23,0,0,0,0,15,15,1018,100,6.700000318232924
Typical,1,5,0,0,0,0,0,15,15,1018,100,6.700000318232924
Typical,1,5,1,0,0,0,0,14,15,1017,94,5.100000242237002
Typical,1,5,2,0,0,0,0,14,14,1018,100,6.200000294484198
Typical,1,5,3,0,0,0,0,14,15,1017,94,6.700000318232924
Typical,1,5,4,0,0,0,0,15,15,1017,100,5.700000270735472
Typical,1,5,5,0,0,0,0,15,15,1016,100,5.700000270735472
Typical,1,5,6,0,0,0,0,15,15,1016,100,6.700000318232924
Typical,1,5,7,0,0,0,0,15,15,1016,100,5.700000270735472
